prompt_id,graph_id,chord_alignment,detour_ratio,turning_curvature
ng00_clean,0,0.07804778,3.5112424,1.7240503
ng00_permuted,0,0.07753014,3.5937297,1.7299249
ng00_redundant,0,0.07773191,3.5248232,1.7201277
ng00_irrelevant,0,0.07937956,3.4590292,1.7225908
ng00_weak_distractor,0,0.07907246,3.4601564,1.7159975
ng00_competition_balanced,0,0.07961949,3.3946967,1.7227374
ng00_direct_conflict,0,0.07898147,3.4236631,1.7196227
ng00_closure_update,0,0.07786444,3.4005837,1.7198042
ng00_closure_override,0,0.07798962,3.407022,1.7241546
ng00_exception_override,0,0.0782188,3.4168046,1.7212608
ng01_clean,1,0.08080508,3.4861028,1.7218578
ng01_permuted,1,0.080990665,3.472997,1.7251968
ng01_redundant,1,0.08233789,3.424643,1.7235724
ng01_irrelevant,1,0.08195313,3.421762,1.7233657
ng01_weak_distractor,1,0.08085154,3.4648538,1.718947
ng01_competition_balanced,1,0.08129964,3.4315722,1.7291986
ng01_direct_conflict,1,0.08181742,3.4362555,1.7228514
ng01_closure_update,1,0.08251197,3.3532846,1.7234604
ng01_closure_override,1,0.08244478,3.3569102,1.7209716
ng01_exception_override,1,0.08297072,3.3234322,1.7159293
ng02_clean,2,0.076824754,3.5378737,1.7285029
ng02_permuted,2,0.07580593,3.5396328,1.7296408
ng02_redundant,2,0.07828242,3.4633012,1.725504
ng02_irrelevant,2,0.078047715,3.4806125,1.7290686
ng02_weak_distractor,2,0.07741658,3.5102448,1.7271367
ng02_competition_balanced,2,0.07602208,3.522804,1.7290262
ng02_direct_conflict,2,0.075952485,3.4990413,1.7258518
ng02_closure_update,2,0.07625843,3.4382694,1.7308276
ng02_closure_override,2,0.07749666,3.3717268,1.7223846
ng02_exception_override,2,0.0766488,3.4204228,1.7208017
ng03_clean,3,0.07914786,3.5445392,1.7218621
ng03_permuted,3,0.07958211,3.573014,1.7280333
ng03_redundant,3,0.07975445,3.473127,1.7217535
ng03_irrelevant,3,0.07963338,3.4829426,1.7256521
ng03_weak_distractor,3,0.079089604,3.5151193,1.7188222
ng03_competition_balanced,3,0.07963749,3.4991515,1.7288781
ng03_direct_conflict,3,0.08023061,3.4824803,1.7276523
ng03_closure_update,3,0.08142623,3.403484,1.7251804
ng03_closure_override,3,0.081333525,3.3863368,1.7216072
ng03_exception_override,3,0.080802046,3.3864663,1.7211683
ng04_clean,4,0.07816507,3.5151677,1.7246374
ng04_permuted,4,0.07720324,3.573048,1.7316908
ng04_redundant,4,0.08043547,3.4550807,1.7234309
ng04_irrelevant,4,0.07876974,3.4971206,1.7247275
ng04_weak_distractor,4,0.07971181,3.5096087,1.7213306
ng04_competition_balanced,4,0.08095573,3.417369,1.722061
ng04_direct_conflict,4,0.081084184,3.419525,1.7229989
ng04_closure_update,4,0.08085567,3.3950188,1.7237976
ng04_closure_override,4,0.08055409,3.3734508,1.7178108
ng04_exception_override,4,0.08051849,3.3928602,1.7159938
ng05_clean,5,0.07751826,3.600247,1.7252706
ng05_permuted,5,0.07758646,3.663974,1.7239081
ng05_redundant,5,0.07984125,3.4988942,1.7202189
ng05_irrelevant,5,0.078948036,3.5248218,1.7226478
ng05_weak_distractor,5,0.078368425,3.5765755,1.7188907
ng05_competition_balanced,5,0.07972375,3.534531,1.7208552
ng05_direct_conflict,5,0.08069381,3.5533679,1.7192355
ng05_closure_update,5,0.081996925,3.4363027,1.7174214
ng05_closure_override,5,0.08162914,3.490781,1.7191409
ng05_exception_override,5,0.0823063,3.4416254,1.7153844
ng06_clean,6,0.07667955,3.5418837,1.722082
ng06_permuted,6,0.07691084,3.5978007,1.7289513
ng06_redundant,6,0.07788723,3.51864,1.719332
ng06_irrelevant,6,0.07721175,3.5269299,1.7229767
ng06_weak_distractor,6,0.07738285,3.5294516,1.7167411
ng06_competition_balanced,6,0.07865952,3.422498,1.7231371
ng06_direct_conflict,6,0.07809273,3.4472084,1.7206383
ng06_closure_update,6,0.07843124,3.4062483,1.7242965
ng06_closure_override,6,0.07819852,3.398207,1.7240695
ng06_exception_override,6,0.07808641,3.4251401,1.7211353
ng07_clean,7,0.08135768,3.4576318,1.7210997
ng07_permuted,7,0.08040699,3.471955,1.7232655
ng07_redundant,7,0.082612656,3.4027443,1.7216003
ng07_irrelevant,7,0.08135544,3.4492064,1.7214942
ng07_weak_distractor,7,0.08131866,3.4532387,1.7156333
ng07_competition_balanced,7,0.081133924,3.433924,1.7282951
ng07_direct_conflict,7,0.08120006,3.430197,1.7226366
ng07_closure_update,7,0.08216327,3.3389978,1.7221863
ng07_closure_override,7,0.08231387,3.3584461,1.7190639
ng07_exception_override,7,0.08252154,3.338893,1.7163012
ng08_clean,8,0.076706134,3.5791805,1.7315208
ng08_permuted,8,0.07563054,3.5854952,1.7334049
ng08_redundant,8,0.07718828,3.5492907,1.7278996
ng08_irrelevant,8,0.07775043,3.526672,1.7299688
ng08_weak_distractor,8,0.076241046,3.599914,1.7296008
ng08_competition_balanced,8,0.07500619,3.5947578,1.7300763
ng08_direct_conflict,8,0.07446326,3.6002207,1.7288182
ng08_closure_update,8,0.07528352,3.5185173,1.732631
ng08_closure_override,8,0.07594562,3.4745092,1.7244211
ng08_exception_override,8,0.07630542,3.4780378,1.722452
ng09_clean,9,0.07913799,3.5282605,1.7215619
ng09_permuted,9,0.078133866,3.548017,1.7250322
ng09_redundant,9,0.08077994,3.4373279,1.7214223
ng09_irrelevant,9,0.0810422,3.4556916,1.7247217
ng09_weak_distractor,9,0.08040469,3.4907172,1.7200465
ng09_competition_balanced,9,0.08125478,3.4304402,1.7273564
ng09_direct_conflict,9,0.08110191,3.4451604,1.7256851
ng09_closure_update,9,0.081989385,3.3735561,1.7215708
