"layer","winner","n","winner_fraction"
7,"clean-like path",469,0.610677083333333
7,"conflict path",299,0.389322916666667
8,"clean-like path",400,0.520833333333333
8,"conflict path",368,0.479166666666667
9,"clean-like path",483,0.62890625
9,"conflict path",285,0.37109375
10,"clean-like path",472,0.614583333333333
10,"conflict path",296,0.385416666666667
11,"clean-like path",475,0.618489583333333
11,"conflict path",293,0.381510416666667
12,"clean-like path",509,0.662760416666667
12,"conflict path",259,0.337239583333333
13,"clean-like path",529,0.688802083333333
13,"conflict path",239,0.311197916666667
14,"clean-like path",522,0.6796875
14,"conflict path",246,0.3203125
15,"clean-like path",540,0.703125
15,"conflict path",228,0.296875
16,"clean-like path",548,0.713541666666667
16,"conflict path",220,0.286458333333333
17,"clean-like path",479,0.623697916666667
17,"conflict path",289,0.376302083333333
18,"clean-like path",494,0.643229166666667
18,"conflict path",274,0.356770833333333
19,"clean-like path",476,0.619791666666667
19,"conflict path",292,0.380208333333333
20,"clean-like path",521,0.678385416666667
20,"conflict path",247,0.321614583333333
21,"clean-like path",528,0.6875
21,"conflict path",240,0.3125
22,"clean-like path",633,0.82421875
22,"conflict path",135,0.17578125
23,"clean-like path",629,0.819010416666667
23,"conflict path",139,0.180989583333333
24,"clean-like path",645,0.83984375
24,"conflict path",123,0.16015625
25,"clean-like path",630,0.8203125
25,"conflict path",138,0.1796875
