model_key,layer,proxy,pearson_hidden_geometry
qwen,7,realW,0.9814979224103076
qwen,7,rowpermW,0.9814979224103076
qwen,7,gaussianR,0.9797904038073342
qwen,7,randomK,-0.0053452827855610865
qwen,8,realW,0.9707413172498638
qwen,8,rowpermW,0.9707413172498638
qwen,8,gaussianR,0.9694300728182044
qwen,8,randomK,0.01699609916429445
qwen,9,realW,0.9857870403099013
qwen,9,rowpermW,0.9857870403099013
qwen,9,gaussianR,0.9683415218207484
qwen,9,randomK,-0.020511604026622228
qwen,10,realW,0.9859966506403577
qwen,10,rowpermW,0.9859966506403577
qwen,10,gaussianR,0.9733599217576342
qwen,10,randomK,0.036413276306823596
qwen,11,realW,0.9869679813318333
qwen,11,rowpermW,0.9869679813390331
qwen,11,gaussianR,0.9734256853517307
qwen,11,randomK,0.011068857137982205
qwen,12,realW,0.9814032380022546
qwen,12,rowpermW,0.9814032379993084
qwen,12,gaussianR,0.9818194554192292
qwen,12,randomK,-0.025543556436472742
qwen,13,realW,0.9882572853675151
qwen,13,rowpermW,0.9882572853675151
qwen,13,gaussianR,0.9650873176688118
qwen,13,randomK,0.02079920034435559
qwen,14,realW,0.9790137755197541
qwen,14,rowpermW,0.9790137755197541
qwen,14,gaussianR,0.9566321316149193
qwen,14,randomK,-0.024418794339610667
qwen,15,realW,0.9747437110429549
qwen,15,rowpermW,0.9747437110429549
qwen,15,gaussianR,0.9638829460792017
qwen,15,randomK,-0.027170225491443992
qwen,16,realW,0.9297050097593231
qwen,16,rowpermW,0.9297050097402616
qwen,16,gaussianR,0.9517574450834759
qwen,16,randomK,-0.01271894743537522
qwen,17,realW,0.9055645731162305
qwen,17,rowpermW,0.9055645731162305
qwen,17,gaussianR,0.9479797850072482
qwen,17,randomK,0.02763124306113521
qwen,18,realW,0.7418181375326921
qwen,18,rowpermW,0.7418181375231934
qwen,18,gaussianR,0.9674894018191551
qwen,18,randomK,-0.0077976610589926025
qwen,19,realW,0.8342899134036547
qwen,19,rowpermW,0.8342899134032526
qwen,19,gaussianR,0.9679328392852868
qwen,19,randomK,-0.03268751379420783
qwen,20,realW,0.5711253763038732
