model_key,layer,projection_condition,repeat,pearson_preservation,spearman_preservation,spread_mean,entropy_mean
qwen,7,realW,0,0.9941685150265105,0.8390777796064727,0.51025390625,2.1758012771606445
qwen,7,rowpermW,0,0.994170604796071,0.8364840132824175,0.51025390625,2.1758012771606445
qwen,7,rowpermW,1,0.9946021681420356,0.8428011379848193,0.51025390625,2.1758012771606445
qwen,7,rowpermW,2,0.9941681793681494,0.8321573805629219,0.51025390625,2.1758012771606445
qwen,7,rowpermW,3,0.9941762868119339,0.8356026424791897,0.51025390625,2.1758012771606445
qwen,7,rowpermW,4,0.9941155952823758,0.8361831245076405,0.51025390625,2.1758012771606445
qwen,7,gaussianR,0,0.9716880297339557,0.9139797464645377,0.65185546875,3.873739242553711
qwen,7,gaussianR,1,0.9722866250694122,0.7962884276373505,0.6552734375,3.867227554321289
qwen,7,gaussianR,2,0.84805153961124,0.905276246563337,0.65869140625,3.865687847137451
qwen,7,gaussianR,3,0.9665267400915512,0.9036165801995631,0.65673828125,3.8855624198913574
qwen,7,gaussianR,4,0.9805390358335421,0.9099389351299384,0.65576171875,3.887958526611328
qwen,8,realW,0,0.9779847320385332,0.8286976022866713,0.5341796875,1.9908435344696045
qwen,8,rowpermW,0,0.9780282233781006,0.8349392455113863,0.5341796875,1.9908435344696045
qwen,8,rowpermW,1,0.978024168635478,0.832570006785565,0.5341796875,1.9908435344696045
qwen,8,rowpermW,2,0.9779951874318549,0.833785298036847,0.5341796875,1.9908435344696045
qwen,8,rowpermW,3,0.9780128565298313,0.833434953885771,0.5341796875,1.9908435344696045
qwen,8,rowpermW,4,0.9780282233781006,0.8349392455113863,0.5341796875,1.9908435344696045
qwen,8,gaussianR,0,0.926789372514691,0.8861954292811584,0.65087890625,3.876321792602539
qwen,8,gaussianR,1,0.9760450488773931,0.9220835449864822,0.65185546875,3.868314266204834
qwen,8,gaussianR,2,0.9849178937393509,0.8992888589618881,0.64892578125,3.8815832138061523
qwen,8,gaussianR,3,0.9632675032815956,0.9134401240497136,0.65283203125,3.8804516792297363
qwen,8,gaussianR,4,0.9691425285087367,0.8481006312010783,0.65185546875,3.861370086669922
qwen,9,realW,0,0.9881029003051642,0.782418099207509,0.50390625,1.4139976501464844
qwen,9,rowpermW,0,0.9881029003051642,0.782418099207509,0.50390625,1.4139976501464844
qwen,9,rowpermW,1,0.9884321137283019,0.7844670047891079,0.50390625,1.4139976501464844
qwen,9,rowpermW,2,0.9884715806974245,0.7841368647301409,0.50390625,1.4139976501464844
qwen,9,rowpermW,3,0.9881152216741076,0.7826273745158434,0.50390625,1.4139976501464844
qwen,9,rowpermW,4,0.9884354760670911,0.7821593985169237,0.50390625,1.4139976501464844
qwen,9,gaussianR,0,0.9337676201024756,0.9211190891510717,0.6533203125,3.8765923976898193
qwen,9,gaussianR,1,0.9528550692249451,0.922104830256455,0.65673828125,3.8628718852996826
qwen,9,gaussianR,2,0.9486495538771296,0.9330739079342335,0.654296875,3.8606975078582764
qwen,9,gaussianR,3,0.9715592556095646,0.9266675739718596,0.6513671875,3.8478305339813232
qwen,9,gaussianR,4,0.9838911953794547,0.9048930242528256,0.65283203125,3.882272481918335
qwen,10,realW,0,0.9855426183571899,0.7823902609340704,0.5107421875,0.9818460941314697
qwen,10,rowpermW,0,0.9855678910105561,0.7841679766577763,0.5107421875,0.9818460941314697
qwen,10,rowpermW,1,0.9855426183571899,0.7823902609340704,0.5107421875,0.9818460941314697
qwen,10,rowpermW,2,0.9855619560266079,0.7837844489648247,0.5107421875,0.9818460941314697
qwen,10,rowpermW,3,0.9855426183571899,0.7823902609340704,0.5107421875,0.9818460941314697
qwen,10,rowpermW,4,0.9855426183571899,0.7823902609340704,0.5107421875,0.9818460941314697
qwen,10,gaussianR,0,0.9842355765713637,0.9209294669049481,0.65283203125,3.7702536582946777
qwen,10,gaussianR,1,0.9349833454688874,0.9548901259671814,0.64990234375,3.8575503826141357
qwen,10,gaussianR,2,0.975159856812761,0.9269711894207647,0.650390625,3.833570957183838
qwen,10,gaussianR,3,0.9913159900844494,0.922073221212274,0.64794921875,3.809447765350342
qwen,10,gaussianR,4,0.9726916478405421,0.930583296077646,0.654296875,3.862173080444336
qwen,11,realW,0,0.914159203225991,0.8926279780416535,0.4814453125,0.9291596412658691
qwen,11,rowpermW,0,0.9134232742575524,0.8885797146414856,0.4814453125,0.9291596412658691
qwen,11,rowpermW,1,0.9137445359721497,0.8864278289881928,0.481689453125,0.9291596412658691
qwen,11,rowpermW,2,0.9140962508053382,0.8924705877540793,0.4814453125,0.9291596412658691
qwen,11,rowpermW,3,0.9138536672587919,0.8877590483747579,0.481689453125,0.9291596412658691
