"model_key","proxy","n_samples","n_features","deltaU_r2","deltaU_corr","phase_acc","phase_macro_f1","mechanism_acc","mechanism_macro_f1"
"qwen","hidden_pre_mean","960","1536","0.8870271227088058","0.9420233197571164","1.0","1.0","1.0","1.0"
"qwen","hidden_decision_mean","960","1536","0.8839312674495519","0.9416754134562503","1.0","1.0","1.0","1.0"
"qwen","hidden_precursor_mean","960","1536","0.8841573421398708","0.9407645767179805","1.0","1.0","1.0","1.0"
"qwen","directH_flow","960","40","0.7501739009726427","0.8663434889751642","0.9927083333333333","0.9930891247947069","0.9927083333333333","0.9930891247947069"
"qwen","Hshape_dR_decision","960","6","0.9999584923814089","0.9999852904436459","0.7760416666666666","0.7770330974804912","0.7760416666666666","0.7770330974804912"
"qwen","hidden_oflow_pre","960","28","0.6372372334787411","0.7991454079827738","0.9802083333333333","0.9816785149983142","0.9802083333333333","0.9816785149983142"
"qwen","topk_realW_flow","960","22","0.6174329209868028","0.7857751404407299","0.9552083333333333","0.9506368981505343","0.9552083333333333","0.9506368981505343"
"qwen","topk_rowpermW_flow","960","22","0.6174329209582367","0.7857751404213859","0.9552083333333333","0.9506368981505343","0.9552083333333333","0.9506368981505343"
"qwen","topk_gaussianR_flow","960","22","0.540471477715713","0.7351991428858217","0.8770833333333333","0.8748424889995473","0.8770833333333333","0.8748424889995473"
"qwen","hidden_oflow_decision","960","14","0.5858216711023059","0.7655016693398667","0.8208333333333333","0.8294089972071997","0.8208333333333333","0.8294089972071997"
"qwen","Rshape_decision","960","6","0.7240552185160805","0.8509648075297208","0.6833333333333333","0.682515967217381","0.6833333333333333","0.682515967217381"
"qwen","hidden_oflow_precursor","960","8","0.48848434829422016","0.7001150588911736","0.6697916666666667","0.6926233976233019","0.6697916666666667","0.6926233976233019"
"qwen","randomK_flow","960","22","-0.04894112338030898","-0.09872872999007105","0.31666666666666665","0.3119310201930371","0.31666666666666665","0.3119310201930371"
"llama","hidden_precursor_mean","960","2048","0.8153388276223468","0.9065007625694738","1.0","1.0","1.0","1.0"
"llama","hidden_pre_mean","960","2048","0.8112861171313297","0.90417912138318","1.0","1.0","1.0","1.0"
"llama","hidden_decision_mean","960","2048","0.8012981402393802","0.9008894856272305","1.0","1.0","1.0","1.0"
"llama","Hshape_dR_decision","960","4","0.9999296343684752","0.9999816283431224","0.6239583333333333","0.6005592450513414","0.6239583333333333","0.6005592450513414"
"llama","directH_flow","960","24","0.2238680870292915","0.4732066211299031","0.9583333333333334","0.9591109545508067","0.9583333333333334","0.9591109545508067"
"llama","hidden_oflow_pre","960","18","0.08967605895533659","0.3005943800284705","0.95625","0.957259720756555","0.95625","0.957259720756555"
"llama","Rshape_decision","960","4","0.4992637554204816","0.7065863299967678","0.446875","0.4272343461399675","0.446875","0.4272343461399675"
"llama","topk_gaussianR_flow","960","14","0.1162338187846289","0.3420792485729186","0.7270833333333333","0.722823457961525","0.7270833333333333","0.722823457961525"
"llama","hidden_oflow_decision","960","10","0.09530978035259019","0.308831623887075","0.7239583333333334","0.7260691276141985","0.7239583333333334","0.7260691276141985"
"llama","topk_rowpermW_flow","960","14","0.10745412901624751","0.3279574054955583","0.6958333333333333","0.6985211750894923","0.6958333333333333","0.6985211750894923"
"llama","topk_realW_flow","960","14","0.10745142774794492","0.32795329476095064","0.6958333333333333","0.6985211750894923","0.6958333333333333","0.6985211750894923"
"llama","hidden_oflow_precursor","960","8","0.022657106649413783","0.1519257750412484","0.7291666666666666","0.7171412145541373","0.7291666666666666","0.7171412145541373"
"llama","randomK_flow","960","14","-0.01813081241539649","-0.06780496388160626","0.34270833333333334","0.3401368134742408","0.34270833333333334","0.3401368134742408"
"gemma","hidden_decision_mean","960","2304","0.9436927115952422","0.971806100856019","1.0","1.0","1.0","1.0"
"gemma","hidden_pre_mean","960","2304","0.9430098382432597","0.9713582529399405","1.0","1.0","1.0","1.0"
"gemma","hidden_precursor_mean","960","2304","0.9391172346768671","0.9695193196879273","1.0","1.0","1.0","1.0"
"gemma","directH_flow","960","38","0.8134282584104445","0.9020309122967861","0.9854166666666667","0.9858629603587573","0.9854166666666667","0.9858629603587573"
"gemma","Hshape_dR_decision","960","5","0.9999630724334202","0.9999858216674538","0.7708333333333334","0.7641208154820137","0.7708333333333334","0.7641208154820137"
"gemma","hidden_oflow_pre","960","28","0.7167081016888119","0.8474394687210589","0.9770833333333333","0.9779033282851667","0.9770833333333333","0.9779033282851667"
"gemma","topk_rowpermW_flow","960","21","0.6968283683198389","0.8348089305840771","0.9416666666666667","0.9431938740091977","0.9416666666666667","0.9431938740091977"
"gemma","topk_realW_flow","960","21","0.6968283683198389","0.8348089305840771","0.9416666666666667","0.9431938740091977","0.9416666666666667","0.9431938740091977"
"gemma","Rshape_decision","960","5","0.8581420389260563","0.9274740624192299","0.6802083333333333","0.6847303069501711","0.6802083333333333","0.6847303069501711"
"gemma","topk_gaussianR_flow","960","21","0.4717890802641459","0.6868954394343794","0.803125","0.8029275850387244","0.803125","0.8029275850387244"
"gemma","hidden_oflow_decision","960","12","0.4049852498610238","0.6375984631845817","0.8197916666666667","0.8161094843088273","0.8197916666666667","0.8161094843088273"
"gemma","hidden_oflow_precursor","960","8","0.11781959244108542","0.3434753020625003","0.7364583333333333","0.7313520095590041","0.7364583333333333","0.7313520095590041"
"gemma","randomK_flow","960","21","-0.017653864889783266","0.021912431650055384","0.321875","0.3199394811244862","0.321875","0.3199394811244862"
