model,condition,layer,pc1,pc2,pc3
qwen,clean,0,41.01644529617562,2.2734575012870986,8.406165300028617
qwen,clean,1,39.916035994630725,2.044665735125261,8.562959202145807
qwen,clean,2,39.61702978796697,2.92363366770559,9.448291087571697
qwen,clean,3,38.65378702057165,3.116871612251041,10.057671979863873
qwen,clean,4,37.22258788823277,3.795320264828542,9.992882414591573
qwen,clean,5,34.31295935962187,4.210278551918865,9.769683426900128
qwen,clean,6,30.547898644171585,5.129629694417638,9.718205916974116
qwen,clean,7,31.318448589567744,5.184918542365072,8.998715486472953
qwen,clean,8,30.55186913829771,5.575247611973569,8.586670956013059
qwen,clean,9,30.39824703962526,5.866098230439576,7.8696710179337215
qwen,clean,10,26.872816216840437,6.799103865525444,8.251901011933112
qwen,clean,11,25.344345824884634,6.891605536384936,6.979949098956397
qwen,clean,12,24.56713471226381,7.584468913404033,5.967725227174746
qwen,clean,13,22.01854261850843,8.840651879508261,4.558784656873102
qwen,clean,14,19.965661154425423,9.072012893040235,3.226459613357002
qwen,clean,15,17.50338430589636,10.277882033383484,0.7312281424423261
qwen,clean,16,16.782250430785428,10.217132901917473,-8.152504200284138
qwen,clean,17,19.683093458016852,9.633929840138231,-12.992744737799704
qwen,clean,18,16.69185822837789,9.566764765789287,-17.2132199111855
qwen,clean,19,14.879763957037383,5.814244687831844,-24.30801060899501
qwen,clean,20,6.906567298711721,3.695985541520294,-27.262990447631047
qwen,clean,21,-11.117612205829747,4.647240941232851,-28.018725286330458
qwen,clean,22,-39.44075745146663,5.748982311240009,-22.7322381753809
qwen,clean,23,-66.90143779317326,6.784716551043064,-16.032138618603202
qwen,clean,24,-84.7225141540666,3.0532361142147977,-12.32307700768654
qwen,clean,25,-142.0956283276983,7.302677090095499,4.943796748499684
qwen,clean,26,-194.42050921293367,2.728290555971956,17.586189284525616
qwen,clean,27,-0.13954387623106257,-163.41627187648214,-6.090106290268565
qwen,rename,0,40.605873666487774,2.193342231852247,8.051328004137739
qwen,rename,1,39.82156208968991,2.1670022578137074,8.264785517795259
qwen,rename,2,39.06826069449824,2.844621596940022,8.82402869377805
qwen,rename,3,37.3837535003486,2.933533252576734,9.429809063805255
qwen,rename,4,36.0552415305607,3.5473655699562574,9.640310935374224
qwen,rename,5,32.21978204149741,4.3079167306936785,9.800069817027756
qwen,rename,6,30.61571437619022,4.247181538123061,9.402099427501739
qwen,rename,7,30.753499684251917,4.754291169885802,9.015162445085256
qwen,rename,8,30.776537267094326,4.766630161053654,7.951994873229468
qwen,rename,9,28.68329357708798,5.308148261376221,6.94544162332452
qwen,rename,10,23.519065982965902,7.094710339932183,7.392660656480598
qwen,rename,11,22.64396953082155,7.317151399793142,6.485627044986938
qwen,rename,12,22.289057105419204,7.508070600348994,6.0662121650978955
qwen,rename,13,18.475483467704656,8.9339669235966,5.193620448360795
qwen,rename,14,17.49736561737718,8.418732796231978,4.014116022003308
qwen,rename,15,15.198300112640549,10.046282000512512,1.6190891309224644
qwen,rename,16,16.20625989063954,9.653759740893278,-4.199196039612161
qwen,rename,17,16.056042006750015,9.9143552465646,-6.388917998291648
qwen,rename,18,13.139059180915714,9.00737466853718,-10.092466844412387
qwen,rename,19,12.389611953465115,6.941749953851649,-16.366104023360542
qwen,rename,20,1.587362064557535,5.738382623163127,-19.546376598408596
qwen,rename,21,-16.56985350181189,5.5350826632076,-20.27834332522394
qwen,rename,22,-41.526901386151614,6.143576416344809,-15.890657237662479
qwen,rename,23,-70.37401181724384,7.776266036786813,-8.25160504055326
qwen,rename,24,-94.00852987694086,4.587726796512258,-3.3490026600871223
qwen,rename,25,-144.93753694071324,5.042479967271481,11.983261141483972
qwen,rename,26,-205.12356210777375,-2.634656023625764,26.955055085030665
qwen,rename,27,11.78831019470658,-149.08726316778967,4.483048111130035
qwen,paraphrase,0,40.47989584452125,2.012215632619223,7.851150323574156
qwen,paraphrase,1,42.065783605612296,1.454713412726322,7.433582574867936
qwen,paraphrase,2,41.84528277929207,2.1885059370135407,7.515449331471746
qwen,paraphrase,3,39.262095674617925,3.522259726935518,7.050565815716664
qwen,paraphrase,4,37.192217642450586,4.185487843561885,7.447290171641736
qwen,paraphrase,5,33.10634192058056,4.247603976652238,7.855737536961124
qwen,paraphrase,6,30.447231925396885,4.537344988572424,6.831257093128369
qwen,paraphrase,7,29.89068310187559,4.875602969387187,4.6467796950321025
qwen,paraphrase,8,28.51276726037026,4.596179813552965,3.88498081451066
qwen,paraphrase,9,27.474129709896232,4.79693721112146,3.30139640903157
qwen,paraphrase,10,19.590152372537588,5.972287371613522,4.203894249515227
qwen,paraphrase,11,21.949962860195196,6.245759882084938,2.728156491466625
qwen,paraphrase,12,20.755383205673027,7.084363653671768,2.5322690451241288
qwen,paraphrase,13,18.75089377204681,7.98159631750927,1.3849099835048948
qwen,paraphrase,14,15.075614233637848,8.065777867710135,0.5874623378137614
qwen,paraphrase,15,15.112237049524307,8.026305074411887,-1.3273771071459488
qwen,paraphrase,16,14.625949857447031,7.821039426686676,-4.530001162553991
qwen,paraphrase,17,14.196199494132609,7.11022513138047,-6.706446847227996
qwen,paraphrase,18,7.142953431896256,8.844901519696007,-8.419590212405563
qwen,paraphrase,19,0.7492672926509883,7.568280334028282,-11.316110926495492
qwen,paraphrase,20,-10.648200849194161,7.088660251868838,-12.41897689704266
qwen,paraphrase,21,-28.92153912771174,9.012349621394874,-12.132433823941614
qwen,paraphrase,22,-47.92833973767657,8.996436920873196,-9.127972164729211
qwen,paraphrase,23,-76.55481142555966,10.873960255554284,-1.8156130757079731
qwen,paraphrase,24,-95.70517079603293,7.370560231733246,2.7996400213427908
qwen,paraphrase,25,-159.50063788305877,12.018571753262691,20.735341299587088
qwen,paraphrase,26,-216.0125338768455,2.608953084794228,35.27807725060906
qwen,paraphrase,27,13.940066702872791,-155.00764139411626,9.709630192416162
qwen,irrelevant,0,41.027148198244106,2.2740425922410235,8.417331188420967
qwen,irrelevant,1,39.85035994736449,2.0330834411520184,8.579786037577401
qwen,irrelevant,2,39.81690899580955,2.876059347732041,9.305215255208806
qwen,irrelevant,3,38.95016540980365,3.0570222055922134,9.936081951528205
qwen,irrelevant,4,37.32122058770957,3.7807830344609314,9.920216634818656
qwen,irrelevant,5,34.35427833319908,4.227483248071052,9.706752836056703
qwen,irrelevant,6,30.34692796237947,5.143335968190739,9.691446562684877
qwen,irrelevant,7,31.331980038486872,5.145084535678313,8.897088767893683
qwen,irrelevant,8,30.283499524224872,5.685731478917635,8.593360752793975
qwen,irrelevant,9,30.482937050593776,5.794218079455909,7.843280940805878
qwen,irrelevant,10,26.692932025278942,6.819223431138783,8.256931228525126
qwen,irrelevant,11,25.316978104671374,6.884276598488061,6.955774093153128
qwen,irrelevant,12,24.47557839534237,7.617049834991299,5.898388247024914
qwen,irrelevant,13,21.871987535160493,8.87921870020487,4.536012260887145
qwen,irrelevant,14,19.7308631699492,9.141323815497085,3.1796494381203626
qwen,irrelevant,15,18.035978880068186,10.169812986088544,0.7465084619919908
qwen,irrelevant,16,17.24706839540067,10.075463091524265,-7.957549677296615
qwen,irrelevant,17,19.94330675057757,9.560063641301417,-12.65336066213592
qwen,irrelevant,18,16.60468276846039,9.513534509646469,-16.977980135083627
qwen,irrelevant,19,14.627448966886682,6.203851541206494,-23.86309569584853
qwen,irrelevant,20,8.053460617026756,3.99571976886302,-26.55287065862165
qwen,irrelevant,21,-9.488376500854638,4.757798526241342,-27.2081929591984
qwen,irrelevant,22,-37.60141253418563,5.418686979394346,-22.64345784892704
qwen,irrelevant,23,-65.02260765292863,6.45532136980892,-15.861248207396896
qwen,irrelevant,24,-81.14075847222207,2.228745881792718,-12.663600310024158
qwen,irrelevant,25,-136.73327859394306,5.898111233476964,4.429680710262732
qwen,irrelevant,26,-189.20694860024525,1.6515311182892525,16.935779151155028
qwen,irrelevant,27,-0.23238408193836513,-162.71692458353476,-6.9412528110667875
qwen,weak_distractor,0,41.04394604092282,2.264459822918792,8.428272836729887
qwen,weak_distractor,1,39.90761394768287,2.051778740985098,8.571005953017506
qwen,weak_distractor,2,39.78719814751626,2.9034159378640156,9.397356183983025
qwen,weak_distractor,3,38.91532419847054,3.102262452633062,9.93289359738806
qwen,weak_distractor,4,37.469683584453556,3.7582390842317266,9.853932972648849
qwen,weak_distractor,5,34.16431629621786,4.251199345344498,9.746651947518643
qwen,weak_distractor,6,30.144465473264674,5.215115551552533,9.711701411497966
qwen,weak_distractor,7,31.31343903014253,5.218335959520676,8.903415999486993
qwen,weak_distractor,8,30.329778745559803,5.709232380898421,8.597624712101032
qwen,weak_distractor,9,30.44467022321475,5.837224745662048,7.909938615750894
qwen,weak_distractor,10,26.58298055990021,6.919781861549145,8.369493706064018
qwen,weak_distractor,11,25.281306727984884,6.87443718772773,7.025425882805909
qwen,weak_distractor,12,24.777503174852523,7.52770940165554,5.866355735061586
qwen,weak_distractor,13,22.247903944061733,8.703168695323235,4.473710782329282
qwen,weak_distractor,14,20.28875438372377,8.953096809497787,3.069252792981916
qwen,weak_distractor,15,18.259441940491325,10.139835702256754,0.5381884187050288
qwen,weak_distractor,16,17.39678043810154,9.90996573928697,-8.186488890420227
qwen,weak_distractor,17,19.51441616358841,9.769057395307485,-12.922243355078528
