model,condition,layer,dimension_rank,hidden_dimension,z
qwen,clean,0,1,609,-0.6058874346867854
qwen,clean,0,2,1421,0.8056554481818622
qwen,clean,0,3,553,-0.6531179544948493
qwen,clean,0,4,503,-0.1406287795169851
qwen,clean,0,5,1105,0.4274015309078382
qwen,clean,0,6,611,0.33293756871686164
qwen,clean,0,7,1272,-0.3013248054469827
qwen,clean,0,8,909,-0.017182247154532752
qwen,clean,0,9,1200,0.90435644223466
qwen,clean,0,10,222,0.7607016781965347
qwen,clean,0,11,1395,0.03068556068198154
qwen,clean,0,12,633,-0.32703814109632107
qwen,clean,0,13,589,-0.4523070475141044
qwen,clean,0,14,592,0.14296696680547802
qwen,clean,0,15,1076,-0.32387777142949176
qwen,clean,0,16,526,-0.2165926192175819
qwen,clean,0,17,1423,1.2039338649843647
qwen,clean,0,18,713,-2.4295673124552852
qwen,clean,0,19,793,-0.8636897876213594
qwen,clean,0,20,518,0.13284999286798907
qwen,clean,0,21,354,0.4789004138281189
qwen,clean,0,22,1248,0.04214173495282937
qwen,clean,0,23,1161,-0.14357519561985796
qwen,clean,0,24,83,0.1868155117282015
qwen,clean,0,25,1361,0.5963134483266049
qwen,clean,0,26,185,1.1859824661747367
qwen,clean,0,27,735,-0.31585630090632805
qwen,clean,0,28,1360,-1.0294933393371282
qwen,clean,0,29,1229,0.6605962718330242
qwen,clean,0,30,580,0.29787726542058035
qwen,clean,0,31,1301,0.3235411880106843
qwen,clean,0,32,286,-1.650572392291701
qwen,clean,1,1,609,-0.6005495514480903
qwen,clean,1,2,1421,0.7714168602658874
qwen,clean,1,3,553,-0.5657939333611202
qwen,clean,1,4,503,-0.1527385179867353
qwen,clean,1,5,1105,0.42302406925081326
qwen,clean,1,6,611,0.31118541307371994
qwen,clean,1,7,1272,-0.2665217492667373
qwen,clean,1,8,909,0.00022543417203872801
qwen,clean,1,9,1200,0.8915604797727181
qwen,clean,1,10,222,0.7132412155642947
qwen,clean,1,11,1395,0.003547083454323697
qwen,clean,1,12,633,-0.38976110683180726
qwen,clean,1,13,589,-0.4229682516157885
qwen,clean,1,14,592,0.13977903796085187
qwen,clean,1,15,1076,-0.27418831602058247
qwen,clean,1,16,526,-0.16239236419215278
qwen,clean,1,17,1423,1.1579446072077895
qwen,clean,1,18,713,-1.6423604680296224
qwen,clean,1,19,793,-0.8946733741861889
qwen,clean,1,20,518,0.20659226002391567
qwen,clean,1,21,354,0.4741957310021032
qwen,clean,1,22,1248,-0.02329695185829438
qwen,clean,1,23,1161,-0.08189910644011418
qwen,clean,1,24,83,0.2322526763156662
qwen,clean,1,25,1361,0.6268080267382126
qwen,clean,1,26,185,1.1235885106993988
qwen,clean,1,27,735,-0.2850710523543424
qwen,clean,1,28,1360,-1.1414296696337591
qwen,clean,1,29,1229,0.9845904455089267
qwen,clean,1,30,580,0.2538798961977813
qwen,clean,1,31,1301,0.15597798758534617
qwen,clean,1,32,286,-1.201720101679371
qwen,clean,2,1,609,-0.5870633319758418
