model,layer,mean_pairwise_distance,centroid_variance
qwen,0,3.7932778520760797,18.629238014126983
qwen,1,4.99268099352175,28.75629085907026
qwen,2,6.699518728724746,43.12681767247547
qwen,3,7.6146352569304385,54.92998484460928
qwen,4,9.278176160419875,77.96279490477288
qwen,5,11.772422816503793,159.40459642578946
qwen,6,11.136409235445983,139.1207479697733
qwen,7,11.061261752353053,131.49380235597226
qwen,8,11.544890679272301,138.19691490813938
qwen,9,12.305340423345088,154.05696089786989
qwen,10,12.975236955993326,169.61107684301692
qwen,11,12.71777663294517,162.82714144914456
qwen,12,12.499218375956874,153.40256381144556
qwen,13,13.64382091475518,172.4578669657918
qwen,14,13.650757748460357,168.3099290402488
qwen,15,14.410345921200653,169.78959433435804
qwen,16,17.264691429577756,216.10690136603432
qwen,17,18.69968380128808,235.63155972880483
qwen,18,20.662830173318646,273.1587476326313
qwen,19,22.06397869302024,293.7767420743436
qwen,20,26.47622168712473,383.74584660469077
qwen,21,28.263393865226607,430.737068771608
qwen,22,29.624960518310193,465.2454728907246
qwen,23,30.922235806818485,506.11482057702466
qwen,24,34.672983531641,626.284378317724
qwen,25,36.974376435116056,710.1933841754727
qwen,26,42.158277404552514,915.1934158306375
qwen,27,44.21782248125186,976.2530037049796
llama,0,0.25345746171578,0.06667211245589078
llama,1,0.507366895805962,0.2693418791897426
llama,2,0.8229126020166745,0.598973331957541
llama,3,1.1030825496758847,0.9561669125745291
llama,4,1.3711317902564844,1.3698095029126067
llama,5,1.4853170849424293,1.5174198887279158
llama,6,1.7928947432016844,2.0841063503440473
llama,7,2.049099604323861,2.6206414627616867
llama,8,2.424395355164972,3.6146000048661846
llama,9,2.707189439189985,4.104026057937624
llama,10,2.824508439357314,4.266551784472924
llama,11,3.0378656005436997,4.879191283101167
llama,12,3.3929096846523628,6.115988213301699
llama,13,4.243095547056355,9.366307311220284
llama,14,5.595657018997983,15.909391127216498
llama,15,31.46153412276188,494.49196333690236
gemma,0,6.921869460461415,50.5190316609475
gemma,1,10.69609190219719,90.95305260749089
gemma,2,11.545225194042732,120.68768464708448
gemma,3,16.77187818617714,276.5273386703632
gemma,4,21.00962368563307,416.49974548865487
gemma,5,24.863582561187275,585.1653305417175
gemma,6,25.285216492849877,524.9359555023489
gemma,7,29.14392106357079,679.984552423294
gemma,8,31.64202883204058,794.764471137235
gemma,9,38.697820841237125,1206.8846858263728
gemma,10,42.94752492030234,1481.2490865782588
gemma,11,48.59928048645964,1854.854779909264
gemma,12,50.72424771929914,2007.5311658002404
gemma,13,58.76107465281331,2573.9047671859116
gemma,14,63.40124972792175,2835.4914566148277
gemma,15,65.23869139067683,2870.245001225944
gemma,16,82.70973459003862,3983.1116927714857
gemma,17,83.39776944994088,3899.224846206066
gemma,18,86.06675808410465,4048.4248884933663
gemma,19,85.97058468257065,3997.888760948338
gemma,20,85.93115589962797,3976.8715217752642
gemma,21,93.84154807695398,4852.693767255181
gemma,22,101.6443027788642,5526.62995183426
gemma,23,112.1330557073739,6711.498261438583
gemma,24,130.50583669702576,8879.3186964085
gemma,25,22.5876552412397,274.5430825937186
