model,split_type,n,n_features_requested,features,macro_r2,variance_weighted_r2,rmse,mae
M0_R_only,GroupKFold_graph,14592,2,R_l;rank_gap_l,0.6019784218894063,0.7535904891562879,5945.358604366851,2033.8111435943135
M1_R_plus_B,GroupKFold_graph,14592,3,R_l;rank_gap_l;boundary_dist_l,0.6468837142782102,0.7535986119150471,5945.2606107636275,2034.273592837166
M2_RBT_state,GroupKFold_graph,14592,4,R_l;rank_gap_l;boundary_dist_l;spread_l,0.8200205980170066,0.7559177109339832,5917.216443409069,2040.3546873456996
M3_RBT_plus_Hshape,GroupKFold_graph,14592,10,R_l;rank_gap_l;boundary_dist_l;spread_l;R_prev_delta;rank_gap_prev_delta;R_velocity_reversal;rank_gap_reversal;center_backtrack_prevprev;center_backtrack_init,0.8239695032462231,0.7600336342188905,5867.113757087204,2031.2649110687773
M4_Hshape_only,GroupKFold_graph,14592,6,R_prev_delta;rank_gap_prev_delta;R_velocity_reversal;rank_gap_reversal;center_backtrack_prevprev;center_backtrack_init,0.2070743521378658,0.022910359718980363,11839.041038244693,4109.556042367899
M5_state_plus_Ocont,GroupKFold_graph,14592,20,R_l;rank_gap_l;boundary_dist_l;spread_l;R_prev_delta;rank_gap_prev_delta;R_velocity_reversal;rank_gap_reversal;center_backtrack_prevprev;center_backtrack_init;op_pc1;op_pc2;op_pc3;op_pc4;op_pc5;op_pc6;op_pc7;op_pc8;op_pc9;op_pc10,0.9802606188815952,0.9999966686187399,21.860570460663297,8.761004237734443
M6_state_plus_Olabel,GroupKFold_graph,14592,15,R_l;rank_gap_l;boundary_dist_l;spread_l;R_prev_delta;rank_gap_prev_delta;R_velocity_reversal;rank_gap_reversal;center_backtrack_prevprev;center_backtrack_init;heuristic_operator;operator_cluster;is_correction;unstable_reversal;reconstructive_reversal,0.8421451474751832,0.7655545603703974,5799.228436946785,2006.3789362555679
M7_state_plus_Ocont_label,GroupKFold_graph,14592,25,R_l;rank_gap_l;boundary_dist_l;spread_l;R_prev_delta;rank_gap_prev_delta;R_velocity_reversal;rank_gap_reversal;center_backtrack_prevprev;center_backtrack_init;op_pc1;op_pc2;op_pc3;op_pc4;op_pc5;op_pc6;op_pc7;op_pc8;op_pc9;op_pc10;heuristic_operator;operator_cluster;is_correction;unstable_reversal;reconstructive_reversal,0.9852468964544487,0.9999964465915666,22.577293877654988,9.046573421307665
M8_state_Ocont_bilinear,GroupKFold_graph,14592,120,R_l;rank_gap_l;boundary_dist_l;spread_l;R_prev_delta;rank_gap_prev_delta;R_velocity_reversal;rank_gap_reversal;center_backtrack_prevprev;center_backtrack_init;op_pc1;op_pc2;op_pc3;op_pc4;op_pc5;op_pc6;op_pc7;op_pc8;op_pc9;op_pc10;ZxO__R_l__x__op_pc1;ZxO__R_l__x__op_pc2;ZxO__R_l__x__op_pc3;ZxO__R_l__x__op_pc4;ZxO__R_l__x__op_pc5;ZxO__R_l__x__op_pc6;ZxO__R_l__x__op_pc7;ZxO__R_l__x__op_pc8;ZxO__R_l__x__op_pc9;ZxO__R_l__x__op_pc10;ZxO__rank_gap_l__x__op_pc1;ZxO__rank_gap_l__x__op_pc2;ZxO__rank_gap_l__x__op_pc3;ZxO__rank_gap_l__x__op_pc4;ZxO__rank_gap_l__x__op_pc5;ZxO__rank_gap_l__x__op_pc6;ZxO__rank_gap_l__x__op_pc7;ZxO__rank_gap_l__x__op_pc8;ZxO__rank_gap_l__x__op_pc9;ZxO__rank_gap_l__x__op_pc10;ZxO__boundary_dist_l__x__op_pc1;ZxO__boundary_dist_l__x__op_pc2;ZxO__boundary_dist_l__x__op_pc3;ZxO__boundary_dist_l__x__op_pc4;ZxO__boundary_dist_l__x__op_pc5;ZxO__boundary_dist_l__x__op_pc6;ZxO__boundary_dist_l__x__op_pc7;ZxO__boundary_dist_l__x__op_pc8;ZxO__boundary_dist_l__x__op_pc9;ZxO__boundary_dist_l__x__op_pc10;ZxO__spread_l__x__op_pc1;ZxO__spread_l__x__op_pc2;ZxO__spread_l__x__op_pc3;ZxO__spread_l__x__op_pc4;ZxO__spread_l__x__op_pc5;ZxO__spread_l__x__op_pc6;ZxO__spread_l__x__op_pc7;ZxO__spread_l__x__op_pc8;ZxO__spread_l__x__op_pc9;ZxO__spread_l__x__op_pc10;ZxO__R_prev_delta__x__op_pc1;ZxO__R_prev_delta__x__op_pc2;ZxO__R_prev_delta__x__op_pc3;ZxO__R_prev_delta__x__op_pc4;ZxO__R_prev_delta__x__op_pc5;ZxO__R_prev_delta__x__op_pc6;ZxO__R_prev_delta__x__op_pc7;ZxO__R_prev_delta__x__op_pc8;ZxO__R_prev_delta__x__op_pc9;ZxO__R_prev_delta__x__op_pc10;ZxO__rank_gap_prev_delta__x__op_pc1;ZxO__rank_gap_prev_delta__x__op_pc2;ZxO__rank_gap_prev_delta__x__op_pc3;ZxO__rank_gap_prev_delta__x__op_pc4;ZxO__rank_gap_prev_delta__x__op_pc5;ZxO__rank_gap_prev_delta__x__op_pc6;ZxO__rank_gap_prev_delta__x__op_pc7;ZxO__rank_gap_prev_delta__x__op_pc8;ZxO__rank_gap_prev_delta__x__op_pc9;ZxO__rank_gap_prev_delta__x__op_pc10;ZxO__R_velocity_reversal__x__op_pc1;ZxO__R_velocity_reversal__x__op_pc2;ZxO__R_velocity_reversal__x__op_pc3;ZxO__R_velocity_reversal__x__op_pc4;ZxO__R_velocity_reversal__x__op_pc5;ZxO__R_velocity_reversal__x__op_pc6;ZxO__R_velocity_reversal__x__op_pc7;ZxO__R_velocity_reversal__x__op_pc8;ZxO__R_velocity_reversal__x__op_pc9;ZxO__R_velocity_reversal__x__op_pc10;ZxO__rank_gap_reversal__x__op_pc1;ZxO__rank_gap_reversal__x__op_pc2;ZxO__rank_gap_reversal__x__op_pc3;ZxO__rank_gap_reversal__x__op_pc4;ZxO__rank_gap_reversal__x__op_pc5;ZxO__rank_gap_reversal__x__op_pc6;ZxO__rank_gap_reversal__x__op_pc7;ZxO__rank_gap_reversal__x__op_pc8;ZxO__rank_gap_reversal__x__op_pc9;ZxO__rank_gap_reversal__x__op_pc10;ZxO__center_backtrack_prevprev__x__op_pc1;ZxO__center_backtrack_prevprev__x__op_pc2;ZxO__center_backtrack_prevprev__x__op_pc3;ZxO__center_backtrack_prevprev__x__op_pc4;ZxO__center_backtrack_prevprev__x__op_pc5;ZxO__center_backtrack_prevprev__x__op_pc6;ZxO__center_backtrack_prevprev__x__op_pc7;ZxO__center_backtrack_prevprev__x__op_pc8;ZxO__center_backtrack_prevprev__x__op_pc9;ZxO__center_backtrack_prevprev__x__op_pc10;ZxO__center_backtrack_init__x__op_pc1;ZxO__center_backtrack_init__x__op_pc2;ZxO__center_backtrack_init__x__op_pc3;ZxO__center_backtrack_init__x__op_pc4;ZxO__center_backtrack_init__x__op_pc5;ZxO__center_backtrack_init__x__op_pc6;ZxO__center_backtrack_init__x__op_pc7;ZxO__center_backtrack_init__x__op_pc8;ZxO__center_backtrack_init__x__op_pc9;ZxO__center_backtrack_init__x__op_pc10,0.9930682740570173,0.9999676243754908,68.1488291788408,21.16897275756071
M9_state_plus_context,GroupKFold_graph,14592,13,R_l;rank_gap_l;boundary_dist_l;spread_l;R_prev_delta;rank_gap_prev_delta;R_velocity_reversal;rank_gap_reversal;center_backtrack_prevprev;center_backtrack_init;layer;phase;condition,0.8292005830017408,0.7608884593469037,5856.654310532287,2031.3369269382931
