"model_key","prompt_id","graph_id","condition","mechanism","real_align_mean","shuffle_align_mean","real_detour_ratio","shuffle_detour_ratio","real_curvature_sum","shuffle_curvature_sum","real_residual_ratio_mean","shuffle_residual_ratio_mean"
"llama","g000_clean","0","clean","stable","0.52691251039505","0.34259048104286194","0.907969057559967","1.021395206451416","2.8965768814086914","4.365762710571289","0.6935495734214783","0.6497547626495361"
"llama","g000_rename","0","rename","stable","0.5703508257865906","0.3553093671798706","0.8738737106323242","1.0170115232467651","2.722135543823242","4.424787521362305","0.7086942791938782","0.6567035913467407"
"llama","g000_permuted","0","permuted","stable","0.491467148065567","0.3448103368282318","0.9317560791969299","1.0349757671356201","3.0895233154296875","4.2681121826171875","0.7021029591560364","0.6654269099235535"
"llama","g000_redundant","0","redundant","stable","0.5084335207939148","0.34836089611053467","0.9210905432701111","1.022633671760559","3.026320457458496","4.256228923797607","0.6988623738288879","0.6616337895393372"
"llama","g000_irrelevant","0","irrelevant","stable","0.5161436200141907","0.34901371598243713","0.9088290333747864","1.0387003421783447","3.0096025466918945","4.402609825134277","0.7011916041374207","0.6525076031684875"
"llama","g000_paraphrase","0","paraphrase","stable","0.4671047031879425","0.33691343665122986","0.9637812972068787","1.102405309677124","3.1253271102905273","4.372427940368652","0.7324740290641785","0.6836404800415039"
"llama","g000_weak_distractor","0","weak_distractor","stable_shift","0.5196117758750916","0.353975385427475","0.9140265583992004","1.012874722480774","2.971768856048584","4.299446105957031","0.6967476010322571","0.6576982736587524"
"llama","g000_competition_balanced","0","competition_balanced","competition","0.5079424977302551","0.3467881977558136","0.9271354079246521","1.0105319023132324","2.971407651901245","4.20376443862915","0.6970372796058655","0.6651475429534912"
"llama","g000_direct_conflict","0","direct_conflict","competition","0.5010715126991272","0.35414591431617737","0.9310527443885803","1.0082260370254517","3.015664577484131","4.189362525939941","0.6997495293617249","0.6692705154418945"
"llama","g000_closure_update","0","closure_update","closure","0.5165754556655884","0.3412144184112549","0.9196504950523376","1.020039677619934","2.8902344703674316","4.312697887420654","0.6993246078491211","0.6606380343437195"
