layer,n_seeds,mean_test_r2,std_test_r2,mean_test_cos,std_test_cos,n_total,n_train,n_test,ci95_test_r2,ci95_test_cos
0,5,0.6584436535835266,0.028687638614838945,0.9951613187789917,0.00037854178932816585,196,147,49,0.025145823942237293,0.00033180650791877586
1,5,0.5953449606895447,0.042420392600082006,0.9945908427238465,0.0004985163923458851,196,147,49,0.03718311354251687,0.00043696888414387517
2,5,0.6752481937408448,0.031146354718890133,0.9953158974647522,0.00047756069840830886,196,147,49,0.027300983629881797,0.00041860040852911563
3,5,0.7273448944091797,0.020427434797975555,0.996167516708374,0.00031199538352800403,196,147,49,0.017905436063173467,0.00027347601140401617
4,5,0.6487016558647156,0.023055505616872984,0.9951210737228393,0.00043181572389990557,196,147,49,0.020209041703462834,0.00037850317045824
5,5,0.6985344409942627,0.02530890734899157,0.9958327770233154,0.0002696119720680622,196,147,49,0.022184235409286945,0.00023632531326004893
6,5,0.6526244521141052,0.01826302526838738,0.9950887084007263,0.00019823344624506322,196,147,49,0.016008247462164924,0.0001737592767974606
7,5,0.6524790287017822,0.02660392033906777,0.9952083110809327,0.0003392589840352162,196,147,49,0.023319364343688753,0.0002973736109098616
8,5,0.6628234028816223,0.02411852675794606,0.9951819539070129,0.00032801423982062143,196,147,49,0.021140820816382685,0.0002875171580281165
9,5,0.599848210811615,0.036341417312149654,0.9944131255149842,0.000519499566139918,196,147,49,0.03185465676739249,0.00045536144691483787
10,5,0.6733685255050659,0.027435169505275244,0.9953606963157654,0.00043330470984045407,196,147,49,0.02404798636330569,0.0003798083241802383
11,5,0.6975741744041443,0.022925177308843702,0.9956593751907349,0.00035067867239009184,196,147,49,0.0200948039046536,0.0003073834090916606
12,5,0.637869918346405,0.02467245314062369,0.994717001914978,0.00034150229077639925,196,147,49,0.021626358698492196,0.0002993399559659878
13,5,0.6926405906677247,0.024880179933847477,0.9953861713409424,0.00032393241762255153,196,147,49,0.021808439260807597,0.0002839392831205914
14,5,0.6870455622673035,0.03156554729485758,0.9953805923461914,0.00047326700772021046,196,147,49,0.02766842212332817,0.00041483682270196083
15,5,0.6995673894882202,0.029245579008546473,0.9957077145576477,0.00046995184671513445,196,147,49,0.02563488026014472,0.00041193095595938795
16,5,0.7020064353942871,0.025948658948316154,0.9958160996437073,0.0003938949091365733,196,147,49,0.022745002410690104,0.0003452641107856285
17,5,0.7071560382843017,0.029454642028703692,0.9958891272544861,0.0004751532538539678,196,147,49,0.025818132077008674,0.0004164901903362929
18,5,0.7230929136276245,0.027521155033993338,0.9959800481796265,0.0003923922380498156,196,147,49,0.024123356002325295,0.0003439469615040856
19,5,0.7222147464752198,0.02944425732846927,0.9960937976837159,0.0004390642889436663,196,147,49,0.025809029485913827,0.0003848568178556937
20,5,0.7508923053741455,0.02442082060593937,0.9965023398399353,0.00033966799193421986,196,147,49,0.02140579305695355,0.0002977321221403402
21,5,0.7881340146064758,0.02276847082013291,0.9968270301818848,0.00035897087857345803,196,147,49,0.019957444611034724,0.00031465184828176535
22,5,0.8092151165008545,0.020044985165490165,0.9970234513282776,0.00036337620427377134,196,147,49,0.017570204179700264,0.00031851328651150493
23,5,0.8086633443832397,0.020938406872748026,0.9969725489616394,0.00035275416991080124,196,147,49,0.018353322834341244,0.0003092026628806885
24,5,0.809099805355072,0.01745509684797352,0.9968646168708801,0.0003085454486300786,196,147,49,0.015300066977517153,0.00027045201013572984
25,5,0.8103012204170227,0.020522134007150774,0.9968745231628418,0.0003621830698559704,196,147,49,0.01798844357987292,0.00031746745808302186
26,5,0.7486596941947937,0.023206461072041863,0.9962693214416504,0.00031352376471495316,196,147,49,0.02034135999392099,0.0002748156965819998
