seed,layer,n_total,n_train,n_test,baseline,test_r2,test_cos
0,0,196,147,49,ridge,0.6257838606834412,0.9950940608978271
0,0,196,147,49,identity_carryover,-0.0817643404006958,0.9861918091773987
0,0,196,147,49,mean_predictor,-0.04518783092498779,0.9863514304161072
0,0,196,147,49,shuffled_pair_ridge,-0.4361065626144409,0.9813351631164551
0,1,196,147,49,ridge,0.5809235572814941,0.9945595264434814
0,1,196,147,49,identity_carryover,0.056661009788513184,0.9878559708595276
0,1,196,147,49,mean_predictor,-0.0320819616317749,0.9865951538085938
0,1,196,147,49,shuffled_pair_ridge,-0.3670884370803833,0.9822160601615906
0,2,196,147,49,ridge,0.6589683294296265,0.9953359365463257
0,2,196,147,49,identity_carryover,0.1824493408203125,0.9888323545455933
0,2,196,147,49,mean_predictor,-0.03157699108123779,0.9858420491218567
0,2,196,147,49,shuffled_pair_ridge,-0.3446234464645386,0.9815714359283447
0,3,196,147,49,ridge,0.712457001209259,0.9960849285125732
0,3,196,147,49,identity_carryover,0.2840115427970886,0.990252673625946
0,3,196,147,49,mean_predictor,-0.027662277221679688,0.9858853816986084
0,3,196,147,49,shuffled_pair_ridge,-0.3190203905105591,0.9818602800369263
0,4,196,147,49,ridge,0.6456435322761536,0.9952137470245361
0,4,196,147,49,identity_carryover,0.19649749994277954,0.9891706109046936
0,4,196,147,49,mean_predictor,-0.028772711753845215,0.9860323071479797
0,4,196,147,49,shuffled_pair_ridge,-0.38058245182037354,0.9812353253364563
0,5,196,147,49,ridge,0.6859266757965088,0.9957070350646973
0,5,196,147,49,identity_carryover,0.18825095891952515,0.9889801740646362
0,5,196,147,49,mean_predictor,-0.0273134708404541,0.9858523607254028
0,5,196,147,49,shuffled_pair_ridge,-0.3128916025161743,0.981910228729248
0,6,196,147,49,ridge,0.6515383720397949,0.995109498500824
0,6,196,147,49,identity_carryover,0.2612987160682678,0.989622175693512
0,6,196,147,49,mean_predictor,-0.030536174774169922,0.9854311943054199
0,6,196,147,49,shuffled_pair_ridge,-0.3230777978897095,0.9812767505645752
0,7,196,147,49,ridge,0.6551638245582581,0.9951817989349365
0,7,196,147,49,identity_carryover,0.3226492404937744,0.9905911684036255
0,7,196,147,49,mean_predictor,-0.02949810028076172,0.9855379462242126
0,7,196,147,49,shuffled_pair_ridge,-0.310125470161438,0.9815648794174194
0,8,196,147,49,ridge,0.6793776154518127,0.9953638911247253
0,8,196,147,49,identity_carryover,0.4824337363243103,0.9925717711448669
0,8,196,147,49,mean_predictor,-0.027230381965637207,0.9851008653640747
0,8,196,147,49,shuffled_pair_ridge,-0.3093317747116089,0.9809819459915161
0,9,196,147,49,ridge,0.6130786538124084,0.9946074485778809
0,9,196,147,49,identity_carryover,0.31711632013320923,0.9905967712402344
0,9,196,147,49,mean_predictor,-0.028296947479248047,0.9856027960777283
0,9,196,147,49,shuffled_pair_ridge,-0.2564880847930908,0.982415497303009
0,10,196,147,49,ridge,0.6759618520736694,0.9954310059547424
0,10,196,147,49,identity_carryover,0.5439974069595337,0.9936093688011169
0,10,196,147,49,mean_predictor,-0.02740478515625,0.9853882789611816
0,10,196,147,49,shuffled_pair_ridge,-0.3733706474304199,0.9804531931877136
0,11,196,147,49,ridge,0.7031850814819336,0.9957348704338074
0,11,196,147,49,identity_carryover,0.6058173775672913,0.9943842887878418
0,11,196,147,49,mean_predictor,-0.026940226554870605,0.9851809144020081
0,11,196,147,49,shuffled_pair_ridge,-0.32088780403137207,0.9808802008628845
0,12,196,147,49,ridge,0.6407326459884644,0.9947514533996582
0,12,196,147,49,identity_carryover,0.5599214434623718,0.9936251044273376
0,12,196,147,49,mean_predictor,-0.029112935066223145,0.9848966598510742
0,12,196,147,49,shuffled_pair_ridge,-0.2411799430847168,0.9817449450492859
0,13,196,147,49,ridge,0.6989765167236328,0.9954732656478882
0,13,196,147,49,identity_carryover,0.6313114762306213,0.9944895505905151
0,13,196,147,49,mean_predictor,-0.02892458438873291,0.9844726324081421
0,13,196,147,49,shuffled_pair_ridge,-0.29708433151245117,0.980383038520813
0,14,196,147,49,ridge,0.6922485828399658,0.9955387711524963
0,14,196,147,49,identity_carryover,0.6732480525970459,0.9953288435935974
0,14,196,147,49,mean_predictor,-0.026359200477600098,0.9851096272468567
0,14,196,147,49,shuffled_pair_ridge,-0.3047531843185425,0.9811022281646729
0,15,196,147,49,ridge,0.707302451133728,0.9959503412246704
0,15,196,147,49,identity_carryover,0.6751078367233276,0.9955431222915649
0,15,196,147,49,mean_predictor,-0.02751302719116211,0.9857734441757202
0,15,196,147,49,shuffled_pair_ridge,-0.27357733249664307,0.9823852181434631
0,16,196,147,49,ridge,0.7101292610168457,0.9960619807243347
0,16,196,147,49,identity_carryover,0.6259307861328125,0.9949626326560974
0,16,196,147,49,mean_predictor,-0.02740478515625,0.9860348701477051
0,16,196,147,49,shuffled_pair_ridge,-0.313045859336853,0.9821761846542358
0,17,196,147,49,ridge,0.7116562128067017,0.9960971474647522
0,17,196,147,49,identity_carryover,0.6322128772735596,0.9950746297836304
0,17,196,147,49,mean_predictor,-0.026590704917907715,0.9860807061195374
0,17,196,147,49,shuffled_pair_ridge,-0.30290186405181885,0.9823453426361084
0,18,196,147,49,ridge,0.7297093868255615,0.996095597743988
0,18,196,147,49,identity_carryover,0.5625166296958923,0.9937284588813782
0,18,196,147,49,mean_predictor,-0.02667546272277832,0.9851636290550232
0,18,196,147,49,shuffled_pair_ridge,-0.2292996644973755,0.982213020324707
0,19,196,147,49,ridge,0.7228571176528931,0.9962142109870911
0,19,196,147,49,identity_carryover,0.5322304368019104,0.9936574101448059
0,19,196,147,49,mean_predictor,-0.026782631874084473,0.9859429001808167
0,19,196,147,49,shuffled_pair_ridge,-0.29674601554870605,0.9822480082511902
0,20,196,147,49,ridge,0.7447826266288757,0.9965250492095947
0,20,196,147,49,identity_carryover,0.5358049869537354,0.9937350749969482
0,20,196,147,49,mean_predictor,-0.02707695960998535,0.9859800338745117
0,20,196,147,49,shuffled_pair_ridge,-0.3785158395767212,0.9812093377113342
0,21,196,147,49,ridge,0.7682024836540222,0.9969078898429871
0,21,196,147,49,identity_carryover,0.5964322686195374,0.9947146773338318
0,21,196,147,49,mean_predictor,-0.03872644901275635,0.9861285090446472
0,21,196,147,49,shuffled_pair_ridge,-0.3252291679382324,0.9823146462440491
0,22,196,147,49,ridge,0.7927599549293518,0.9970673322677612
0,22,196,147,49,identity_carryover,0.6785944700241089,0.9954612851142883
0,22,196,147,49,mean_predictor,-0.033264875411987305,0.9853647947311401
0,22,196,147,49,shuffled_pair_ridge,-0.41792798042297363,0.9799590706825256
0,23,196,147,49,ridge,0.7882944345474243,0.9970390200614929
0,23,196,147,49,identity_carryover,0.726768970489502,0.9961852431297302
0,23,196,147,49,mean_predictor,-0.03918790817260742,0.9854180216789246
0,23,196,147,49,shuffled_pair_ridge,-0.3072572946548462,0.9817411303520203
0,24,196,147,49,ridge,0.7956317067146301,0.9969677329063416
0,24,196,147,49,identity_carryover,0.7179368734359741,0.9958239793777466
0,24,196,147,49,mean_predictor,-0.03365886211395264,0.9846499562263489
0,24,196,147,49,shuffled_pair_ridge,-0.3452054262161255,0.9799820184707642
0,25,196,147,49,ridge,0.7960448265075684,0.9969537854194641
0,25,196,147,49,identity_carryover,0.7821232080459595,0.9967529773712158
0,25,196,147,49,mean_predictor,-0.034712910652160645,0.9845275282859802
0,25,196,147,49,shuffled_pair_ridge,-0.22207093238830566,0.9817202091217041
0,26,196,147,49,ridge,0.7410945892333984,0.9962239861488342
0,26,196,147,49,identity_carryover,0.524462103843689,0.993208646774292
0,26,196,147,49,mean_predictor,-0.025919198989868164,0.9849185347557068
0,26,196,147,49,shuffled_pair_ridge,-0.20991337299346924,0.9822369813919067
1,0,196,147,49,ridge,0.6790649890899658,0.9952836036682129
1,0,196,147,49,identity_carryover,0.012174725532531738,0.9857474565505981
1,0,196,147,49,mean_predictor,-0.018672704696655273,0.9851230978965759
1,0,196,147,49,shuffled_pair_ridge,-0.28905975818634033,0.9811632633209229
1,1,196,147,49,ridge,0.612077534198761,0.994663655757904
1,1,196,147,49,identity_carryover,0.0054961442947387695,0.986568033695221
1,1,196,147,49,mean_predictor,-0.024149179458618164,0.9859305620193481
1,1,196,147,49,shuffled_pair_ridge,-0.2673910856246948,0.9825606346130371
1,2,196,147,49,ridge,0.7033602595329285,0.9957153797149658
1,2,196,147,49,identity_carryover,0.20433807373046875,0.9885713458061218
1,2,196,147,49,mean_predictor,-0.02305293083190918,0.9852322340011597
1,2,196,147,49,shuffled_pair_ridge,-0.33031463623046875,0.9807239174842834
1,3,196,147,49,ridge,0.7500683665275574,0.996582567691803
1,3,196,147,49,identity_carryover,0.28590208292007446,0.9903613328933716
1,3,196,147,49,mean_predictor,-0.022601962089538574,0.9860299825668335
1,3,196,147,49,shuffled_pair_ridge,-0.34624671936035156,0.9816260933876038
1,4,196,147,49,ridge,0.6715893149375916,0.9955582618713379
1,4,196,147,49,identity_carryover,0.21852898597717285,0.9894856214523315
1,4,196,147,49,mean_predictor,-0.02214646339416504,0.9861636757850647
1,4,196,147,49,shuffled_pair_ridge,-0.2807025909423828,0.9826288223266602
1,5,196,147,49,ridge,0.7337237596511841,0.9961903095245361
1,5,196,147,49,identity_carryover,0.2165936827659607,0.9889419078826904
1,5,196,147,49,mean_predictor,-0.021869778633117676,0.9853978157043457
1,5,196,147,49,shuffled_pair_ridge,-0.2949538230895996,0.9814278483390808
1,6,196,147,49,ridge,0.6806850433349609,0.9954028725624084
1,6,196,147,49,identity_carryover,0.27210497856140137,0.9895436763763428
1,6,196,147,49,mean_predictor,-0.023247957229614258,0.9851641654968262
1,6,196,147,49,shuffled_pair_ridge,-0.2299278974533081,0.9821616411209106
1,7,196,147,49,ridge,0.6734921932220459,0.9954808950424194
1,7,196,147,49,identity_carryover,0.3353427052497864,0.9908934831619263
1,7,196,147,49,mean_predictor,-0.02456188201904297,0.9857487678527832
1,7,196,147,49,shuffled_pair_ridge,-0.15447652339935303,0.9839437007904053
1,8,196,147,49,ridge,0.6724465489387512,0.9953296184539795
1,8,196,147,49,identity_carryover,0.4956137537956238,0.9928490519523621
1,8,196,147,49,mean_predictor,-0.023114323616027832,0.9853270649909973
1,8,196,147,49,shuffled_pair_ridge,-0.32970094680786133,0.9809101819992065
1,9,196,147,49,ridge,0.6204974055290222,0.994793176651001
1,9,196,147,49,identity_carryover,0.3393574357032776,0.9910494685173035
1,9,196,147,49,mean_predictor,-0.025535106658935547,0.985859215259552
1,9,196,147,49,shuffled_pair_ridge,-0.33280718326568604,0.9816130995750427
1,10,196,147,49,ridge,0.6868299245834351,0.9956327676773071
1,10,196,147,49,identity_carryover,0.5526549816131592,0.9938077330589294
1,10,196,147,49,mean_predictor,-0.02099132537841797,0.9856876730918884
1,10,196,147,49,shuffled_pair_ridge,-0.27354514598846436,0.9821813106536865
1,11,196,147,49,ridge,0.7062573432922363,0.9958682656288147
1,11,196,147,49,identity_carryover,0.5854549407958984,0.9942352771759033
1,11,196,147,49,mean_predictor,-0.01976633071899414,0.9855760335922241
1,11,196,147,49,shuffled_pair_ridge,-0.26257002353668213,0.9820918440818787
1,12,196,147,49,ridge,0.6571053266525269,0.9950206279754639
1,12,196,147,49,identity_carryover,0.5648316144943237,0.993712306022644
1,12,196,147,49,mean_predictor,-0.020041346549987793,0.9850726127624512
1,12,196,147,49,shuffled_pair_ridge,-0.3584878444671631,0.9800763130187988
1,13,196,147,49,ridge,0.7092714309692383,0.995598316192627
1,13,196,147,49,identity_carryover,0.6515183448791504,0.9947347640991211
1,13,196,147,49,mean_predictor,-0.018375277519226074,0.9845036268234253
1,13,196,147,49,shuffled_pair_ridge,-0.3043935298919678,0.9801381230354309
1,14,196,147,49,ridge,0.7145677208900452,0.9957184791564941
1,14,196,147,49,identity_carryover,0.692126989364624,0.9954195022583008
1,14,196,147,49,mean_predictor,-0.017920255661010742,0.9847121238708496
1,14,196,147,49,shuffled_pair_ridge,-0.2921522855758667,0.9805667400360107
1,15,196,147,49,ridge,0.719253420829773,0.9959282279014587
1,15,196,147,49,identity_carryover,0.6896664500236511,0.9955249428749084
1,15,196,147,49,mean_predictor,-0.019167780876159668,0.9851918816566467
1,15,196,147,49,shuffled_pair_ridge,-0.24589312076568604,0.9818841814994812
1,16,196,147,49,ridge,0.713940441608429,0.9959394335746765
1,16,196,147,49,identity_carryover,0.6338276863098145,0.9948268532752991
1,16,196,147,49,mean_predictor,-0.016964077949523926,0.9854689836502075
1,16,196,147,49,shuffled_pair_ridge,-0.3778645992279053,0.9802774786949158
1,17,196,147,49,ridge,0.7306338548660278,0.9962198138237
1,17,196,147,49,identity_carryover,0.6394182443618774,0.9949594736099243
1,17,196,147,49,mean_predictor,-0.01689624786376953,0.9856902360916138
1,17,196,147,49,shuffled_pair_ridge,-0.3976660966873169,0.9802581071853638
1,18,196,147,49,ridge,0.7468630075454712,0.9962767958641052
1,18,196,147,49,identity_carryover,0.5594059824943542,0.9935447573661804
1,18,196,147,49,mean_predictor,-0.018574953079223633,0.9849688410758972
1,18,196,147,49,shuffled_pair_ridge,-0.19634628295898438,0.9823027849197388
1,19,196,147,49,ridge,0.7455796003341675,0.9963956475257874
1,19,196,147,49,identity_carryover,0.5413119792938232,0.9935277700424194
1,19,196,147,49,mean_predictor,-0.0175015926361084,0.9855306148529053
1,19,196,147,49,shuffled_pair_ridge,-0.3801368474960327,0.980311930179596
1,20,196,147,49,ridge,0.7741178870201111,0.9967801570892334
1,20,196,147,49,identity_carryover,0.5502132773399353,0.9936420917510986
1,20,196,147,49,mean_predictor,-0.016326427459716797,0.9855038523674011
1,20,196,147,49,shuffled_pair_ridge,-0.24631667137145996,0.982202410697937
1,21,196,147,49,ridge,0.8116092085838318,0.9970523118972778
1,21,196,147,49,identity_carryover,0.6067118644714355,0.9939952492713928
1,21,196,147,49,mean_predictor,-0.016537785530090332,0.9842078685760498
1,21,196,147,49,shuffled_pair_ridge,-0.20207929611206055,0.9812158942222595
1,22,196,147,49,ridge,0.8323425054550171,0.99728924036026
1,22,196,147,49,identity_carryover,0.7108944058418274,0.995355486869812
1,22,196,147,49,mean_predictor,-0.01495826244354248,0.983725905418396
1,22,196,147,49,shuffled_pair_ridge,-0.4000561237335205,0.9775359630584717
1,23,196,147,49,ridge,0.8321837782859802,0.9972176551818848
1,23,196,147,49,identity_carryover,0.7717353701591492,0.9962229132652283
1,23,196,147,49,mean_predictor,-0.018212080001831055,0.9832750558853149
1,23,196,147,49,shuffled_pair_ridge,-0.2883845567703247,0.9787935614585876
1,24,196,147,49,ridge,0.82738196849823,0.9970214366912842
1,24,196,147,49,identity_carryover,0.7496947050094604,0.9957005977630615
1,24,196,147,49,mean_predictor,-0.018427252769470215,0.9825590252876282
1,24,196,147,49,shuffled_pair_ridge,-0.4366663694381714,0.9753654599189758
1,25,196,147,49,ridge,0.833266019821167,0.997137188911438
1,25,196,147,49,identity_carryover,0.8002535104751587,0.9966011047363281
1,25,196,147,49,mean_predictor,-0.01645219326019287,0.9827011227607727
1,25,196,147,49,shuffled_pair_ridge,-0.3443232774734497,0.977062463760376
