seed,layer,transition,baseline,test_r2,test_cos
0,0,L0->L1,ridge,0.6257839202880859,0.9950940608978271
0,0,L0->L1,identity_carryover,-0.0817644596099853,0.9861918091773988
0,0,L0->L1,mean_predictor,-0.0451878309249877,0.9863514304161072
0,0,L0->L1,shuffled_pair_ridge,-0.4361065626144409,0.9813351631164552
0,1,L1->L2,ridge,0.5809235572814941,0.9945595264434814
0,1,L1->L2,identity_carryover,0.0566611289978027,0.9878559708595276
0,1,L1->L2,mean_predictor,-0.0320819616317749,0.9865951538085938
0,1,L1->L2,shuffled_pair_ridge,-0.3670883178710937,0.9822160601615906
0,2,L2->L3,ridge,0.6589682102203369,0.9953359365463256
0,2,L2->L3,identity_carryover,0.1824493408203125,0.988832414150238
0,2,L2->L3,mean_predictor,-0.0315769910812377,0.9858420491218568
0,2,L2->L3,shuffled_pair_ridge,-0.3446239233016968,0.9815713763237
0,3,L3->L4,ridge,0.7124570608139038,0.9960849285125732
0,3,L3->L4,identity_carryover,0.2840116620063782,0.990252673625946
0,3,L3->L4,mean_predictor,-0.0276621580123901,0.9858853816986084
0,3,L3->L4,shuffled_pair_ridge,-0.31902015209198,0.9818602800369264
0,4,L4->L5,ridge,0.6456436514854431,0.9952138066291808
0,4,L4->L5,identity_carryover,0.1964972615242004,0.9891706109046936
0,4,L4->L5,mean_predictor,-0.0287725925445556,0.9860323667526244
0,4,L4->L5,shuffled_pair_ridge,-0.3805828094482422,0.9812354445457458
0,5,L5->L6,ridge,0.6859266757965088,0.9957070350646972
0,5,L5->L6,identity_carryover,0.1882509589195251,0.9889801740646362
0,5,L5->L6,mean_predictor,-0.0273134708404541,0.9858523607254028
0,5,L5->L6,shuffled_pair_ridge,-0.3128918409347534,0.981910228729248
0,6,L6->L7,ridge,0.6515383720397949,0.9951095581054688
0,6,L6->L7,identity_carryover,0.2612987160682678,0.989622175693512
0,6,L6->L7,mean_predictor,-0.0305361747741699,0.98543119430542
0,6,L6->L7,shuffled_pair_ridge,-0.3230776786804199,0.9812767505645752
0,7,L7->L8,ridge,0.6551640033721924,0.9951817989349364
0,7,L7->L8,identity_carryover,0.3226492404937744,0.9905911684036256
0,7,L7->L8,mean_predictor,-0.0294981002807617,0.985537886619568
0,7,L7->L8,shuffled_pair_ridge,-0.3101253509521484,0.9815648794174194
0,8,L8->L9,ridge,0.679377555847168,0.9953638911247252
0,8,L8->L9,identity_carryover,0.4824337363243103,0.9925717711448668
0,8,L8->L9,mean_predictor,-0.0272303819656372,0.9851008653640748
0,8,L8->L9,shuffled_pair_ridge,-0.309332013130188,0.9809818863868712
0,9,L9->L10,ridge,0.6130785942077637,0.9946074485778807
0,9,L9->L10,identity_carryover,0.3171164393424988,0.9905967712402344
0,9,L9->L10,mean_predictor,-0.0282968282699584,0.985602855682373
0,9,L9->L10,shuffled_pair_ridge,-0.2564883232116699,0.982415497303009
0,10,L10->L11,ridge,0.675961971282959,0.9954310059547424
0,10,L10->L11,identity_carryover,0.5439976453781128,0.9936093688011168
0,10,L10->L11,mean_predictor,-0.0274046659469604,0.9853882789611816
0,10,L10->L11,shuffled_pair_ridge,-0.3733706474304199,0.9804531931877136
0,11,L11->L12,ridge,0.7031852006912231,0.9957348704338074
0,11,L11->L12,identity_carryover,0.605817437171936,0.9943842887878418
0,11,L11->L12,mean_predictor,-0.026940107345581,0.9851808547973632
0,11,L11->L12,shuffled_pair_ridge,-0.320887804031372,0.9808802008628844
0,12,L12->L13,ridge,0.6407326459884644,0.9947513937950134
0,12,L12->L13,identity_carryover,0.5599212646484375,0.9936251640319824
0,12,L12->L13,mean_predictor,-0.0291130542755126,0.9848966598510742
0,12,L12->L13,shuffled_pair_ridge,-0.2411801815032959,0.9817448854446412
0,13,L13->L14,ridge,0.6989766359329224,0.9954732656478882
0,13,L13->L14,identity_carryover,0.6313114762306213,0.9944895505905152
0,13,L13->L14,mean_predictor,-0.0289247035980224,0.984472632408142
0,13,L13->L14,shuffled_pair_ridge,-0.2970846891403198,0.980383038520813
0,14,L14->L15,ridge,0.6922486424446106,0.995538592338562
0,14,L14->L15,identity_carryover,0.6732480525970459,0.9953288435935974
0,14,L14->L15,mean_predictor,-0.0263593196868896,0.9851096272468568
0,14,L14->L15,shuffled_pair_ridge,-0.3047531843185425,0.981102168560028
0,15,L15->L16,ridge,0.7073023319244385,0.9959502220153807
0,15,L15->L16,identity_carryover,0.6751079559326172,0.9955430030822754
0,15,L15->L16,mean_predictor,-0.0275129079818725,0.9857734441757202
0,15,L15->L16,shuffled_pair_ridge,-0.273577332496643,0.982385277748108
0,16,L16->L17,ridge,0.7101292610168457,0.9960619807243348
0,16,L16->L17,identity_carryover,0.6259307861328125,0.9949626326560974
0,16,L16->L17,mean_predictor,-0.02740478515625,0.9860348105430604
0,16,L16->L17,shuffled_pair_ridge,-0.3130456209182739,0.9821761846542358
0,17,L17->L18,ridge,0.7116562724113464,0.9960971474647522
0,17,L17->L18,identity_carryover,0.6322129368782043,0.9950745105743408
0,17,L17->L18,mean_predictor,-0.0265907049179077,0.9860807061195374
0,17,L17->L18,shuffled_pair_ridge,-0.3029022216796875,0.9823453426361084
0,18,L18->L19,ridge,0.7297093868255615,0.996095597743988
0,18,L18->L19,identity_carryover,0.5625167489051819,0.9937284588813782
0,18,L18->L19,mean_predictor,-0.0266753435134887,0.9851636290550232
0,18,L18->L19,shuffled_pair_ridge,-0.2292996644973755,0.9822128415107728
0,19,L19->L20,ridge,0.7228569984436035,0.9962142109870912
0,19,L19->L20,identity_carryover,0.5322306156158447,0.993657410144806
0,19,L19->L20,mean_predictor,-0.0267825126647949,0.9859427809715272
0,19,L19->L20,shuffled_pair_ridge,-0.2967456579208374,0.9822480082511902
0,20,L20->L21,ridge,0.7447826862335205,0.9965250492095948
0,20,L20->L21,identity_carryover,0.5358049869537354,0.9937350749969482
0,20,L20->L21,mean_predictor,-0.0270770788192749,0.9859801530838012
0,20,L20->L21,shuffled_pair_ridge,-0.3785158395767212,0.9812093377113342
0,21,L21->L22,ridge,0.768202543258667,0.9969078898429872
0,21,L21->L22,identity_carryover,0.5964323282241821,0.9947146773338318
0,21,L21->L22,mean_predictor,-0.0387264490127563,0.986128568649292
0,21,L21->L22,shuffled_pair_ridge,-0.3252297639846802,0.9823147654533386
0,22,L22->L23,ridge,0.7927600145339966,0.9970674514770508
0,22,L22->L23,identity_carryover,0.6785944700241089,0.9954612851142884
0,22,L22->L23,mean_predictor,-0.0332648754119873,0.98536479473114
0,22,L22->L23,shuffled_pair_ridge,-0.417927622795105,0.9799590706825256
0,23,L23->L24,ridge,0.7882943749427795,0.9970390200614928
0,23,L23->L24,identity_carryover,0.726768970489502,0.996185302734375
0,23,L23->L24,mean_predictor,-0.0391880273818969,0.9854179620742798
0,23,L23->L24,shuffled_pair_ridge,-0.3072578907012939,0.9817411303520204
0,24,L24->L25,ridge,0.7956317067146301,0.996967613697052
0,24,L24->L25,identity_carryover,0.7179369330406189,0.9958239793777466
0,24,L24->L25,mean_predictor,-0.033658742904663,0.9846500754356384
0,24,L24->L25,shuffled_pair_ridge,-0.345205545425415,0.9799819588661194
0,25,L25->L26,ridge,0.7960448861122131,0.996953785419464
0,25,L25->L26,identity_carryover,0.7821232676506042,0.9967529773712158
0,25,L25->L26,mean_predictor,-0.0347129106521606,0.9845275282859802
0,25,L25->L26,shuffled_pair_ridge,-0.2220714092254638,0.981720209121704
0,26,L26->L27,ridge,0.7410945892333984,0.9962239861488342
0,26,L26->L27,identity_carryover,0.524462103843689,0.993208646774292
0,26,L26->L27,mean_predictor,-0.0259190797805786,0.9849185347557068
0,26,L26->L27,shuffled_pair_ridge,-0.2099132537841797,0.982236921787262
1,0,L0->L1,ridge,0.6790650486946106,0.9952836036682128
1,0,L0->L1,identity_carryover,0.0121750235557556,0.985747456550598
1,0,L0->L1,mean_predictor,-0.0186725854873657,0.985123097896576
1,0,L0->L1,shuffled_pair_ridge,-0.2890594005584717,0.981163203716278
1,1,L1->L2,ridge,0.6120775938034058,0.994663655757904
1,1,L1->L2,identity_carryover,0.0054959654808044,0.986568033695221
1,1,L1->L2,mean_predictor,-0.0241491794586181,0.9859304428100586
1,1,L1->L2,shuffled_pair_ridge,-0.2673909664154053,0.9825606346130372
1,2,L2->L3,ridge,0.7033601403236389,0.9957153797149658
1,2,L2->L3,identity_carryover,0.2043381333351135,0.9885713458061218
1,2,L2->L3,mean_predictor,-0.0230529308319091,0.98523211479187
1,2,L2->L3,shuffled_pair_ridge,-0.3303149938583374,0.9807239174842834
1,3,L3->L4,ridge,0.7500683665275574,0.996582567691803
1,3,L3->L4,identity_carryover,0.2859021425247192,0.9903613328933716
1,3,L3->L4,mean_predictor,-0.0226020812988281,0.9860299825668336
1,3,L3->L4,shuffled_pair_ridge,-0.3462468385696411,0.9816259145736694
1,4,L4->L5,ridge,0.6715893745422363,0.995558261871338
1,4,L4->L5,identity_carryover,0.2185291647911071,0.9894856810569764
1,4,L4->L5,mean_predictor,-0.022146463394165,0.9861636757850648
1,4,L4->L5,shuffled_pair_ridge,-0.2807027101516723,0.9826288223266602
1,5,L5->L6,ridge,0.7337237596511841,0.996190309524536
1,5,L5->L6,identity_carryover,0.2165936231613159,0.9889419078826904
1,5,L5->L6,mean_predictor,-0.0218700170516967,0.9853977560997008
1,5,L5->L6,shuffled_pair_ridge,-0.2949544191360473,0.9814278483390808
1,6,L6->L7,ridge,0.6806850433349609,0.9954028725624084
1,6,L6->L7,identity_carryover,0.2721050977706909,0.9895436763763428
1,6,L6->L7,mean_predictor,-0.0232478380203247,0.985164225101471
1,6,L6->L7,shuffled_pair_ridge,-0.229927659034729,0.9821616411209106
1,7,L7->L8,ridge,0.6734921932220459,0.9954808950424194
1,7,L7->L8,identity_carryover,0.3353425860404968,0.9908934831619264
1,7,L7->L8,mean_predictor,-0.0245618820190429,0.9857487678527832
1,7,L7->L8,shuffled_pair_ridge,-0.154476523399353,0.9839437007904052
1,8,L8->L9,ridge,0.672446608543396,0.9953295588493348
1,8,L8->L9,identity_carryover,0.4956138134002685,0.992849051952362
1,8,L8->L9,mean_predictor,-0.0231143236160278,0.9853270649909972
1,8,L8->L9,shuffled_pair_ridge,-0.3297005891799927,0.9809101819992064
1,9,L9->L10,ridge,0.6204973459243774,0.994793176651001
1,9,L9->L10,identity_carryover,0.3393575549125671,0.9910494089126588
1,9,L9->L10,mean_predictor,-0.025535225868225,0.9858590960502625
1,9,L9->L10,shuffled_pair_ridge,-0.3328074216842651,0.9816130995750428
1,10,L10->L11,ridge,0.6868300437927246,0.9956327676773072
1,10,L10->L11,identity_carryover,0.5526549816131592,0.9938077330589294
1,10,L10->L11,mean_predictor,-0.0209912061691284,0.9856876730918884
1,10,L10->L11,shuffled_pair_ridge,-0.2735447883605957,0.9821813106536864
1,11,L11->L12,ridge,0.7062574028968811,0.99586820602417
1,11,L11->L12,identity_carryover,0.5854549407958984,0.9942352771759032
1,11,L11->L12,mean_predictor,-0.0197664499282836,0.985576033592224
1,11,L11->L12,shuffled_pair_ridge,-0.2625702619552612,0.9820918440818788
1,12,L12->L13,ridge,0.6571053266525269,0.995020627975464
1,12,L12->L13,identity_carryover,0.5648313760757446,0.993712306022644
1,12,L12->L13,mean_predictor,-0.0200415849685668,0.985072672367096
1,12,L12->L13,shuffled_pair_ridge,-0.3584879636764526,0.9800763130187988
1,13,L13->L14,ridge,0.7092715501785278,0.995598316192627
1,13,L13->L14,identity_carryover,0.6515183448791504,0.9947347640991212
1,13,L13->L14,mean_predictor,-0.0183751583099365,0.9845036268234252
1,13,L13->L14,shuffled_pair_ridge,-0.3043926954269409,0.9801381230354308
1,14,L14->L15,ridge,0.7145677208900452,0.995718479156494
1,14,L14->L15,identity_carryover,0.6921268701553345,0.9954195022583008
1,14,L14->L15,mean_predictor,-0.0179203748703002,0.98471200466156
1,14,L14->L15,shuffled_pair_ridge,-0.2921526432037353,0.9805667400360109
1,15,L15->L16,ridge,0.7192534804344177,0.9959282279014589
1,15,L15->L16,identity_carryover,0.6896664500236511,0.9955249428749084
1,15,L15->L16,mean_predictor,-0.0191679000854492,0.9851917624473572
1,15,L15->L16,shuffled_pair_ridge,-0.2458935976028442,0.9818841814994812
1,16,L16->L17,ridge,0.7139405012130737,0.9959394335746764
1,16,L16->L17,identity_carryover,0.6338275671005249,0.9948268532752992
1,16,L16->L17,mean_predictor,-0.0169640779495239,0.9854691028594972
1,16,L16->L17,shuffled_pair_ridge,-0.3778642416000366,0.9802774786949158
1,17,L17->L18,ridge,0.7306338548660278,0.9962198138237
1,17,L17->L18,identity_carryover,0.6394182443618774,0.9949594736099244
