k,null_type,iteration,tau,in_expected_zone,output_cluster,n_ops,path
2,observed,0,20.0,True,1,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1
2,circular_shift,1,21.0,True,1,27,O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1
2,circular_shift,2,22.0,True,1,27,O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1
2,circular_shift,3,23.0,False,1,27,O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1
2,circular_shift,4,24.0,False,1,27,O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1
2,circular_shift,5,12.0,False,0,27,O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1
2,circular_shift,6,12.0,False,0,27,O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1
2,circular_shift,7,12.0,False,0,27,O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0
2,circular_shift,8,12.0,False,0,27,O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0
2,circular_shift,9,12.0,False,0,27,O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0
2,circular_shift,10,12.0,False,0,27,O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0
2,circular_shift,11,12.0,False,0,27,O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0
2,circular_shift,12,12.0,False,0,27,O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0
2,circular_shift,13,13.0,False,0,27,O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0
2,circular_shift,14,14.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0
2,circular_shift,15,15.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0
2,circular_shift,16,16.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0
2,circular_shift,17,17.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0
2,circular_shift,18,18.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0
2,circular_shift,19,19.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0
2,circular_shift,20,20.0,True,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0
2,circular_shift,21,12.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0
2,circular_shift,22,12.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0 O0
2,circular_shift,23,12.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0 O0
2,circular_shift,24,12.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0 O0
2,circular_shift,25,18.0,False,1,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0 O0
2,circular_shift,26,19.0,False,1,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O1 O0
2,layer_permutation,0,12.0,False,0,27,O0 O0 O0 O0 O1 O1 O0 O1 O1 O0 O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1
2,layer_permutation,1,12.0,False,0,27,O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O1 O0 O1 O1 O0 O0 O0 O1 O0 O0 O0 O1 O0
