k,null_type,n,n_valid_tau,mean_tau,std_tau,zone_frequency,tau_values
2,circular_shift,26,26,15.5,4.08166632639171,0.1153846153846153,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
2,equal_width,1,1,14.0,0.0,0.0,[14]
2,layer_permutation,1000,995,13.852261306532665,3.008920742771064,0.03,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
2,observed,1,1,20.0,0.0,1.0,[20]
2,random_smooth_segmentation,1000,1000,14.915,3.8859845439574094,0.128,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3,circular_shift,26,26,19.76923076923077,3.1407985265876865,0.3461538461538461,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3,equal_width,1,1,18.0,0.0,0.0,[18]
3,layer_permutation,1000,893,18.06830907054871,4.156257525930882,0.233,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3,observed,1,1,19.0,0.0,0.0,[19]
3,random_smooth_segmentation,1000,1000,16.984,4.26965736025433,0.191,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
4,circular_shift,26,26,20.807692307692307,2.561550011523972,0.3846153846153846,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
4,equal_width,1,1,21.0,0.0,1.0,[21]
4,layer_permutation,1000,752,19.03191489361702,4.060008271811936,0.22,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
4,observed,1,1,20.0,0.0,1.0,[20]
4,random_smooth_segmentation,1000,1000,18.462,4.048820686193567,0.267,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
5,circular_shift,26,26,21.73076923076923,1.756307314969503,0.5,"[18, 19, 20, 21, 22, 23, 24]"
5,equal_width,1,1,22.0,0.0,1.0,[22]
5,layer_permutation,1000,583,20.62435677530017,3.828975739371936,0.185,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
5,observed,1,1,21.0,0.0,1.0,[21]
5,random_smooth_segmentation,1000,1000,19.384,3.628734174848264,0.351,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
8,circular_shift,26,26,22.307692307692307,1.3496438276591574,0.4615384615384615,"[19, 20, 21, 22, 23, 24]"
8,equal_width,1,1,24.0,0.0,0.0,[24]
8,layer_permutation,1000,431,21.74477958236659,3.187886138603201,0.143,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
8,observed,1,1,21.0,0.0,1.0,[21]
8,random_smooth_segmentation,1000,1000,21.144,2.598849364241417,0.372,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
