source,degree,k,silhouette,tau,in_expected_zone,ari_layer,nmi_layer,layer_explained_var
original,,2,0.0955682247877121,20,True,0.2873900293255132,0.37947518973441297,
original,,3,0.11265530437231064,20,True,0.7881873727087576,0.8304446998698604,
original,,4,0.1064412072300911,21,True,0.7154471544715447,0.803860432888289,
original,,5,0.11221028864383698,21,True,0.5833474648126166,0.7345210823328409,
original,,8,0.11792287230491638,21,True,0.5054015969938939,0.7997867635206357,
residual,1.0,2,0.08660177141427994,20,True,-0.027049873203719356,0.008735554432205911,0.1491650938987732
residual,1.0,3,0.07657122611999512,18,False,0.3876177658142665,0.5101692018194625,0.1491650938987732
residual,1.0,4,0.06395114958286285,21,True,0.3232497839239412,0.4945389099708693,0.1491650938987732
residual,1.0,5,0.059972673654556274,20,True,0.1474047558169266,0.4407050947495618,0.1491650938987732
residual,1.0,8,0.04561080411076546,24,False,0.40980062454960364,0.7579672058858308,0.1491650938987732
residual,2.0,2,0.05211961269378662,12,False,0.07604562737642585,0.08111651799230502,0.25884848833084106
residual,2.0,3,0.049529701471328735,12,False,-0.0027223230490018148,0.09760301298199378,0.25884848833084106
residual,2.0,4,0.035609856247901917,12,False,0.16547788873038516,0.38246355033898966,0.25884848833084106
residual,2.0,5,0.006620890460908413,20,True,0.09097080787508487,0.3719198806397428,0.25884848833084106
residual,2.0,8,0.03266318514943123,21,True,0.16401429035401105,0.6002502077730778,0.25884848833084106
residual,3.0,2,0.049357861280441284,20,True,-0.037146475306036306,0.0014613094686876415,0.3254953622817993
residual,3.0,3,0.027556370943784714,17,False,0.09275618374558305,0.1734676521965809,0.3254953622817993
residual,3.0,4,0.021437283605337143,15,False,0.034653465346534656,0.18130564806208802,0.3254953622817993
residual,3.0,5,0.00937254074960947,22,True,0.16669492962523316,0.4042641547668878,0.3254953622817993
residual,3.0,8,0.04020819813013077,21,True,0.11273551716050348,0.5367113997791118,0.3254953622817993
