layer,transition,test_r2,test_cos
0,L0->L1,0.5652,0.9941
1,L1->L2,0.5824,0.9943
2,L2->L3,0.6712,0.9955
3,L3->L4,0.6804,0.9957
4,L4->L5,0.61,0.9946
5,L5->L6,0.6355,0.9949
6,L6->L7,0.5949,0.9941
7,L7->L8,0.604,0.9943
8,L8->L9,0.5855,0.9942
9,L9->L10,0.5804,0.9939
10,L10->L11,0.6243,0.9946
11,L11->L12,0.6457,0.9949
12,L12->L13,0.6062,0.9942
13,L13->L14,0.6395,0.9948
14,L14->L15,0.645,0.9947
15,L15->L16,0.6556,0.9947
16,L16->L17,0.6759,0.9951
17,L17->L18,0.6703,0.995
18,L18->L19,0.7031,0.9954
19,L19->L20,0.6832,0.9952
20,L20->L21,0.674,0.9948
21,L21->L22,0.7155,0.9951
22,L22->L23,0.726,0.9951
23,L23->L24,0.7213,0.995
24,L24->L25,0.7326,0.995
25,L25->L26,0.7283,0.9949
26,L26->L27,0.7576,0.9951
