best_type,model_a,model_b,pearson_distance_corr,spearman_distance_corr
topology,qwen,llama,0.9772072845733053,0.8161767844170285
topology,qwen,gemma,0.924097118226574,0.8045363602003175
topology,llama,gemma,0.9706162635029001,0.7885978704369759
mechanism,qwen,llama,0.8134964967342485,0.8940656308418647
mechanism,qwen,gemma,0.8631774757768337,0.789261131333441
mechanism,llama,gemma,0.9278545376064239,0.8647749982289287
downstream,qwen,llama,0.901568717597937,0.9006163978196974
downstream,qwen,gemma,0.8746989637668863,0.8458659278271283
downstream,llama,gemma,0.9835325212684219,0.7998988875662085
overall,qwen,llama,0.901568717597937,0.9006163978196974
overall,qwen,gemma,0.808056199240536,0.7560153775330768
overall,llama,gemma,0.9499995310440338,0.7741634855443124
