model_key,k,window,start,end,length,start_frac,end_frac,layers,preserve_distance_mean,structure_change_distance_mean,invariance_score_1_minus_preserve,structure_separation_auc,structure_lift_over_preserve,mechanism_acc_group,mechanism_macro_f1_group,downstream_deltaU_r2_group,downstream_deltaU_corr_group,topology_score,mechanism_score,downstream_score,overall_score
llama,100,L0_1,0,1,2,0.0,0.06666666666666667,"[0, 1]",0.10570713793837676,0.03265318118118391,0.8942928620616233,0.4351594650205761,-0.6910976048637744,0.6944444444444444,0.6793425233943342,0.06465761383670621,0.2545467559844972,0.8942928620616233,0.6793425233943342,0.2545467559844972,1.194257854533877
llama,500,L0_1,0,1,2,0.0,0.06666666666666667,"[0, 1]",0.14463559013994928,0.053846258183200754,0.8553644098600507,0.43822016460905355,-0.6277108254738173,0.6843434343434344,0.6739087421981269,0.12579587426776973,0.35530064136017436,0.8553644098600507,0.6739087421981269,0.35530064136017436,1.2510497117766666
llama,100,L1_2,1,2,2,0.06666666666666667,0.13333333333333333,"[1, 2]",0.19097474812096746,0.0941233191698454,0.8090252518790325,0.47134773662551444,-0.5071425664001853,0.6944444444444444,0.6933645983645983,0.08158982275769266,0.2866195462636665,0.8090252518790325,0.6933645983645983,0.2866195462636665,1.188499941642128
llama,500,L1_2,1,2,2,0.06666666666666667,0.13333333333333333,"[1, 2]",0.19832116233166874,0.0952266614318811,0.8016788376683313,0.4715792181069959,-0.5198360804734165,0.6994949494949495,0.6992853216052777,0.09226306608528057,0.30613684177185063,0.8016788376683313,0.6992853216052777,0.30613684177185063,1.2051771495358683
llama,100,L2_3,2,3,2,0.13333333333333333,0.2,"[2, 3]",0.23964764242768655,0.15749593432615006,0.7603523575723135,0.4833333333333333,-0.34280205655812,0.7424242424242424,0.742555026534935,0.06947142313693566,0.2635952807816211,0.7603523575723135,0.742555026534935,0.2635952807816211,1.1850964246394016
llama,500,L2_3,2,3,2,0.13333333333333333,0.2,"[2, 3]",0.22990504839597636,0.14231216234904875,0.7700949516040236,0.47049897119341566,-0.38099590612774703,0.696969696969697,0.7059966140960526,0.06718867816580065,0.2603133559936329,0.7700949516040236,0.7059966140960526,0.2603133559936329,1.1580954518737603
llama,100,L3_4,3,4,2,0.2,0.26666666666666666,"[3, 4]",0.2627689412523238,0.18246883428126348,0.7372310587476762,0.4722993827160493,-0.30559206705495495,0.696969696969697,0.6996343841876983,0.044892358897493545,0.21200106985238162,0.7372310587476762,0.6996343841876983,0.21200106985238162,1.097923892605902
llama,500,L3_4,3,4,2,0.2,0.26666666666666666,"[3, 4]",0.24351795739337387,0.1636093407165168,0.7564820426066261,0.4683899176954732,-0.32814259059486295,0.7121212121212122,0.7195628134185458,0.046150938127893615,0.21485229575146314,0.7564820426066261,0.7195628134185458,0.21485229575146314,1.1257731086393203
llama,100,L4_5,4,5,2,0.26666666666666666,0.3333333333333333,"[4, 5]",0.27542778689587794,0.19346190942960842,0.7245722131041221,0.4559156378600823,-0.297594790322691,0.6060606060606061,0.6145286575288677,0.05736711577784659,0.24055736459166244,0.7245722131041221,0.6145286575288677,0.24055736459166244,1.0463549242484853
llama,500,L4_5,4,5,2,0.26666666666666666,0.3333333333333333,"[4, 5]",0.25581023216861687,0.1739722400855513,0.7441897678313831,0.4580504115226337,-0.31991679218661706,0.7272727272727273,0.7298706016274585,0.07098592539693072,0.2673776291355057,0.7441897678313831,0.7298706016274585,0.2673776291355057,1.169893468526063
