"figure","role","status","staged_file","source_path","source_last_write","bytes","sha256","rows","columns"
"Fig01","layer_profile","canonical-candidate","fig01_p2_seedstability_layer_summary.csv","[local provenance path redacted]","2026-06-13 17:18:50","3915","1cef4fb49c019e159b34e92e1b5c0f5f2b7e9d7c5087c0424149cbc28e0aa774","27","11"
"Fig01","macro_profile","canonical-candidate","fig01_p2_seedstability_macro_summary.csv","[local provenance path redacted]","2026-06-13 17:18:50","312","d1be5cd67ff6d24e2527860c1a71c9cf31984202e0de4a06f183b1a679ad7234","5","6"
"Fig01","transition_signatures","canonical-candidate","fig01_p2_transition_signatures.csv","[local provenance path redacted]","2026-06-13 17:18:50","22726","792bd40d279efeddfedf734ae02855402f17c3e5c195475cc908a24c3ce0406a","135","10"
"Fig02","seed_summary","canonical-candidate","fig02_p2_seed_summary.csv","[local provenance path redacted]","2026-06-13 17:18:50","1184","d3557661d6c0a5a9483834af142a82c0c0afca80ea15f41edf1f87927c94a062","20","4"
"Fig02","seed_metrics","canonical-candidate","fig02_p2_seed_metrics.csv","[local provenance path redacted]","2026-06-13 17:18:50","38128","2aa11d982c88dc6107a278d25357abd039d24d98d89fca2674fdbb0f438b359c","540","8"
"Fig02","repeated_split_summary","canonical-candidate","fig02_repeated_split_summary.csv","[local provenance path redacted]","2026-06-13 17:18:50","425","4b19a5ecedd218e67533794af74a431345936b6744e24421c7073c330e352dc7","4","5"
"Fig02","repeated_split_metrics","canonical-candidate","fig02_repeated_split_metrics.csv","[local provenance path redacted]","2026-06-13 17:18:50","35723","232defaea3e751923be87f1bfd993eaef6c2619d0808f3dd1ae7492345c10cf0","540","6"
"Fig02","natural_language_robustness","canonical-candidate","fig02_natural_language_robustness.csv","[local provenance path redacted]","2026-06-13 17:18:50","823","f4a20a8fd6ca669acf7001954f42312f03e2e10ec4d0aeeec7dd714ac7ab91db","4","11"
"Fig02","public_style_validation","canonical-candidate","fig02_public_style_validation.csv","[local provenance path redacted]","2026-06-13 17:18:50","423","1bffa5e2aed99166b189ca38fbd6cab3497e980588644c83ec38d38a2004efd9","4","5"
"Fig03","transition_operator_fit","canonical-candidate","fig03_transition_operator_fit.csv","[local provenance path redacted]","2026-06-13 17:18:50","698","000be1530ce4695e9485757546d5170be063cc9287f8c53bd5d53591f01ae048","27","4"
"Fig03","macro_null_summary","canonical-candidate","fig03_macro_null_summary.csv","[local provenance path redacted]","2026-06-13 17:18:50","2264","7e595900e55ac9a9554deb5e74d42707665286f741073256db966e285bb48c27","25","8"
"Fig03","macro_null_distribution","canonical-candidate","fig03_macro_null_distribution.csv","[local provenance path redacted]","2026-06-13 17:18:50","1262692","afe3b8fad59c782e2eff6574a0d2efb49fac5cd09d401a0582d1edf81080ae2f","10140","8"
"Fig03","state_topk_ablation","canonical-candidate","fig03_state_topk_ablation.csv","[local provenance path redacted]","2026-06-13 17:18:50","6982","792008bff3820a275b5dda23a7258db268af738689aba5924f0d3b1402dc0339","56","10"
"Fig03","relation_invariance","canonical-candidate","fig03_relation_invariance.csv","[local provenance path redacted]","2026-06-13 17:18:50","356","2150ed1b609529221e38712bf88d6aac36386b696d06b1334246591e545b3562","4","9"
"Fig03","relation_path_agreement","canonical-candidate","fig03_relation_path_agreement.csv","[local provenance path redacted]","2026-06-13 17:18:50","256","a9f84fb5f2490c5c70ac9cca654e71708da0965a39bc84baeb8ab1686fb887d4","12","4"
"Fig04","qwen_window_scan","canonical-candidate","fig04_qwen_window_scan.csv","[local provenance path redacted]","2026-06-03 13:56:35","36736","462996a3e19c65b2e8a5da65983fbbd82f0824aca975e3d22d400f8893117e84","112","22"
"Fig04","llama_window_scan","canonical-candidate","fig04_llama_window_scan.csv","[local provenance path redacted]","2026-06-03 13:57:13","12874","a73fd4c1d1d59c1263134250df14d500fe1c208abf7c4f230acae4c4a3a9f164","40","22"
"Fig04","gemma_window_scan","canonical-candidate","fig04_gemma_window_scan.csv","[local provenance path redacted]","2026-06-03 13:58:26","30219","988c8f9698f5c8564ce6344d935141c42b81a6dab299a7d9d1383599836f93b6","100","22"
"Fig04","model_summary","canonical-candidate","fig04_cm4d_model_summary.csv","[local provenance path redacted]","2026-06-03 13:58:27","2461","bca7c6a3cccdeab1645e37d59c4458d6b6e70395505a22baf02c2f87a571bead","3","39"
"Fig04","functional_geometry_recurrence","canonical-candidate","fig04_functional_geometry_recurrence.csv","[local provenance path redacted]","2026-06-03 13:58:27","788","c38e48ccd71fbd3f4669177b4b299396a57747f0781c3037fa348e92a0756aa5","12","5"
"Fig04","direction_identity_boundary","canonical-candidate","fig04_direction_identity_boundary.csv","[local provenance path redacted]","2026-06-03 13:43:11","284","262ffd639d046732ee7c9ab9a4e7a4583c9eb8c9a0a105964ca70f7a55852440","3","5"
"Fig04","overall_summary","canonical-candidate","fig04_cm4d_overall_summary.json","[local provenance path redacted]","2026-06-03 13:58:27","8487","820f8924108ac9692a2bbb1a3df11e9e718eb6ef8e757c0b2c832b823a30ab3c","",""
