"graph_id","condition","phase","DeltaU_PC1"
"0","stable_positive","positive","2.2963711945093728"
"0","weak_positive","positive","2.0150886995483117"
"0","true_compete_balanced","critical","-0.5518732901686865"
"0","true_compete_order_C_first","critical","1.4307370666115575"
"0","true_compete_order_E_first","critical","1.3165118651082626"
"0","direct_negative","negative","-0.9146259960533908"
"0","update_negative","negative","-1.0368458860699603"
"0","exception_negative","negative","-1.7002042582396315"
"1","stable_positive","positive","2.2963711945093728"
"1","weak_positive","positive","2.021712916888661"
"1","true_compete_balanced","critical","1.5554039698088056"
"1","true_compete_order_C_first","critical","2.5175231616709355"
"1","true_compete_order_E_first","critical","2.782125970716883"
"1","direct_negative","negative","-0.15807113707009465"
"1","update_negative","negative","-1.2433369434277732"
"1","exception_negative","negative","-2.363143576413476"
"2","stable_positive","positive","2.2963711945093728"
"2","weak_positive","positive","1.1357048834803949"
"2","true_compete_balanced","critical","-1.1794091375289755"
"2","true_compete_order_C_first","critical","0.24771937219516843"
"2","true_compete_order_E_first","critical","1.5419161625899216"
"2","direct_negative","negative","-2.9689258994902556"
"2","update_negative","negative","-5.75734652277111"
"2","exception_negative","negative","-4.135340675682362"
"3","stable_positive","positive","2.2963711945093728"
"3","weak_positive","positive","0.5808124701313537"
"3","true_compete_balanced","critical","-2.441092868259583"
"3","true_compete_order_C_first","critical","-1.5275514188001744"
"3","true_compete_order_E_first","critical","0.5512933558472838"
"3","direct_negative","negative","-2.7273317545402818"
"3","update_negative","negative","-4.451188818011425"
"3","exception_negative","negative","-5.6733574801138085"
"4","stable_positive","positive","2.2963711945093728"
"4","weak_positive","positive","2.1364064991936047"
"4","true_compete_balanced","critical","-1.9922212000133055"
"4","true_compete_order_C_first","critical","0.5626856876918953"
"4","true_compete_order_E_first","critical","1.02043760950854"
"4","direct_negative","negative","-1.6938470665234604"
"4","update_negative","negative","-0.975216948115841"
"4","exception_negative","negative","-2.574875615603707"
"5","stable_positive","positive","2.2963711945093728"
"5","weak_positive","positive","3.051029103485895"
"5","true_compete_balanced","critical","0.6660369558956426"
"5","true_compete_order_C_first","critical","2.6664208029393865"
"5","true_compete_order_E_first","critical","3.8719058911963593"
"5","direct_negative","negative","-1.090804069217317"
"5","update_negative","negative","0.1925954504749649"
"5","exception_negative","negative","-0.4658200717265779"
"6","stable_positive","positive","2.2963711945093728"
"6","weak_positive","positive","2.0223519302446835"
"6","true_compete_balanced","critical","-0.25306954868157516"
"6","true_compete_order_C_first","critical","1.625542561481007"
"6","true_compete_order_E_first","critical","1.4955908210402151"
"6","direct_negative","negative","-0.6386102120787716"
"6","update_negative","negative","-0.4925552250220493"
"6","exception_negative","negative","-2.3060152922420794"
"7","stable_positive","positive","2.2963711945093728"
"7","weak_positive","positive","1.9796198359034822"
"7","true_compete_balanced","critical","1.4385352763533532"
"7","true_compete_order_C_first","critical","2.413432552481031"
"7","true_compete_order_E_first","critical","2.7574642804035783"
"7","direct_negative","negative","-0.17210511417430435"
"7","update_negative","negative","-1.0346146661445326"
"7","exception_negative","negative","-2.2160370057044116"
"8","stable_positive","positive","2.2963711945093728"
"8","weak_positive","positive","1.1676205734318779"
"8","true_compete_balanced","critical","-1.226550679138112"
"8","true_compete_order_C_first","critical","0.07072221461488046"
"8","true_compete_order_E_first","critical","1.6772286434659884"
"8","direct_negative","negative","-2.6021788739901464"
"8","update_negative","negative","-5.964487605200094"
"8","exception_negative","negative","-4.440486607040703"
"9","stable_positive","positive","2.2963711945093728"
"9","weak_positive","positive","0.6608844969031756"
"9","true_compete_balanced","critical","-2.3722587627321015"
"9","true_compete_order_C_first","critical","-1.6963747895028827"
"9","true_compete_order_E_first","critical","0.7760246776984446"
"9","direct_negative","negative","-2.386079786651627"
"9","update_negative","negative","-4.31871963607385"
"9","exception_negative","negative","-5.249588413181246"
"10","stable_positive","positive","2.2963711945093728"
"10","weak_positive","positive","2.0959491547910933"
"10","true_compete_balanced","critical","-2.188053917130427"
"10","true_compete_order_C_first","critical","-7.233714266480767e-05"
"10","true_compete_order_E_first","critical","0.7400123537669668"
"10","direct_negative","negative","-1.8057109520454817"
"10","update_negative","negative","-1.0025833930751742"
"10","exception_negative","negative","-2.216426842945904"
"11","stable_positive","positive","2.2963711945093728"
"11","weak_positive","positive","3.0756930330211967"
"11","true_compete_balanced","critical","0.8325843850314333"
"11","true_compete_order_C_first","critical","2.479595348047869"
"11","true_compete_order_E_first","critical","3.818849366805409"
"11","direct_negative","negative","-1.021790526208556"
"11","update_negative","negative","-0.13994516656903216"
"11","exception_negative","negative","-0.5512724207545495"
"12","stable_positive","positive","2.2963711945093728"
"12","weak_positive","positive","1.9174882310266206"
"12","true_compete_balanced","critical","-0.31460257721777213"
"12","true_compete_order_C_first","critical","0.939085013760197"
"12","true_compete_order_E_first","critical","1.1114209789430964"
"12","direct_negative","negative","-0.5008622596827783"
"12","update_negative","negative","-0.6403595600474893"
"12","exception_negative","negative","-2.9087812248101597"
"13","stable_positive","positive","2.2963711945093728"
"13","weak_positive","positive","1.9755132967046078"
"13","true_compete_balanced","critical","1.5330320614317237"
"13","true_compete_order_C_first","critical","2.4050765534670564"
"13","true_compete_order_E_first","critical","2.6850910773287793"
"13","direct_negative","negative","-0.07224419404299044"
"13","update_negative","negative","-1.0936411009386091"
"13","exception_negative","negative","-2.125763730030035"
"14","stable_positive","positive","2.2963711945093728"
"14","weak_positive","positive","1.376889611754759"
"14","true_compete_balanced","critical","-1.1382522876452472"
"14","true_compete_order_C_first","critical","0.20405367393159402"
"14","true_compete_order_E_first","critical","1.3945093224870646"
"14","direct_negative","negative","-2.6380551068089035"
"14","update_negative","negative","-5.910877371835979"
"14","exception_negative","negative","-5.2932702837105845"
"15","stable_positive","positive","2.2963711945093728"
"15","weak_positive","positive","0.7297115947054578"
"15","true_compete_balanced","critical","-2.336825136597829"
"15","true_compete_order_C_first","critical","-1.7002932066099763"
"15","true_compete_order_E_first","critical","0.5467292264336473"
"15","direct_negative","negative","-2.554019763770058"
"15","update_negative","negative","-4.525297875998953"
"15","exception_negative","negative","-5.921966705827869"
"16","stable_positive","positive","2.2963711945093728"
"16","weak_positive","positive","2.1336613334057652"
"16","true_compete_balanced","critical","-1.9064096290994228"
"16","true_compete_order_C_first","critical","-0.002729071623181873"
"16","true_compete_order_E_first","critical","0.989289559206188"
"16","direct_negative","negative","-1.3812282479352416"
"16","update_negative","negative","-0.7125079073988038"
"16","exception_negative","negative","-2.5196589346421456"
"17","stable_positive","positive","2.2963711945093728"
"17","weak_positive","positive","3.0402280137318254"
"17","true_compete_balanced","critical","0.9606936561719184"
"17","true_compete_order_C_first","critical","2.4371611949597463"
"17","true_compete_order_E_first","critical","3.788033087400281"
"17","direct_negative","negative","-0.7747285088779013"
