method,component,explained_variance_ratio,cumulative_variance
PCA,1,0.8560799454799185,0.8560799454799185
PCA,2,0.10083285031190513,0.9569127957918236
PCA,3,0.034888555698311806,0.9918013514901355
PCA,4,0.005298285628929223,0.9970996371190647
PCA,5,0.0020024407745301643,0.9991020778935948
PCA,6,0.0008979221064051556,1.0
FA,1,,
FA,2,,
FA,3,,
FA,4,,
FA,5,,
FA,6,,
ICA,1,,
ICA,2,,
ICA,3,,
ICA,4,,
ICA,5,,
ICA,6,,
NMF,1,,
NMF,2,,
NMF,3,,
NMF,4,,
NMF,5,,
NMF,6,,0.9993964903927112
