model_key,k,window,transition_layers,n_transitions,decision_start,decision_layers,leakage_free,ridge_deltaU_r2,ridge_deltaU_corr,mechanism_acc,mechanism_macro_f1,center_sum_corr_deltaU,jaccard_sum_corr_deltaU,weighted_jaccard_sum_corr_deltaU,entropy_abs_sum_corr_deltaU
gemma,100,topo_early_0_25depth,"[0, 1, 2, 3, 4, 5, 6]",7,18,"[18, 19, 20, 21, 22, 23]",True,0.728442300695232,0.8535154905367418,0.9722222222222222,0.9652534206136171,-0.04131077944680854,-0.06094225629217035,0.11024437925564881,-0.14133559314423755
gemma,100,topo_mid_25_55depth,"[7, 8, 9, 10, 11, 12, 13]",7,18,"[18, 19, 20, 21, 22, 23]",True,0.7781108082507486,0.8821202458318563,0.9837962962962963,0.9817066773560406,0.14398103055417585,-0.1078854283502168,0.05312212381525615,0.21696706040387032
gemma,100,topo_predecision_all,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",17,18,"[18, 19, 20, 21, 22, 23]",True,0.8257347604448718,0.9090658947254671,0.9976851851851852,0.9961507618283881,0.047399346400896276,-0.01625216494067075,0.11874751144273214,0.07365968807569805
gemma,100,topo_after_topology_until_predecision,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",16,18,"[18, 19, 20, 21, 22, 23]",True,0.8194730694572362,0.905577110993232,0.9953703703703703,0.9932207118339131,0.04794893605970728,-0.0071552171406968805,0.13917912641448132,0.07366018542895342
gemma,100,topo_after_mechanism_until_predecision,"[8, 9, 10, 11, 12, 13, 14, 15, 16]",9,18,"[18, 19, 20, 21, 22, 23]",True,0.7815187274227537,0.8841000368856872,0.9791666666666666,0.9760034798278728,0.23567944084141157,0.00941051222054941,0.026677131421607964,0.1211649731883491
gemma,100,topo_after_downstream_until_predecision,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",16,18,"[18, 19, 20, 21, 22, 23]",True,0.8194730694572362,0.905577110993232,0.9953703703703703,0.9932207118339131,0.04794893605970728,-0.0071552171406968805,0.13917912641448132,0.07366018542895342
gemma,100,topo_after_overall_until_predecision,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",11,18,"[18, 19, 20, 21, 22, 23]",True,0.8241034022038456,0.9078523937174324,0.9930555555555556,0.9918953307868622,0.3091879613158648,0.026538420176814712,0.057670823040278554,0.1319534392171034
gemma,100,topo_cm4d_topology_only,[0],1,18,"[18, 19, 20, 21, 22, 23]",True,0.16240165801437878,0.4030516138782565,0.6759259259259259,0.6544131274631122,-0.3127872665036036,-0.11138380831631002,-0.12136157332466568,0.013288607118546528
gemma,100,topo_cm4d_mechanism_only,[7],1,18,"[18, 19, 20, 21, 22, 23]",True,0.4784601866727176,0.6917622874896298,0.6550925925925926,0.6454947510981993,0.27933833769071936,0.01830782946421017,0.5725651083517759,0.13314740184836968
gemma,100,topo_cm4d_downstream_only,[0],1,18,"[18, 19, 20, 21, 22, 23]",True,0.16240165801437878,0.4030516138782565,0.6759259259259259,0.6544131274631122,-0.3127872665036036,-0.11138380831631002,-0.12136157332466568,0.013288607118546528
gemma,500,topo_early_0_25depth,"[0, 1, 2, 3, 4, 5, 6]",7,18,"[18, 19, 20, 21, 22, 23]",True,0.7426420082101238,0.862128206328282,0.9560185185185185,0.9471035173354339,-0.3067534398484317,-0.14220382679378205,-0.15936072486949465,-0.14034975629774957
gemma,500,topo_mid_25_55depth,"[7, 8, 9, 10, 11, 12, 13]",7,18,"[18, 19, 20, 21, 22, 23]",True,0.7909108092673639,0.889354390938756,0.9861111111111112,0.9832621551060581,0.12980777323233963,0.03259897628927503,0.043527510868641095,0.20903011620888512
gemma,500,topo_predecision_all,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",17,18,"[18, 19, 20, 21, 22, 23]",True,0.8441595895677501,0.9188369642974002,0.9930555555555556,0.9903188700663255,-0.23689722921699244,-0.016832266338472936,0.03328111117250874,0.06485832718640122
gemma,500,topo_after_topology_until_predecision,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",16,18,"[18, 19, 20, 21, 22, 23]",True,0.8395396946525895,0.9163188208850721,0.9930555555555556,0.9903188700663255,-0.2359019107040757,-0.01197736183817166,0.049992408875882015,0.06485873513045129
gemma,500,topo_after_mechanism_until_predecision,"[8, 9, 10, 11, 12, 13, 14, 15, 16]",9,18,"[18, 19, 20, 21, 22, 23]",True,0.7943182435815741,0.8913994054251843,0.9930555555555556,0.9918953307868622,0.21170943039254092,0.023341585504993916,0.054871705806166036,0.12076811432331941
gemma,500,topo_after_downstream_until_predecision,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",16,18,"[18, 19, 20, 21, 22, 23]",True,0.8395396946525895,0.9163188208850721,0.9930555555555556,0.9903188700663255,-0.2359019107040757,-0.01197736183817166,0.049992408875882015,0.06485873513045129
gemma,500,topo_after_overall_until_predecision,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",11,18,"[18, 19, 20, 21, 22, 23]",True,0.8326242793782265,0.9125736018426548,0.9930555555555556,0.9903188700663255,0.25646631117237717,0.05074599819153632,0.09932399765466991,0.12370835570831712
gemma,500,topo_cm4d_topology_only,[0],1,18,"[18, 19, 20, 21, 22, 23]",True,0.33710937979046807,0.5807549511548808,0.7870370370370371,0.7714122013753969,-0.4373086323775935,-0.1613417503200159,-0.19961804314032866,0.013288605130857414
gemma,500,topo_cm4d_mechanism_only,[7],1,18,"[18, 19, 20, 21, 22, 23]",True,0.5905123349209844,0.7684962318891914,0.7199074074074074,0.7101950337244455,0.06839200838945728,0.20030231021399217,0.6311978001889328,0.11492485052862039
gemma,500,topo_cm4d_downstream_only,[0],1,18,"[18, 19, 20, 21, 22, 23]",True,0.33710937979046807,0.5807549511548808,0.7870370370370371,0.7714122013753969,-0.4373086323775935,-0.1613417503200159,-0.19961804314032866,0.013288605130857414
