model_key,k,window,transition_layers,n_transitions,decision_start,decision_layers,leakage_free,ridge_deltaU_r2,ridge_deltaU_corr,mechanism_acc,mechanism_macro_f1,center_sum_corr_deltaU,jaccard_sum_corr_deltaU,weighted_jaccard_sum_corr_deltaU,entropy_abs_sum_corr_deltaU
llama,100,topo_early_0_25depth,"[0, 1, 2, 3]",4,11,"[11, 12, 13, 14]",True,0.1423367804148643,0.3898069620605188,0.8796296296296297,0.8642844835013355,0.2326097796342836,0.18209552518775132,0.1751060924336652,-0.12688140112722487
llama,100,topo_mid_25_55depth,"[4, 5, 6, 7, 8]",5,11,"[11, 12, 13, 14]",True,0.11688457475698566,0.3756334401613292,0.9305555555555556,0.9176731143300058,0.16383015824681454,0.15985470664771614,0.17482697088026175,0.18803114990433809
llama,100,topo_predecision_all,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,11,"[11, 12, 13, 14]",True,0.2427545911456619,0.5051782737383099,0.9768518518518519,0.973218736330251,0.2282749176671418,0.1800950974863368,0.15734640866915559,0.24085111522620894
llama,100,topo_after_topology_until_predecision,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",9,11,"[11, 12, 13, 14]",True,0.22042594520777437,0.4885690069425792,0.9745370370370371,0.9704404380125942,0.11502436628689368,0.06306994051439663,0.08797778857875238,0.24180216601110352
llama,100,topo_after_mechanism_until_predecision,"[5, 6, 7, 8, 9]",5,11,"[11, 12, 13, 14]",True,0.2047535798058875,0.4635658847488948,0.9513888888888888,0.943500996147259,0.21210540954222012,0.08244124696571202,0.037199283335088436,0.2406050024022146
llama,100,topo_after_downstream_until_predecision,"[2, 3, 4, 5, 6, 7, 8, 9]",8,11,"[11, 12, 13, 14]",True,0.1944540548006105,0.4669888267038706,0.9745370370370371,0.9704404380125942,0.1933797569830929,0.05765386558870072,0.0691696630148917,0.24147521096367702
llama,100,topo_after_overall_until_predecision,"[2, 3, 4, 5, 6, 7, 8, 9]",8,11,"[11, 12, 13, 14]",True,0.1944540548006105,0.4669888267038706,0.9745370370370371,0.9704404380125942,0.1933797569830929,0.05765386558870072,0.0691696630148917,0.24147521096367702
llama,100,topo_cm4d_topology_only,[0],1,11,"[11, 12, 13, 14]",True,0.0805080587186563,0.283883210763061,0.6620370370370371,0.6340116279069767,0.2037630585138539,0.22139957225454374,0.2111700363907205,0.16645098774840744
llama,100,topo_cm4d_mechanism_only,"[2, 3, 4]",3,11,"[11, 12, 13, 14]",True,0.12576771312766188,0.37004941939185865,0.875,0.8589452073102417,0.15630561632389486,-0.04365947354346681,0.0583996647689081,0.11091910181297844
llama,100,topo_cm4d_downstream_only,"[0, 1]",2,11,"[11, 12, 13, 14]",True,0.10925904905591655,0.3355546965585922,0.7800925925925926,0.7581574121862896,0.2576350435619562,0.23122913890132657,0.20409445125459838,0.004153117988011156
llama,500,topo_early_0_25depth,"[0, 1, 2, 3]",4,11,"[11, 12, 13, 14]",True,0.20327099577047458,0.45536079456929773,0.8842592592592593,0.8673457741254351,0.31192758282099975,0.16596508237761268,0.17280358129172857,0.08194680058031106
llama,500,topo_mid_25_55depth,"[4, 5, 6, 7, 8]",5,11,"[11, 12, 13, 14]",True,0.2129904928202394,0.47170851406567843,0.9699074074074074,0.9655043986163531,0.1244660716648554,0.16950428592567898,0.22487292664782307,0.14988090956772407
llama,500,topo_predecision_all,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,11,"[11, 12, 13, 14]",True,0.24315166743421246,0.5096646980463816,0.9861111111111112,0.9831276801773553,0.3491219545675393,0.20052187297391225,0.20743603552311143,0.2372774776335161
llama,500,topo_after_topology_until_predecision,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",9,11,"[11, 12, 13, 14]",True,0.21827437626489898,0.48863302144551185,0.9837962962962963,0.980278746926846,0.10526349270432384,0.043378189317199695,0.112971933436721,0.23761329313910617
llama,500,topo_after_mechanism_until_predecision,"[5, 6, 7, 8, 9]",5,11,"[11, 12, 13, 14]",True,0.24502579035971706,0.5012747708077614,0.9745370370370371,0.9714985374834882,0.07593885820788607,-0.00962414255514686,0.07497757734505221,0.2351666275874485
llama,500,topo_after_downstream_until_predecision,"[2, 3, 4, 5, 6, 7, 8, 9]",8,11,"[11, 12, 13, 14]",True,0.2160306729272896,0.48637320096593345,0.9837962962962963,0.980278746926846,0.15840720715543402,-0.00494096615142874,0.0821291036958469,0.23796900564961093
llama,500,topo_after_overall_until_predecision,"[2, 3, 4, 5, 6, 7, 8, 9]",8,11,"[11, 12, 13, 14]",True,0.2160306729272896,0.48637320096593345,0.9837962962962963,0.980278746926846,0.15840720715543402,-0.00494096615142874,0.0821291036958469,0.23796900564961093
llama,500,topo_cm4d_topology_only,[0],1,11,"[11, 12, 13, 14]",True,0.1043988801423188,0.32359878850656654,0.6527777777777778,0.627485903581407,0.2553509086925654,0.21605236788618826,0.21185002882786774,0.14655403125811883
llama,500,topo_cm4d_mechanism_only,"[2, 3, 4]",3,11,"[11, 12, 13, 14]",True,0.04062642008466366,0.2434139581074534,0.8171296296296297,0.8034324663691477,0.17214576214540472,0.009647607943274692,-0.003008736887310396,0.17475054606920226
llama,500,topo_cm4d_downstream_only,"[0, 1]",2,11,"[11, 12, 13, 14]",True,0.10960231083122152,0.33590328902576283,0.7777777777777778,0.754071540120473,0.2948795585409126,0.22021866255856953,0.22009670356637545,-0.20930601222915293
