model_key,k,window,transition_layers,n_transitions,decision_start,decision_layers,leakage_free,ridge_deltaU_r2,ridge_deltaU_corr,mechanism_acc,mechanism_macro_f1,center_sum_corr_deltaU,jaccard_sum_corr_deltaU,weighted_jaccard_sum_corr_deltaU,entropy_abs_sum_corr_deltaU
qwen,100,topo_early_0_25depth,"[0, 1, 2, 3, 4, 5, 6]",7,19,"[19, 20, 21, 22, 23, 24, 25]",True,0.7101353510576776,0.8427142158242626,0.9421296296296297,0.9311091428363687,0.5699021785274611,0.4905700087765628,0.5666353872775642,-0.47736840052230145
qwen,100,topo_mid_25_55depth,"[7, 8, 9, 10, 11, 12, 13, 14]",8,19,"[19, 20, 21, 22, 23, 24, 25]",True,0.7772718939607934,0.8816677113892679,1.0,1.0,0.5058919073161235,0.42700476496893464,0.5013507582196237,0.49845941545780414
qwen,100,topo_predecision_all,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",18,19,"[19, 20, 21, 22, 23, 24, 25]",True,0.8135385637383108,0.9022577207931155,1.0,1.0,0.5513524597214337,0.42227694914326874,0.53548379791292,0.5301771433442938
qwen,100,topo_after_topology_until_predecision,"[11, 12, 13, 14, 15, 16, 17]",7,19,"[19, 20, 21, 22, 23, 24, 25]",True,0.7941382665473719,0.8911797291289656,0.9930555555555556,0.9884522854851644,0.3503131512717731,0.2090309607036885,0.02345167436792764,-0.06111194100882767
qwen,100,topo_after_mechanism_until_predecision,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",12,19,"[19, 20, 21, 22, 23, 24, 25]",True,0.8073115747802648,0.8986265114352692,1.0,1.0,0.44618700394491745,0.37801278670464866,0.4228221276830851,0.48868320474621285
qwen,100,topo_after_downstream_until_predecision,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",12,19,"[19, 20, 21, 22, 23, 24, 25]",True,0.8073115747802648,0.8986265114352692,1.0,1.0,0.44618700394491745,0.37801278670464866,0.4228221276830851,0.48868320474621285
qwen,100,topo_after_overall_until_predecision,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",12,19,"[19, 20, 21, 22, 23, 24, 25]",True,0.8073115747802648,0.8986265114352692,1.0,1.0,0.44618700394491745,0.37801278670464866,0.4228221276830851,0.48868320474621285
qwen,100,topo_cm4d_topology_only,"[9, 10]",2,19,"[19, 20, 21, 22, 23, 24, 25]",True,0.5482994420488675,0.7405084770724853,0.7939814814814815,0.7840119313944817,0.43598004449719424,0.28517531970747945,0.33944756792998754,0.5505879135459766
qwen,100,topo_cm4d_mechanism_only,[5],1,19,"[19, 20, 21, 22, 23, 24, 25]",True,0.4821442331592857,0.6943685706123539,0.7546296296296297,0.7467383305415681,0.46093796381743596,0.11069681631527506,0.43754097993354,-0.5882199077908578
qwen,100,topo_cm4d_downstream_only,[5],1,19,"[19, 20, 21, 22, 23, 24, 25]",True,0.4821442331592857,0.6943685706123539,0.7546296296296297,0.7467383305415681,0.46093796381743596,0.11069681631527506,0.43754097993354,-0.5882199077908578
qwen,500,topo_early_0_25depth,"[0, 1, 2, 3, 4, 5, 6]",7,19,"[19, 20, 21, 22, 23, 24, 25]",True,0.7166504006675398,0.8466021702670804,0.9560185185185185,0.947576082966061,0.5528706551696064,0.5472207032279182,0.5506859475080519,-0.4518512655702032
qwen,500,topo_mid_25_55depth,"[7, 8, 9, 10, 11, 12, 13, 14]",8,19,"[19, 20, 21, 22, 23, 24, 25]",True,0.7927948180038449,0.890418478563313,0.9976851851851852,0.9978012111661827,0.49718250481146636,0.3271663472481576,0.43091669930714366,0.49821712993223544
qwen,500,topo_predecision_all,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",18,19,"[19, 20, 21, 22, 23, 24, 25]",True,0.8179015549237708,0.9044441078065301,1.0,1.0,0.5186960123783256,0.402306893386946,0.4643779375239779,0.5428095137031275
