layer,mechanism,n_train,pca_dim,pca_var_sum,train_r2_znext,train_flat_corr_znext
13,stable,268,128,0.9961786270141602,0.9529271125793457,0.9996022544879175
13,closure,201,128,0.9961786270141602,0.9513309001922607,0.999226254543578
14,stable,268,128,0.9955317974090576,0.9798989295959473,0.9998287199343066
14,closure,201,128,0.9955317974090576,0.9699785709381104,0.9995525221060465
15,stable,268,128,0.9930026531219482,0.9499030113220215,0.9991473314325194
15,closure,201,128,0.9930026531219482,0.9412012100219727,0.9984783310095496
16,stable,268,128,0.9900767803192139,0.9824860692024231,0.9996396395968533
16,closure,201,128,0.9900767803192139,0.9832935333251953,0.999535890927343
17,stable,268,128,0.9887188673019409,0.9723212122917175,0.9991408606521874
17,closure,201,128,0.9887188673019409,0.9720900654792786,0.9985945215000628
