prompt_id,mechanism,best_action_label,best_alpha,best_beta,best_shift,best_abs_shift
g001_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g001_closure_override,closure,a0.3_b0.3,0.3,0.3,26.611568450927734,26.611568450927734
g001_closure_update,closure,a0.3_b0.3,0.3,0.3,7.891142845153809,7.891142845153809
g001_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g001_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.2489614486694336,0.2489614486694336
g001_exception_override,closure,a0.3_b0.3,0.3,0.3,26.771133422851562,26.771133422851562
g001_irrelevant,stable,a0.0_b0.0,0.0,0.0,-0.012054443359375,0.012054443359375
g001_paraphrase,stable,a0.0_b0.0,0.0,0.0,-0.12277984619140625,0.12277984619140625
g001_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g001_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g002_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g002_closure_override,closure,a0.3_b0.3,0.3,0.3,14.43630599975586,14.43630599975586
g002_closure_update,closure,a0.0_b0.3,0.0,0.3,0.9145050048828125,0.9145050048828125
g002_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g002_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.18854522705078125,0.18854522705078125
g002_exception_override,closure,a0.3_b0.3,0.3,0.3,5.863971710205078,5.863971710205078
g002_irrelevant,stable,a0.2_b0.2,0.2,0.2,0.18218231201171875,0.18218231201171875
g002_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.032978057861328125,0.032978057861328125
g002_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g002_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g003_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g003_closure_override,closure,a0.3_b0.3,0.3,0.3,16.458805084228516,16.458805084228516
g003_closure_update,closure,a0.3_b0.3,0.3,0.3,2.6784400939941406,2.6784400939941406
g003_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g003_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.072296142578125,0.072296142578125
g003_exception_override,closure,a0.3_b0.3,0.3,0.3,11.188915252685547,11.188915252685547
g003_irrelevant,stable,a0.0_b0.0,0.0,0.0,-0.003238677978515625,0.003238677978515625
g003_paraphrase,stable,a0.0_b0.0,0.0,0.0,-0.11481475830078125,0.11481475830078125
g003_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g003_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g005_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g005_closure_override,closure,a0.3_b0.3,0.3,0.3,23.728254318237305,23.728254318237305
g005_closure_update,closure,a0.3_b0.3,0.3,0.3,20.609100341796875,20.609100341796875
g005_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g005_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g005_exception_override,closure,a0.3_b0.3,0.3,0.3,21.589313507080078,21.589313507080078
g005_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g005_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g005_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g005_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g006_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g006_closure_override,closure,a0.3_b0.3,0.3,0.3,16.145217895507812,16.145217895507812
g006_closure_update,closure,a0.0_b0.3,0.0,0.3,0.36989879608154297,0.36989879608154297
g006_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g006_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g006_exception_override,closure,a0.3_b0.3,0.3,0.3,8.515495300292969,8.515495300292969
g006_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g006_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g006_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g006_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g007_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g007_closure_override,closure,a0.3_b0.3,0.3,0.3,28.62207794189453,28.62207794189453
g007_closure_update,closure,a0.3_b0.3,0.3,0.3,9.519874572753906,9.519874572753906
g007_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g007_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g007_exception_override,closure,a0.3_b0.3,0.3,0.3,21.94891357421875,21.94891357421875
g007_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g007_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g007_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g007_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g008_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g008_closure_override,closure,a0.3_b0.3,0.3,0.3,10.408794403076172,10.408794403076172
g008_closure_update,closure,a0.0_b0.3,0.0,0.3,0.8981800079345703,0.8981800079345703
g008_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g008_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g008_exception_override,closure,a0.3_b0.3,0.3,0.3,7.082771301269531,7.082771301269531
g008_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g008_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g008_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g008_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g013_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g013_closure_override,closure,a0.3_b0.3,0.3,0.3,34.52924346923828,34.52924346923828
g013_closure_update,closure,a0.3_b0.3,0.3,0.3,6.578865051269531,6.578865051269531
g013_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g013_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g013_exception_override,closure,a0.3_b0.3,0.3,0.3,25.376548767089844,25.376548767089844
g013_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g013_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g013_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g013_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g014_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g014_closure_override,closure,a0.3_b0.3,0.3,0.3,8.699882507324219,8.699882507324219
g014_closure_update,closure,a0.0_b0.3,0.0,0.3,0.7444534301757812,0.7444534301757812
g014_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g014_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g014_exception_override,closure,a0.3_b0.3,0.3,0.3,8.121101379394531,8.121101379394531
g014_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g014_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g014_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g014_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g016_clean,stable,a0.0_b0.0,0.0,0.0,-0.17450237274169922,0.17450237274169922
g016_closure_override,closure,a0.0_b0.3,0.0,0.3,1.1822357177734375,1.1822357177734375
g016_closure_update,closure,a0.3_b0.3,0.3,0.3,1.328688621520996,1.328688621520996
g016_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g016_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.3626089096069336,0.3626089096069336
g016_exception_override,closure,a0.3_b0.3,0.3,0.3,2.1031723022460938,2.1031723022460938
g016_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.13286590576171875,0.13286590576171875
g016_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.010169029235839844,0.010169029235839844
g016_redundant,stable,a0.0_b0.0,0.0,0.0,0.16377830505371094,0.16377830505371094
g016_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g017_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g017_closure_override,closure,a0.3_b0.3,0.3,0.3,24.27077865600586,24.27077865600586
g017_closure_update,closure,a0.3_b0.3,0.3,0.3,10.60327434539795,10.60327434539795
g017_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g017_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.3189840316772461,0.3189840316772461
g017_exception_override,closure,a0.3_b0.3,0.3,0.3,22.627933502197266,22.627933502197266
g017_irrelevant,stable,a0.0_b0.0,0.0,0.0,-0.008022308349609375,0.008022308349609375
g017_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.03431129455566406,0.03431129455566406
g017_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g017_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g019_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g019_closure_override,closure,a0.3_b0.3,0.3,0.3,31.345481872558594,31.345481872558594
g019_closure_update,closure,a0.3_b0.3,0.3,0.3,2.9482421875,2.9482421875
g019_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g019_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g019_exception_override,closure,a0.3_b0.3,0.3,0.3,26.63208770751953,26.63208770751953
g019_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g019_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g019_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g019_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g020_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g020_closure_override,closure,a0.3_b0.3,0.3,0.3,12.33681869506836,12.33681869506836
g020_closure_update,closure,a0.0_b0.3,0.0,0.3,0.8984508514404297,0.8984508514404297
g020_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g020_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g020_exception_override,closure,a0.3_b0.3,0.3,0.3,2.3678817749023438,2.3678817749023438
g020_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g020_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g020_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g020_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g021_clean,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g021_closure_override,closure,a0.3_b0.3,0.3,0.3,20.279701232910156,20.279701232910156
g021_closure_update,closure,a0.3_b0.3,0.3,0.3,4.3458099365234375,4.3458099365234375
g021_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g021_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
g021_exception_override,closure,a0.3_b0.3,0.3,0.3,11.936028480529785,11.936028480529785
g021_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g021_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g021_redundant,stable,a0.0_b0.0,0.0,0.0,0.0,0.0
g021_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.0,0.0
