layer,target,coef_norm,valid,train_r2,train_corr
15,DeltaU,29.2534122467041,True,0.9918069839477539,0.995927995382424
15,D_B,7.554096698760986,True,0.9811220169067383,0.9906067936539229
16,DeltaU,20.782569885253906,True,0.9972866773605347,0.9986506626189717
16,D_B,6.191248416900635,True,0.9912536144256592,0.9956571771794346
17,DeltaU,19.572650909423828,True,0.9976426959037781,0.9988271421108033
17,D_B,6.051345348358154,True,0.9926241636276245,0.9963415306982488
13,DeltaU,33.83796310424805,True,0.9858283996582031,0.9929487405848193
13,D_B,8.273991584777832,True,0.9699100852012634,0.9849738849862133
14,DeltaU,31.110000610351562,True,0.990196704864502,0.9951285599039963
14,D_B,7.843360900878906,True,0.9788491129875183,0.989474275450245
