prompt_id,mechanism,best_action_label,best_alpha,best_beta,best_shift,best_abs_shift
g001_clean,stable,a0.0_b0.0,0.0,0.0,0.02468910813331604,0.02468910813331604
g001_closure_override,closure,a0.3_b0.3,0.3,0.3,0.41046223044395447,0.41046223044395447
g001_closure_update,closure,a0.3_b0.3,0.3,0.3,0.541640430688858,0.541640430688858
g001_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.012825965881347656,0.012825965881347656
g001_direct_conflict,competition,a0.1_b0.1,0.1,0.1,0.005039691925048828,0.005039691925048828
g001_exception_override,closure,a0.3_b0.3,0.3,0.3,0.7212017774581909,0.7212017774581909
g001_irrelevant,stable,a0.1_b0.1,0.1,0.1,-0.0017974376678466797,0.0017974376678466797
g001_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.01677142083644867,0.01677142083644867
g001_redundant,stable,a0.0_b0.0,0.0,0.0,0.019853860139846802,0.019853860139846802
g001_weak_distractor,competition,a0.1_b0.1,0.1,0.1,-0.019464612007141113,0.019464612007141113
g002_clean,stable,a0.0_b0.0,0.0,0.0,0.02021414041519165,0.02021414041519165
g002_closure_override,closure,a0.3_b0.3,0.3,0.3,0.2293899953365326,0.2293899953365326
g002_closure_update,closure,a0.3_b0.3,0.3,0.3,0.4996046721935272,0.4996046721935272
g002_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.016541719436645508,0.016541719436645508
g002_direct_conflict,competition,a0.3_b0.2,0.3,0.2,-0.0007273852825164795,0.0007273852825164795
g002_exception_override,closure,a0.3_b0.3,0.3,0.3,0.5335636138916016,0.5335636138916016
g002_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.02333277463912964,0.02333277463912964
g002_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.019381284713745117,0.019381284713745117
g002_redundant,stable,a0.0_b0.0,0.0,0.0,0.018892958760261536,0.018892958760261536
g002_weak_distractor,competition,a0.1_b0.1,0.1,0.1,0.0008602961897850037,0.0008602961897850037
g003_clean,stable,a0.0_b0.0,0.0,0.0,0.03670884668827057,0.03670884668827057
g003_closure_override,closure,a0.0_b0.3,0.0,0.3,0.05782794952392578,0.05782794952392578
g003_closure_update,closure,a0.3_b0.3,0.3,0.3,0.10738146305084229,0.10738146305084229
g003_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.03050471842288971,0.03050471842288971
g003_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.012465983629226685,0.012465983629226685
g003_exception_override,closure,a0.3_b0.3,0.3,0.3,0.14827096462249756,0.14827096462249756
g003_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.0318947434425354,0.0318947434425354
g003_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.02371656894683838,0.02371656894683838
g003_redundant,stable,a0.0_b0.0,0.0,0.0,0.03442049026489258,0.03442049026489258
g003_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.03613865375518799,0.03613865375518799
g005_clean,stable,a0.0_b0.0,0.0,0.0,0.021387487649917603,0.021387487649917603
g005_closure_override,closure,a0.3_b0.3,0.3,0.3,0.4944422245025635,0.4944422245025635
g005_closure_update,closure,a0.3_b0.3,0.3,0.3,0.38305840641260147,0.38305840641260147
g005_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.02183818817138672,0.02183818817138672
g005_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.018863826990127563,0.018863826990127563
g005_exception_override,closure,a0.3_b0.3,0.3,0.3,0.5794647932052612,0.5794647932052612
g005_irrelevant,stable,a0.1_b0.1,0.1,0.1,-0.006712198257446289,0.006712198257446289
g005_paraphrase,stable,a0.0_b0.3,0.0,0.3,0.001698136329650879,0.001698136329650879
g005_redundant,stable,a0.0_b0.0,0.0,0.0,0.01528272032737732,0.01528272032737732
g005_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.025541186332702637,0.025541186332702637
