prompt_id,layer,alpha,beta,policy_conf,action_label
g000_clean,8,0.3,0.0,0.30142959040992684,a0.3_b0.0
g000_clean,9,0.2,0.2,0.2996887209445909,a0.2_b0.2
g000_clean,10,0.1,0.1,0.3488585209762477,a0.1_b0.1
g000_clean,11,0.3,0.0,0.2885804212615509,a0.3_b0.0
g000_redundant,8,0.1,0.1,0.31894559176865295,a0.1_b0.1
g000_redundant,9,0.1,0.1,0.27844872780075086,a0.1_b0.1
g000_redundant,10,0.1,0.1,0.3085082570328162,a0.1_b0.1
g000_redundant,11,0.1,0.1,0.3199743415213221,a0.1_b0.1
g000_irrelevant,8,0.1,0.1,0.3295522658389065,a0.1_b0.1
g000_irrelevant,9,0.1,0.1,0.3328645253234211,a0.1_b0.1
g000_irrelevant,10,0.1,0.1,0.3347377566069902,a0.1_b0.1
g000_irrelevant,11,0.1,0.1,0.3340310596811329,a0.1_b0.1
g000_paraphrase,8,0.0,0.0,0.3101967421427154,a0.0_b0.0
g000_paraphrase,9,0.0,0.0,0.31184070036458633,a0.0_b0.0
g000_paraphrase,10,0.0,0.0,0.28948471656550007,a0.0_b0.0
g000_paraphrase,11,0.0,0.0,0.293002418131842,a0.0_b0.0
g000_weak_distractor,8,0.0,0.0,0.35839431572278857,a0.0_b0.0
g000_weak_distractor,9,0.0,0.0,0.3444332939631207,a0.0_b0.0
g000_weak_distractor,10,0.0,0.0,0.3440448968544215,a0.0_b0.0
g000_weak_distractor,11,0.0,0.0,0.3371868064165874,a0.0_b0.0
g000_competition_balanced,8,0.0,0.3,0.27571780786303,a0.0_b0.3
g000_competition_balanced,9,0.1,0.1,0.2276276623994087,a0.1_b0.1
g000_competition_balanced,10,0.3,0.2,0.20733728753462977,a0.3_b0.2
g000_competition_balanced,11,0.1,0.1,0.23178239743363602,a0.1_b0.1
g000_direct_conflict,8,0.1,0.1,0.259389362270793,a0.1_b0.1
g000_direct_conflict,9,0.1,0.1,0.2496003006573675,a0.1_b0.1
g000_direct_conflict,10,0.1,0.1,0.25950683083562115,a0.1_b0.1
g000_direct_conflict,11,0.1,0.1,0.24513943625767168,a0.1_b0.1
g000_closure_update,8,0.3,0.3,0.6592164512614542,a0.3_b0.3
g000_closure_update,9,0.3,0.3,0.717742703293823,a0.3_b0.3
g000_closure_update,10,0.3,0.3,0.539910437567203,a0.3_b0.3
g000_closure_update,11,0.3,0.3,0.7443511718313534,a0.3_b0.3
g000_closure_override,8,0.3,0.3,0.47020375584358065,a0.3_b0.3
g000_closure_override,9,0.3,0.3,0.4990064167860747,a0.3_b0.3
g000_closure_override,10,0.3,0.3,0.515620588166117,a0.3_b0.3
g000_closure_override,11,0.3,0.3,0.6003255595840463,a0.3_b0.3
g000_exception_override,8,0.3,0.3,0.5848164791859916,a0.3_b0.3
g000_exception_override,9,0.3,0.3,0.47807648524630536,a0.3_b0.3
g000_exception_override,10,0.3,0.3,0.5110076231276042,a0.3_b0.3
g000_exception_override,11,0.3,0.2,0.4584308087031133,a0.3_b0.2
g004_clean,8,0.2,0.3,0.42874457040419905,a0.2_b0.3
