layer,mechanism,n_train,pca_dim,pca_var_sum,train_r2_znext,train_flat_corr_znext
15,stable,268,128,0.9979835152626038,0.7147215604782104,0.9983739365717799
15,closure,201,128,0.9979835152626038,0.7175837755203247,0.9971399389179042
16,stable,268,128,0.9966095685958862,0.8488483428955078,0.9990087028714985
16,closure,201,128,0.9966095685958862,0.816091001033783,0.9975091159568628
17,stable,268,128,0.9951964020729065,0.8442177772521973,0.99849927202286
17,closure,201,128,0.9951964020729065,0.8625288605690002,0.9977881079695728
18,stable,268,128,0.994633674621582,0.9145388007164001,0.9991033516059129
18,closure,201,128,0.994633674621582,0.8922111988067627,0.9981471421238689
19,stable,268,128,0.9903920888900757,0.8690009117126465,0.9973379900349472
19,closure,201,128,0.9903920888900757,0.8645215630531311,0.9960478298292114
