null_family,real_predmech_specificity,null_mean,null_std,z,percentile,q95,exceeds_q95,n,model
shuffle_mech_policy,3.010665276954914,2.9345401804083093,0.0325445706305763,2.339102807983693,1.0,2.984320323161891,True,50,qwen
shuffle_policy_label,3.010665276954914,0.5136424808940668,0.5342667705624959,4.673737791013821,1.0,1.1942250161335386,True,50,qwen
shuffle_both,3.010665276954914,0.4846858251153543,0.5766056779384315,4.3807745023788645,1.0,1.3942033657984585,True,50,qwen
same_combo_fixed,3.010665276954914,1.3050602261460278,nan,nan,nan,nan,True,1,qwen
operator_only_fixed,3.010665276954914,1.1241533989193797,nan,nan,nan,nan,True,1,qwen
precursor_only_fixed,3.010665276954914,0.1484286483676954,nan,nan,nan,nan,True,1,qwen
random_gain_combo,3.010665276954914,0.5473492525285493,nan,nan,nan,nan,True,1,qwen
answer,3.010665276954914,0.0842164555206674,nan,nan,nan,nan,True,1,qwen
shuffle_mech_policy,0.219369938245352,0.2192781147938252,0.005991565845479,0.0153254514587567,0.48,0.2274939412804708,False,50,llama
shuffle_policy_label,0.219369938245352,0.056201405141056,0.0449576859958925,3.629380149129641,1.0,0.1144435809646872,True,50,llama
shuffle_both,0.219369938245352,0.0272270407707526,0.0454271277664856,4.229695050549839,1.0,0.0942258188424537,True,50,llama
same_combo_fixed,0.219369938245352,0.058876915506052,nan,nan,nan,nan,True,1,llama
operator_only_fixed,0.219369938245352,0.0095504352024623,nan,nan,nan,nan,True,1,llama
precursor_only_fixed,0.219369938245352,-0.0072887979068583,nan,nan,nan,nan,True,1,llama
random_gain_combo,0.219369938245352,0.025239988427444,nan,nan,nan,nan,True,1,llama
answer,0.219369938245352,-0.0029597905982891,nan,nan,nan,nan,True,1,llama
shuffle_mech_policy,10.04584943210746,9.756497844968523,0.2643187631484712,1.0947069503968738,0.88,10.123992731731708,False,50,gemma
shuffle_policy_label,10.04584943210746,-1.289714858285312,2.977219709650978,3.807432905823954,1.0,3.583619250530875,True,50,gemma
shuffle_both,10.04584943210746,-1.2305104635266837,2.808274439622564,4.015405238367552,1.0,3.403028056891679,True,50,gemma
same_combo_fixed,10.04584943210746,2.4196505624868205,nan,nan,nan,nan,True,1,gemma
operator_only_fixed,10.04584943210746,2.7815228056633607,nan,nan,nan,nan,True,1,gemma
precursor_only_fixed,10.04584943210746,-0.1768238485740323,nan,nan,nan,nan,True,1,gemma
random_gain_combo,10.04584943210746,0.3798792953365932,nan,nan,nan,nan,True,1,gemma
answer,10.04584943210746,0.066577035218037,nan,nan,nan,nan,True,1,gemma
