model,proxy_hidden,matched_dim,raw_dim_hidden,n_prompts_hidden,n_graphs_hidden,window_hidden,deltaU_r2_hidden,deltaU_corr_hidden,mechanism_macro_f1_hidden,deltaU_r2_ci_low_hidden,deltaU_r2_ci_high_hidden,mechanism_f1_ci_low_hidden,mechanism_f1_ci_high_hidden,proxy_readback,raw_dim_readback,n_prompts_readback,n_graphs_readback,window_readback,deltaU_r2_readback,deltaU_corr_readback,mechanism_macro_f1_readback,deltaU_r2_ci_low_readback,deltaU_r2_ci_high_readback,mechanism_f1_ci_low_readback,mechanism_f1_ci_high_readback,deltaU_r2_hidden_minus_readback,mechanism_f1_hidden_minus_readback
qwen,hidden_pre_mean,2,1536,960,80,layers_7_19,0.36457783867644444,0.6038081037582934,0.676950339377618,0.32169819596852256,0.40160526136237706,0.6578786719168888,0.6968790106386987,topk_realW_flow_pre,16,960,80,layers_7_19,0.23526906318330643,0.4850544198041877,0.3661808006042996,0.19777784422364408,0.2663177074593158,0.34795478998116164,0.3861700699308872,0.12930877549313802,0.31076953877331837
qwen,hidden_pre_mean,4,1536,960,80,layers_7_19,0.5396497453184648,0.73461119185007,0.9605419649482039,0.4967546622766229,0.5797867592922665,0.9462634528444973,0.9734119509177488,topk_realW_flow_pre,16,960,80,layers_7_19,0.34806096442568824,0.5899726403643674,0.5791227325979535,0.31142247802139933,0.38729711971265846,0.555437953054644,0.6035636410428098,0.19158878089277653,0.3814192323502503
qwen,hidden_pre_mean,6,1536,960,80,layers_7_19,0.6043802816379684,0.7774212549897175,0.9851338979911697,0.5694797669785063,0.6366041338466422,0.9770814108379426,0.9929524302924905,topk_realW_flow_pre,16,960,80,layers_7_19,0.5147500315320146,0.7176270168348177,0.7261899944731722,0.4788470406702852,0.5498139998518006,0.7020180749296335,0.7519201217566267,0.08963025010595382,0.25894390351799745
qwen,hidden_pre_mean,8,1536,960,80,layers_7_19,0.7056238194787425,0.8400153710758833,1.0,0.6701834309731606,0.7406343272892459,1.0,1.0,topk_realW_flow_pre,16,960,80,layers_7_19,0.5252782918753183,0.7249716544757836,0.7828858490019484,0.4873497468576539,0.5572031404261087,0.7604684883008321,0.8039095533932249,0.18034552760342426,0.21711415099805165
llama,hidden_pre_mean,2,2048,960,80,layers_4_11,0.03682005997127247,0.19194944597616287,0.5591775438058116,-0.004880279278313159,0.05692977312873992,0.5368967098024794,0.5795270103177796,topk_realW_flow_pre,11,960,80,layers_4_11,0.018214225326596,0.13522974946818533,0.3424037908807135,-0.01842393656125224,0.02873776915604819,0.3191102318786588,0.36880085499565674,0.018605834644676467,0.21677375292509815
llama,hidden_pre_mean,4,2048,960,80,layers_4_11,0.04984914069186053,0.2233541407728008,0.7666986260712144,-0.0031364945316485586,0.08018757012870961,0.7491496791141076,0.7865610474890514,topk_realW_flow_pre,11,960,80,layers_4_11,0.05797802022952969,0.24084531060431547,0.5550711514934688,0.017251229481294678,0.07924596330372524,0.5282475296901804,0.5809717261838006,-0.008128879537669165,0.21162747457774567
llama,hidden_pre_mean,6,2048,960,80,layers_4_11,0.0630704709115798,0.2512364292081946,0.822861131104277,0.012506513206232415,0.09502304251996357,0.8060422164139249,0.8415010417973663,topk_realW_flow_pre,11,960,80,layers_4_11,0.0655331849182752,0.2562608043235985,0.6244976303004306,0.029426173320918316,0.08579067825854003,0.5963650109410262,0.6530982114991335,-0.002462714006695399,0.19836350080384646
llama,hidden_pre_mean,8,2048,960,80,layers_4_11,0.10576609446420826,0.32531105243981656,0.9170316768902541,0.04723392291918268,0.1493449788386108,0.9053874763809852,0.9273921081764038,topk_realW_flow_pre,11,960,80,layers_4_11,0.06547027667844829,0.2561543199275179,0.6454595604703178,0.02990972125642681,0.08399413351983087,0.61647229087892,0.678522490799334,0.04029581778575997,0.2715721164199363
gemma,hidden_pre_mean,2,2304,960,80,layers_6_18,0.1539492603514333,0.3923645525417241,0.6827702704606915,0.13489002235873235,0.16762686393369755,0.6650974145876022,0.6987632012848797,topk_realW_flow_pre,16,960,80,layers_6_18,0.3992831463832661,0.6318887618230884,0.6520123260146378,0.35585392313103975,0.43969426531375216,0.631836860594599,0.6751668660832784,-0.24533388603183282,0.03075794444605373
gemma,hidden_pre_mean,4,2304,960,80,layers_6_18,0.667684588850595,0.8171197043240714,0.8626325266771687,0.6352723634237093,0.6963251342818634,0.8431499979565386,0.8819436119638866,topk_realW_flow_pre,16,960,80,layers_6_18,0.4019876434743189,0.634044929439242,0.7433897782361235,0.35239448315281274,0.4471102154082977,0.719256307667027,0.7666811132883418,0.2656969453762761,0.11924274844104521
gemma,hidden_pre_mean,6,2304,960,80,layers_6_18,0.6976643667915765,0.8352645275303406,0.902825688096186,0.6651981792727029,0.7265893213036644,0.8869625484591216,0.9183926070108049,topk_realW_flow_pre,16,960,80,layers_6_18,0.49531121400086253,0.703786007785672,0.8486815318782328,0.4389191569139389,0.5461063774273026,0.8248923947217387,0.8718604591471838,0.20235315279071397,0.05414415621795321
gemma,hidden_pre_mean,8,2304,960,80,layers_6_18,0.7017095019875039,0.8376852228751102,0.9934412789506046,0.6744203648509776,0.7284931738083747,0.987086359967716,0.9983402274407085,topk_realW_flow_pre,16,960,80,layers_6_18,0.5025996497504714,0.7089626877113065,0.8758428983507909,0.44720076066861286,0.5535139480151394,0.8581033009785856,0.896173612935306,0.19910985223703248,0.11759838059981376
