model,proxy,matched_dim,raw_dim,n_prompts,n_graphs,window,deltaU_r2,deltaU_corr,mechanism_macro_f1,deltaU_r2_ci_low,deltaU_r2_ci_high,mechanism_f1_ci_low,mechanism_f1_ci_high
qwen,hidden_pre_mean,2,1536,960,80,layers_7_19,0.36457783867644444,0.6038081037582934,0.676950339377618,0.32169819596852256,0.40160526136237706,0.6578786719168888,0.6968790106386987
qwen,hidden_pre_mean,4,1536,960,80,layers_7_19,0.5396497453184648,0.73461119185007,0.9605419649482039,0.4967546622766229,0.5797867592922665,0.9462634528444973,0.9734119509177488
qwen,hidden_pre_mean,6,1536,960,80,layers_7_19,0.6043802816379684,0.7774212549897175,0.9851338979911697,0.5694797669785063,0.6366041338466422,0.9770814108379426,0.9929524302924905
qwen,hidden_pre_mean,8,1536,960,80,layers_7_19,0.7056238194787425,0.8400153710758833,1.0,0.6701834309731606,0.7406343272892459,1.0,1.0
qwen,hidden_oflow_pre,2,28,960,80,layers_7_19,0.2647089485417353,0.5145064731851866,0.5260350799265089,0.22738767876108634,0.2991547558508898,0.503217414027996,0.5457952740289543
qwen,hidden_oflow_pre,4,28,960,80,layers_7_19,0.36834611763556324,0.6069158171814041,0.8118703454617574,0.3175975542386338,0.4162750553942996,0.7898854317459006,0.8342786816380087
qwen,hidden_oflow_pre,6,28,960,80,layers_7_19,0.452515727584864,0.672693236993333,0.8883023310996846,0.40846602443834656,0.493778385837173,0.8693098515639542,0.9100513031408918
qwen,hidden_oflow_pre,8,28,960,80,layers_7_19,0.5741047694811141,0.75786776826096,0.93297298868815,0.5337107431091258,0.6061501140515339,0.9166116468201778,0.9501938237995254
qwen,topk_realW_flow_pre,2,16,960,80,layers_7_19,0.23526906318330643,0.4850544198041877,0.3661808006042996,0.19777784422364408,0.2663177074593158,0.34795478998116164,0.3861700699308872
qwen,topk_realW_flow_pre,4,16,960,80,layers_7_19,0.34806096442568824,0.5899726403643674,0.5791227325979535,0.31142247802139933,0.38729711971265846,0.555437953054644,0.6035636410428098
qwen,topk_realW_flow_pre,6,16,960,80,layers_7_19,0.5147500315320146,0.7176270168348177,0.7261899944731722,0.4788470406702852,0.5498139998518006,0.7020180749296335,0.7519201217566267
qwen,topk_realW_flow_pre,8,16,960,80,layers_7_19,0.5252782918753183,0.7249716544757836,0.7828858490019484,0.4873497468576539,0.5572031404261087,0.7604684883008321,0.8039095533932249
qwen,topk_rowpermW_flow_pre,2,16,960,80,layers_7_19,0.23526906318330643,0.4850544198041877,0.3661808006042996,0.19777784422364408,0.2663177074593158,0.34795478998116164,0.3861700699308872
qwen,topk_rowpermW_flow_pre,4,16,960,80,layers_7_19,0.34806096442568824,0.5899726403643674,0.5791227325979535,0.31142247802139933,0.38729711971265846,0.555437953054644,0.6035636410428098
qwen,topk_rowpermW_flow_pre,6,16,960,80,layers_7_19,0.5147500315320146,0.7176270168348177,0.7261899944731722,0.4788470406702852,0.5498139998518006,0.7020180749296335,0.7519201217566267
qwen,topk_rowpermW_flow_pre,8,16,960,80,layers_7_19,0.5252782918753183,0.7249716544757836,0.7828858490019484,0.4873497468576539,0.5572031404261087,0.7604684883008321,0.8039095533932249
qwen,topk_gaussianR_flow_pre,2,16,960,80,layers_7_19,0.24562374644953,0.4956079800155636,0.38727324694210913,0.20800366950053473,0.2793852215063668,0.3624016015512116,0.4140086378485468
qwen,topk_gaussianR_flow_pre,4,16,960,80,layers_7_19,0.34374566962540487,0.5863025379957371,0.6399883650953966,0.30504891484016494,0.384767372580284,0.6144795299718483,0.6648508629563565
qwen,topk_gaussianR_flow_pre,6,16,960,80,layers_7_19,0.38157624576725624,0.6177451760657539,0.7118545070101134,0.34333733272904104,0.4236733615266768,0.6888509698929673,0.7373590886813652
qwen,topk_gaussianR_flow_pre,8,16,960,80,layers_7_19,0.4228878055998847,0.6503145954402196,0.7690424354061454,0.3840552772624099,0.45703865866331334,0.7450457763862794,0.7956493310952484
qwen,randomK_flow_pre,2,16,960,80,layers_7_19,-0.0012778721886770317,0.008096709184317428,0.1697457395752609,-0.010598872374907685,0.004362469756464048,0.1517175259604002,0.18750086648266187
qwen,randomK_flow_pre,4,16,960,80,layers_7_19,-0.008595884788423325,-0.02694479347348477,0.17022637078809139,-0.022361888596038305,0.0007278896082131654,0.14687727765489098,0.19309339733637337
qwen,randomK_flow_pre,6,16,960,80,layers_7_19,-0.007444497111783743,0.008397902578699564,0.17702970773599136,-0.023518681580522442,0.006138977928498867,0.15327661322387506,0.2000545604292552
qwen,randomK_flow_pre,8,16,960,80,layers_7_19,-0.017987459823041174,-0.032638260137837515,0.1736486177794783,-0.03498980004164906,-0.0050391809433428,0.1537743382947686,0.19339448126759615
llama,hidden_pre_mean,2,2048,960,80,layers_4_11,0.03682005997127247,0.19194944597616287,0.5591775438058116,-0.004880279278313159,0.05692977312873992,0.5368967098024794,0.5795270103177796
llama,hidden_pre_mean,4,2048,960,80,layers_4_11,0.04984914069186053,0.2233541407728008,0.7666986260712144,-0.0031364945316485586,0.08018757012870961,0.7491496791141076,0.7865610474890514
llama,hidden_pre_mean,6,2048,960,80,layers_4_11,0.0630704709115798,0.2512364292081946,0.822861131104277,0.012506513206232415,0.09502304251996357,0.8060422164139249,0.8415010417973663
llama,hidden_pre_mean,8,2048,960,80,layers_4_11,0.10576609446420826,0.32531105243981656,0.9170316768902541,0.04723392291918268,0.1493449788386108,0.9053874763809852,0.9273921081764038
llama,hidden_oflow_pre,2,18,960,80,layers_4_11,0.015041624559113731,0.12590743041569583,0.5911833214041999,-0.02138893609183122,0.029923148852781453,0.5747180502687866,0.6084584101730603
llama,hidden_oflow_pre,4,18,960,80,layers_4_11,0.025045092608118602,0.16097246693042083,0.7421107685037509,-0.02812805379796001,0.0472900008626314,0.7244755767532013,0.7603346590993236
llama,hidden_oflow_pre,6,18,960,80,layers_4_11,0.07686057488649933,0.2778282902413239,0.8403844140657235,0.022102087372927796,0.11313907376516588,0.8233564716904687,0.8565996778702084
llama,hidden_oflow_pre,8,18,960,80,layers_4_11,0.081232259034685,0.28588590360150773,0.9032393769895505,0.030419854240904008,0.11882822451033204,0.8884005899181612,0.919563405376379
llama,topk_realW_flow_pre,2,11,960,80,layers_4_11,0.018214225326596,0.13522974946818533,0.3424037908807135,-0.01842393656125224,0.02873776915604819,0.3191102318786588,0.36880085499565674
llama,topk_realW_flow_pre,4,11,960,80,layers_4_11,0.05797802022952969,0.24084531060431547,0.5550711514934688,0.017251229481294678,0.07924596330372524,0.5282475296901804,0.5809717261838006
llama,topk_realW_flow_pre,6,11,960,80,layers_4_11,0.0655331849182752,0.2562608043235985,0.6244976303004306,0.029426173320918316,0.08579067825854003,0.5963650109410262,0.6530982114991335
llama,topk_realW_flow_pre,8,11,960,80,layers_4_11,0.06547027667844829,0.2561543199275179,0.6454595604703178,0.02990972125642681,0.08399413351983087,0.61647229087892,0.678522490799334
llama,topk_rowpermW_flow_pre,2,11,960,80,layers_4_11,0.018214225049857702,0.1352297484665186,0.3424037908807135,-0.01842393856473615,0.02873777134318542,0.3191102318786588,0.36880085499565674
llama,topk_rowpermW_flow_pre,4,11,960,80,layers_4_11,0.05797800356137717,0.24084527708762998,0.5550711514934688,0.017251193079560165,0.07924597580220609,0.5282475296901804,0.5809717261838006
llama,topk_rowpermW_flow_pre,6,11,960,80,layers_4_11,0.06553319508790112,0.2562608227147474,0.6245144567919612,0.02942617114448194,0.0857906911117394,0.596411053572202,0.653132494097488
llama,topk_rowpermW_flow_pre,8,11,960,80,layers_4_11,0.06547027092751323,0.2561543116896482,0.6454595604703178,0.029909704082714324,0.08399413740166042,0.61647229087892,0.678522490799334
llama,topk_gaussianR_flow_pre,2,11,960,80,layers_4_11,-0.0034944852680127703,-0.010342183359779744,0.4883240375308552,-0.03380254220675531,0.0011890344596672546,0.46664754950996035,0.5089368162199229
llama,topk_gaussianR_flow_pre,4,11,960,80,layers_4_11,0.039398917904408415,0.19956553746621675,0.5929566711403325,-0.007464162396723794,0.06583772666267283,0.5695077319381571,0.6176424020914137
llama,topk_gaussianR_flow_pre,6,11,960,80,layers_4_11,0.06196866548231483,0.2504655590739944,0.682249767336123,0.011466066848602338,0.09301767680030479,0.6606528155283908,0.7031102238696979
llama,topk_gaussianR_flow_pre,8,11,960,80,layers_4_11,0.08752360964896755,0.29674369674553247,0.6912186809795966,0.040786898846970294,0.11943849750977423,0.670515436102885,0.714921417601059
llama,randomK_flow_pre,2,11,960,80,layers_4_11,-0.004756435709849738,-0.02212705072427979,0.12311701899545682,-0.034840295218931665,0.00032910283743952783,0.10431953696551567,0.14117059557528278
llama,randomK_flow_pre,4,11,960,80,layers_4_11,-0.006483415792132741,-0.023153729518050573,0.14866646916961904,-0.043117602689306284,-0.000708990238306908,0.12813644442844796,0.17053800434831395
llama,randomK_flow_pre,6,11,960,80,layers_4_11,-0.009289131287787189,-0.022705499668511726,0.17172947409626074,-0.040117846168540194,-0.001387169098014934,0.14740994673761873,0.19724156096130574
llama,randomK_flow_pre,8,11,960,80,layers_4_11,-0.01237761489622824,-0.03789043946482958,0.18058001403839158,-0.04288288310271667,-0.004366290279772831,0.15712238000068415,0.20460792260533417
gemma,hidden_pre_mean,2,2304,960,80,layers_6_18,0.1539492603514333,0.3923645525417241,0.6827702704606915,0.13489002235873235,0.16762686393369755,0.6650974145876022,0.6987632012848797
gemma,hidden_pre_mean,4,2304,960,80,layers_6_18,0.667684588850595,0.8171197043240714,0.8626325266771687,0.6352723634237093,0.6963251342818634,0.8431499979565386,0.8819436119638866
gemma,hidden_pre_mean,6,2304,960,80,layers_6_18,0.6976643667915765,0.8352645275303406,0.902825688096186,0.6651981792727029,0.7265893213036644,0.8869625484591216,0.9183926070108049
gemma,hidden_pre_mean,8,2304,960,80,layers_6_18,0.7017095019875039,0.8376852228751102,0.9934412789506046,0.6744203648509776,0.7284931738083747,0.987086359967716,0.9983402274407085
gemma,hidden_oflow_pre,2,28,960,80,layers_6_18,0.14404690900258577,0.37953546602664495,0.46339056698994163,0.12630531867209724,0.1593177693983035,0.4436130380490838,0.48540792064062954
gemma,hidden_oflow_pre,4,28,960,80,layers_6_18,0.36745509255381115,0.6061846001429961,0.6541996276465551,0.3378020623202259,0.3912710211596024,0.6329124538375175,0.6732004597118022
gemma,hidden_oflow_pre,6,28,960,80,layers_6_18,0.4975930657583657,0.7054258925725483,0.8840725757434852,0.46351237296956127,0.5292031624174529,0.8691644420871211,0.8984180108865193
gemma,hidden_oflow_pre,8,28,960,80,layers_6_18,0.6169867132481266,0.7856294284135787,0.920676240373892,0.584095834793425,0.6458971390047679,0.9095568984493213,0.931110085442766
gemma,topk_realW_flow_pre,2,16,960,80,layers_6_18,0.3992831463832661,0.6318887618230884,0.6520123260146378,0.35585392313103975,0.43969426531375216,0.631836860594599,0.6751668660832784
gemma,topk_realW_flow_pre,4,16,960,80,layers_6_18,0.4019876434743189,0.634044929439242,0.7433897782361235,0.35239448315281274,0.4471102154082977,0.719256307667027,0.7666811132883418
gemma,topk_realW_flow_pre,6,16,960,80,layers_6_18,0.49531121400086253,0.703786007785672,0.8486815318782328,0.4389191569139389,0.5461063774273026,0.8248923947217387,0.8718604591471838
gemma,topk_realW_flow_pre,8,16,960,80,layers_6_18,0.5025996497504714,0.7089626877113065,0.8758428983507909,0.44720076066861286,0.5535139480151394,0.8581033009785856,0.896173612935306
gemma,topk_rowpermW_flow_pre,2,16,960,80,layers_6_18,0.3992831463832661,0.6318887618230884,0.6520123260146378,0.35585392313103975,0.43969426531375216,0.631836860594599,0.6751668660832784
gemma,topk_rowpermW_flow_pre,4,16,960,80,layers_6_18,0.4019876434743189,0.634044929439242,0.7433897782361235,0.35239448315281274,0.4471102154082977,0.719256307667027,0.7666811132883418
gemma,topk_rowpermW_flow_pre,6,16,960,80,layers_6_18,0.49531121400086253,0.703786007785672,0.8486815318782328,0.4389191569139389,0.5461063774273026,0.8248923947217387,0.8718604591471838
gemma,topk_rowpermW_flow_pre,8,16,960,80,layers_6_18,0.5025996497504714,0.7089626877113065,0.8758428983507909,0.44720076066861286,0.5535139480151394,0.8581033009785856,0.896173612935306
gemma,topk_gaussianR_flow_pre,2,16,960,80,layers_6_18,0.009399157621235221,0.09715073818698983,0.4630490323583948,-0.00188525038329379,0.015120673026740793,0.4377561244891705,0.4875997702969528
gemma,topk_gaussianR_flow_pre,4,16,960,80,layers_6_18,0.3501800198260546,0.5918227238804034,0.6363797917789882,0.29334398581301024,0.3932078755299767,0.6134514662370887,0.6602656516912696
gemma,topk_gaussianR_flow_pre,6,16,960,80,layers_6_18,0.37046494265865393,0.6086589584632666,0.7112267983553312,0.3149154329216474,0.41599637688752666,0.6860324435017834,0.7364781536052862
gemma,topk_gaussianR_flow_pre,8,16,960,80,layers_6_18,0.37659996678252194,0.6137043977199755,0.7522176878769539,0.32335481461315196,0.42243094267863524,0.7271802343057614,0.7815306214085354
gemma,randomK_flow_pre,2,16,960,80,layers_6_18,-0.0044554976866693075,-0.004874334517117363,0.1716117818635484,-0.015343486919812493,0.0018598905452977049,0.1473780959990341,0.19421195888984633
gemma,randomK_flow_pre,4,16,960,80,layers_6_18,-0.0013831930706660334,0.03711326469632955,0.17615681555415513,-0.014425096825193367,0.007057203704981196,0.15066420642993794,0.20315534686049183
gemma,randomK_flow_pre,6,16,960,80,layers_6_18,-0.008442630498861181,0.015179580435519917,0.18087092349877185,-0.022775796550597298,0.0032569169408624764,0.15874334700169063,0.2063061288928499
gemma,randomK_flow_pre,8,16,960,80,layers_6_18,-0.010575381309863685,0.009300128269296526,0.18760774848723177,-0.026849995462943987,-0.00018000307784454288,0.1642153184188591,0.21056004904307812
