source_key,workspace_relative_path,copied_name,source_file_sha256
coordinate_audit,output/figures/nature_figures_v2_8_k3_self_containment/source_data/figure2_panel_a_independent_mechanism_label_gain.csv,coordinate_audit__figure2_panel_a_independent_mechanism_label_gain.csv,1D33092DFA73FBD1EFED36F3F2C852A351B309ABD92C458D7B0999BBEC2028B8
task_geometry,experiment_closure_source_data_v0_1/task_geometry_generalization.csv,task_geometry__task_geometry_generalization.csv,B67B06A4E3C73F4C79E9AB0A4B03376B48D919CA42586F27AADFA900D7417B11
initialization,experiment_closure_source_data_v0_1/crossmodel_initialization_geometry.csv,initialization__crossmodel_initialization_geometry.csv,67EB02BED330B9F206895C1919D7A572EBBFB7DDA5EC7960DF4A1EDE4E298CE6
phase1_summary,architecture_semantic_geometry_v0_1/phase1_debiased_geometry/phase1_condition_summary.csv,phase1_summary__phase1_condition_summary.csv,65711D1BF004D14621F4DE7144B0BBAB31DDFFFF96F92178CBF7AB920B4AA8C5
pythia_summary,high_cbit_validation_v0_1/pythia_component_swap_confirmatory/component_swap_summary.csv,pythia_summary__component_swap_summary.csv,853F2B89F1E6208467EF9DADD5F738180E2330D569E8D5F5CC34D7F6134AADA2
pythia_effects,high_cbit_validation_v0_1/pythia_component_swap_confirmatory/orthogonal_factorial_effects.csv,pythia_effects__orthogonal_factorial_effects.csv,6C82F077C4D04FCC68E8913D5F687133946AA1B2C48C2EAC5BC3E30EAF7A3C91
pythia_gate,high_cbit_validation_v0_1/pythia_component_swap_confirmatory/gate_decision.json,pythia_gate__gate_decision.json,6595D5B0B306686AFDF7D4B17894CC8ACD496F7AE83C3E6E843DF2B4920A47E7
olmo_accuracy,scientific_closure_N2R2_v0_1/n2r2_return_pack_v0_2_audited/13_pair_accuracy.csv,olmo_accuracy__13_pair_accuracy.csv,91E1B587227D5A0E7C42F1A36600B0CFF85441E3193B915D7BDB92502A292683
olmo_margin,scientific_closure_N2R2_v0_1/n2r2_return_pack_v0_2_audited/14_standardized_candidate_margin.csv,olmo_margin__14_standardized_candidate_margin.csv,979187594574FE470B061DF26F828338231FC95F937E68EB335F5B01F4C335EA
olmo_effects,scientific_closure_N2R2_v0_1/n2r2_return_pack_v0_2_audited/17_factorial_effects.json,olmo_effects__17_factorial_effects.json,4BB3C147E46E6F8985BB159A4F51AA88385FAF65C7707E4C121FC48470AB27F0
pythia_training,architecture_semantic_geometry_v0_1/phase4_training_time_cloze/phase4_training_time_summary.csv,pythia_training__phase4_training_time_summary.csv,F7B74775C06E7648BC41C4FF3810B9F071B70FBC5EB549BFA9E23A590DC82DDE
tinylama,scientific_closure_N1N2_v0_1/fresh_unpack_audit_N1N2_return_v0_1/n2_return_pack_v0_1/13_order_gain_by_checkpoint.csv,tinylama__13_order_gain_by_checkpoint.csv,39136898CC52076C6F34615F1DC7B3E82982990E6CE1C18C336C3F18639A6CCB
qwen_execution,output/figures/nature_figures_v2_8_k3_self_containment/source_data/extended_data7b_order_function_dissociation.csv,qwen_execution__extended_data7b_order_function_dissociation.csv,589DC6D4DA2359E635A19EECA4780AEA2F391744886992C802117EBB06D15F55
crossmodel_endpoints,scientific_closure_N1N2_v0_1/fresh_unpack_audit_N1N2_return_v0_1/n1_return_pack_v0_2/08_functional_endpoints.csv,crossmodel_endpoints__08_functional_endpoints.csv,6D241B4D0010F1CB7A8AAFF840A96FE7B8FA6D4926E0DCB2513C48452E758F7C
crossmodel_geometry,scientific_closure_N1N2_v0_1/fresh_unpack_audit_N1N2_return_v0_1/n1_return_pack_v0_2/09_geometry_endpoints.csv,crossmodel_geometry__09_geometry_endpoints.csv,40F285FFA00DE63B7D14DEE75ACFD2F28F25C04FB37BF90F77BFF58E019B277C
boundary,experiment_closure_source_data_v0_1/crossmodel_output_boundary.csv,boundary__crossmodel_output_boundary.csv,2AEB17B4452B7C24D488CA78A485334CF88A9659418E57277679EAFD8A5D9353
attribution,methodology_closure_v0_1/output_boundary_actuator_attribution_v0_1/outputs/crossmodel_actuator_component_summary.csv,attribution__crossmodel_actuator_component_summary.csv,BB8EAEB285C1EBEA0EB79C394E03D3B2BB70ED3461ECCDC109BD6A7A5356C11C
direction,extension_v0_56/direction_null_formal/direction_null_crossmodel_summary.csv,direction__direction_null_crossmodel_summary.csv,B97E950F79ED4B4E5A90F047AB7A3D3FC008107D014E68CB973E7A248CA9A700
window,methodology_closure_v0_1/functional_window_prospective_confirmation_v0_1/outputs/functional_window_confirmation_summary_v0_1.csv,window__functional_window_confirmation_summary_v0_1.csv,8297F2145BFBD01E5CDD3464976B334283263B161CCFF389D07282BE83088A4B
path_memory,high_cbit_validation_v0_1/mixed_arithmetic_path_replication_confirmatory/trajectory_incremental_condition_gates.csv,path_memory__trajectory_incremental_condition_gates.csv,C45CCB6D0953A10777CE98B965EEC4107AE48D95CAEE792ADFB87FFA9DB51B61
mixed_transfer,release_v0_55/public_extension_v0_55/source_data/extension_v0_55/mixed_arithmetic_actuator_transfer/primary_summary.csv,mixed_transfer__primary_summary.csv,E6A245DDE53EC3A30DA5DA180948BEF0DC3567039F075D9643816B46618E1BF3
