"model","proxy","gain","split"
"Qwen","Hidden decision state",0.447769926529315,"Five-fold relation-graph-grouped cross-validation"
"Qwen","Hidden precursor state",0.447769926529315,"Five-fold relation-graph-grouped cross-validation"
"Qwen","Direct hidden flow",0.444024491278527,"Five-fold relation-graph-grouped cross-validation"
"Qwen","Row-permuted-W readback",0.406760182257094,"Five-fold relation-graph-grouped cross-validation"
"Qwen","Learned-W readback",0.406760182257094,"Five-fold relation-graph-grouped cross-validation"
"Qwen","Gaussian readback",0.343491670621664,"Five-fold relation-graph-grouped cross-validation"
"Qwen","Random-K control",-0.0111039915832977,"Five-fold relation-graph-grouped cross-validation"
"Llama","Hidden decision state",0.52031942266584,"Five-fold relation-graph-grouped cross-validation"
"Llama","Hidden precursor state",0.52031942266584,"Five-fold relation-graph-grouped cross-validation"
"Llama","Direct hidden flow",0.485292693994357,"Five-fold relation-graph-grouped cross-validation"
"Llama","Gaussian readback",0.285019252524231,"Five-fold relation-graph-grouped cross-validation"
"Llama","Row-permuted-W readback",0.267866460621288,"Five-fold relation-graph-grouped cross-validation"
"Llama","Learned-W readback",0.267866460621288,"Five-fold relation-graph-grouped cross-validation"
"Llama","Random-K control",0.0254261675115816,"Five-fold relation-graph-grouped cross-validation"
"Gemma","Hidden decision state",0.240152626075189,"Five-fold relation-graph-grouped cross-validation"
"Gemma","Hidden precursor state",0.24783049896433,"Five-fold relation-graph-grouped cross-validation"
"Gemma","Direct hidden flow",0.2438059499287,"Five-fold relation-graph-grouped cross-validation"
"Gemma","Row-permuted-W readback",0.217429051613707,"Five-fold relation-graph-grouped cross-validation"
"Gemma","Learned-W readback",0.217429051613707,"Five-fold relation-graph-grouped cross-validation"
"Gemma","Gaussian readback",0.160108170369329,"Five-fold relation-graph-grouped cross-validation"
"Gemma","Random-K control",-0.0129820116262671,"Five-fold relation-graph-grouped cross-validation"
