model,control,random_seed,closure_n,strict_conflict_to_clean,closure_crossing_rate,nonclosure_n,nonclosure_top1_changes,nonclosure_change_rate,specificity_count,specificity_rate,closure_mean_margin_shift
qwen,random_direction_000,2026081302,87,7,0.08045977011494253,203,0,0,7,0.08045977011494253,5.097991241805855
qwen,random_direction_001,2026081303,87,0,0,203,0,0,0,0,6.064239151176365
qwen,random_direction_002,2026081304,87,0,0,203,0,0,0,0,4.316047054597701
qwen,random_direction_003,2026081305,87,17,0.19540229885057472,203,0,0,17,0.19540229885057472,6.654903017241379
qwen,random_direction_004,2026081306,87,5,0.05747126436781609,203,0,0,5,0.05747126436781609,4.0735452586206895
qwen,random_direction_005,2026081307,87,7,0.08045977011494253,203,0,0,7,0.08045977011494253,5.640355603448276
qwen,random_direction_006,2026081308,87,2,0.02298850574712643,203,0,0,2,0.02298850574712643,6.349317528735632
qwen,random_direction_007,2026081309,87,0,0,203,0,0,0,0,4.073275862068965
qwen,random_direction_008,2026081310,87,8,0.09195402298850576,203,0,0,8,0.09195402298850576,4.798760775862069
qwen,random_direction_009,2026081311,87,0,0,203,0,0,0,0,3.650884518678161
qwen,random_direction_010,2026081312,87,11,0.1264367816091954,203,0,0,11,0.1264367816091954,8.970321479885058
qwen,random_direction_011,2026081313,87,2,0.02298850574712643,203,0,0,2,0.02298850574712643,6.732354525862069
qwen,random_direction_012,2026081314,87,8,0.09195402298850576,203,0,0,8,0.09195402298850576,1.0208333333333333
qwen,random_direction_013,2026081315,87,2,0.02298850574712643,203,0,0,2,0.02298850574712643,5.980603448275862
qwen,random_direction_014,2026081316,87,0,0,203,0,0,0,0,1.3824533045977012
qwen,random_direction_015,2026081317,87,0,0,203,0,0,0,0,5.394216954022989
qwen,random_direction_016,2026081318,87,1,0.01149425287356321,203,0,0,1,0.01149425287356321,4.791846264367816
qwen,random_direction_017,2026081319,87,2,0.02298850574712643,203,0,0,2,0.02298850574712643,3.906644273078304
qwen,random_direction_018,2026081320,87,7,0.08045977011494253,203,0,0,7,0.08045977011494253,4.97027658045977
qwen,random_direction_019,2026081321,87,9,0.10344827586206896,203,0,0,9,0.10344827586206896,8.839704842403018
qwen,random_direction_020,2026081322,87,34,0.39080459770114945,203,0,0,34,0.39080459770114945,6.421785201149425
qwen,random_direction_021,2026081323,87,3,0.03448275862068965,203,0,0,3,0.03448275862068965,5.697066383800287
