model,control,closure_n,strict_conflict_to_clean,closure_mean_margin_shift,nonclosure_n,nonclosure_top1_changes,nonclosure_top1_change_rate,mean_norm_ratio,max_norm_ratio,all_finite
qwen,none,87,0,0.0,203,0,0.0,1.0,1.0,True
qwen,policy_boundary_guarded,87,17,3.9547413793103448,203,0,0.0,0.9771552686855712,1.0764451026916504,True
qwen,policy_gate_operator_only,87,17,3.806932471264368,203,0,0.0,0.9773460369274534,1.0789263248443604,True
qwen,policy_gate_precursor_only,87,0,0.6975574712643678,203,0,0.0,1.0000867943106029,1.0020480155944824,True
qwen,policy_gate_uniform_max,87,22,3.7819683908045976,203,0,0.0,0.977600392473155,1.077607035636902,True
llama,none,87,0,0.0,203,0,0.0,1.0,1.0,True
llama,policy_boundary_guarded,87,13,0.5958153735632183,203,2,0.0098522167487684,0.986958503065438,1.059103012084961,True
llama,policy_gate_operator_only,87,14,0.5054777298850575,203,2,0.0098522167487684,0.986821784808718,1.059103012084961,True
llama,policy_gate_precursor_only,87,1,0.0469647988505747,203,0,0.0,1.0000766828142365,1.0027323961257937,True
llama,policy_gate_uniform_max,87,15,0.6527478448275862,203,2,0.0098522167487684,0.9878060914730205,1.060039758682251,True
gemma,none,87,0,0.0,203,0,0.0,1.0,1.0,True
gemma,policy_boundary_guarded,87,9,1.511584051724138,203,0,0.0,0.9755872710819902,1.0140501260757446,True
gemma,policy_gate_operator_only,87,8,1.481860632183908,203,0,0.0,0.9755995290032748,1.0132485628128052,True
gemma,policy_gate_precursor_only,87,0,0.0987787356321839,203,0,0.0,0.9999348388869188,1.0,True
gemma,policy_gate_uniform_max,87,10,1.4689295977011494,203,1,0.0049261083743842,0.9752673545377007,1.0,True
