prompt_id,graph_id,chord_alignment,detour_ratio,turning_curvature
ng00_clean,0,0.08234552,3.4132404,1.616197
ng00_permuted,0,0.08438954,3.3717308,1.6136317
ng00_redundant,0,0.08743971,3.1507645,1.6069599
ng00_irrelevant,0,0.084920764,3.278918,1.6155341
ng00_weak_distractor,0,0.08535447,3.2973979,1.6109831
ng00_competition_balanced,0,0.08565647,3.344618,1.611349
ng00_direct_conflict,0,0.085704826,3.3761203,1.6094853
ng00_closure_update,0,0.086267546,3.2748342,1.6115664
ng00_closure_override,0,0.08767267,3.2448838,1.6126878
ng00_exception_override,0,0.08791304,3.2576559,1.6091499
ng01_clean,1,0.082712784,3.3829288,1.614006
ng01_permuted,1,0.084639326,3.3484378,1.6142459
ng01_redundant,1,0.087034166,3.1464412,1.6066779
ng01_irrelevant,1,0.085921675,3.2420294,1.6098975
ng01_weak_distractor,1,0.08535929,3.3479807,1.6110576
ng01_competition_balanced,1,0.087709054,3.1812503,1.6108124
ng01_direct_conflict,1,0.08774472,3.1866863,1.6112065
ng01_closure_update,1,0.08893392,3.0720265,1.6114591
ng01_closure_override,1,0.08885101,3.0889316,1.6149948
ng01_exception_override,1,0.08678254,3.262568,1.61434
ng02_clean,2,0.08171335,3.340796,1.615688
ng02_permuted,2,0.0838413,3.2850614,1.6154019
ng02_redundant,2,0.08810362,3.0649183,1.6075176
ng02_irrelevant,2,0.08521469,3.2319796,1.6089795
ng02_weak_distractor,2,0.08577225,3.2674232,1.6057692
ng02_competition_balanced,2,0.08615926,3.1544304,1.6110679
ng02_direct_conflict,2,0.087342426,3.1104383,1.6091217
ng02_closure_update,2,0.08782853,3.0761976,1.6116841
ng02_closure_override,2,0.086948514,3.168866,1.6135881
ng02_exception_override,2,0.08658541,3.2168603,1.6116076
ng03_clean,3,0.084227875,3.3609235,1.6137547
ng03_permuted,3,0.08466362,3.3347108,1.6137484
ng03_redundant,3,0.08935433,3.0945702,1.605028
ng03_irrelevant,3,0.08725595,3.2536457,1.6080768
ng03_weak_distractor,3,0.08693477,3.323549,1.6101346
ng03_competition_balanced,3,0.085193165,3.310176,1.6063507
ng03_direct_conflict,3,0.086792916,3.263496,1.6044147
ng03_closure_update,3,0.08971043,3.143314,1.6107906
ng03_closure_override,3,0.0879675,3.2597318,1.6112319
ng03_exception_override,3,0.08583893,3.2833667,1.6082195
ng04_clean,4,0.08627774,3.2132738,1.6194614
ng04_permuted,4,0.09003413,3.0844462,1.6140493
ng04_redundant,4,0.091847226,2.9673743,1.6102601
ng04_irrelevant,4,0.089879885,3.0809016,1.6137954
ng04_weak_distractor,4,0.08929151,3.1772141,1.6160462
ng04_competition_balanced,4,0.086893156,3.1723845,1.6061561
ng04_direct_conflict,4,0.08823232,3.0731218,1.6083896
ng04_closure_update,4,0.089768775,2.976699,1.6146697
ng04_closure_override,4,0.08817258,3.1420677,1.6078619
ng04_exception_override,4,0.087490894,3.1276298,1.607129
ng05_clean,5,0.079786964,3.412534,1.6199906
ng05_permuted,5,0.08037519,3.3987422,1.6180823
ng05_redundant,5,0.0872796,3.1273694,1.60893
ng05_irrelevant,5,0.084231734,3.2318566,1.6126866
ng05_weak_distractor,5,0.084197156,3.3338861,1.6098905
ng05_competition_balanced,5,0.085396156,3.169311,1.612032
ng05_direct_conflict,5,0.08660033,3.162303,1.6087236
ng05_closure_update,5,0.08598233,3.1799364,1.613444
ng05_closure_override,5,0.08588313,3.1293178,1.6132841
ng05_exception_override,5,0.084483154,3.2051923,1.6105021
ng06_clean,6,0.08374475,3.3954756,1.6138153
ng06_permuted,6,0.08481502,3.4141195,1.6143392
ng06_redundant,6,0.088579565,3.1451163,1.6066737
ng06_irrelevant,6,0.087474786,3.2875094,1.6120579
ng06_weak_distractor,6,0.086357996,3.3000607,1.6110809
ng06_competition_balanced,6,0.08506879,3.3868256,1.6120651
ng06_direct_conflict,6,0.08556952,3.3940697,1.6106755
ng06_closure_update,6,0.0865407,3.312986,1.6097019
ng06_closure_override,6,0.08745597,3.2736683,1.6122209
