condition,E,B,N,W,n_prompts,candidate_pair_accuracy,candidate_pair_accuracy_ci_low,candidate_pair_accuracy_ci_high,candidate_margin_mean,candidate_margin_ci_low,candidate_margin_ci_high
0000,0,0,0,0,53,0.4716981132075472,0.33962264150943394,0.6037735849056604,0.04240676591981132,-0.2263290117371757,0.33686316148290085
0001,0,0,0,1,53,0.6037735849056604,0.4716981132075472,0.7358490566037735,0.19112525795990565,-0.09999228423496462,0.4647084362102003
0010,0,0,1,0,53,0.5283018867924528,0.3962264150943397,0.660377358490566,0.4616330704599057,-1.4449914320459905,2.4432772654407406
0011,0,0,1,1,53,0.6037735849056604,0.4716981132075472,0.7358490566037735,1.2004716981132075,-0.7004716981132075,3.056721698113206
0100,0,1,0,0,53,0.5283018867924528,0.3962264150943397,0.660377358490566,0.04513146742334906,-0.1650657797759434,0.2529383245504127
0101,0,1,0,1,53,0.3962264150943397,0.2641509433962264,0.5283018867924528,0.02240566037735849,-0.01886792452830188,0.06132075471698113
0110,0,1,1,0,53,0.5471698113207547,0.41509433962264153,0.6792452830188679,0.4347545695754717,-1.5434690079599056,2.450601599351414
0111,0,1,1,1,53,0.5283018867924528,0.3962264150943397,0.660377358490566,0.14150943396226415,-0.22641509433962265,0.5094339622641509
1000,1,0,0,0,53,0.4528301886792453,0.32075471698113206,0.5849056603773585,-0.04091082878832547,-0.28208105699071345,0.2060426244195901
1001,1,0,0,1,53,0.5471698113207547,0.41509433962264153,0.6792452830188679,0.06214991155660377,-0.30145712798496466,0.42474791328862
1010,1,0,1,0,53,0.5094339622641509,0.37735849056603776,0.6415094339622641,-0.13998010023584906,-1.9395604547464624,1.6057055203419803
1011,1,0,1,1,53,0.5283018867924528,0.3962264150943397,0.660377358490566,0.29952830188679247,-2.273820754716981,2.8349056603773586
1100,1,1,0,0,53,0.5849056603773585,0.4528301886792453,0.71698113207547165,0.11380638266509434,-0.08044923026606722,0.3046682681677472
1101,1,1,0,1,53,0.8867924528301887,0.7924528301886793,0.9622641509433962,0.47523584905660377,0.3785377358490566,0.5766509433962265
1110,1,1,1,0,53,0.5660377358490566,0.4339622641509434,0.6981132075471698,0.8880822523584906,-1.0788150427476415,2.7984190742924504
1111,1,1,1,1,53,0.8490566037735849,0.7358490566037735,0.9433962264150944,3.150943396226415,2.4245283018867925,3.89622641509434
