model,state_type,init_seed,representation,n_prompts,n_layers,hidden_dim,real_global_chord_alignment,real_global_chord_alignment_ci_low,real_global_chord_alignment_ci_high,donor_null_global_chord_alignment_mean,donor_null_global_chord_alignment_q05,donor_null_global_chord_alignment_q95,donor_null_global_chord_alignment_p,donor_null_global_chord_alignment_z_ordered,real_future_chord_alignment,real_future_chord_alignment_ci_low,real_future_chord_alignment_ci_high,donor_null_future_chord_alignment_mean,donor_null_future_chord_alignment_q05,donor_null_future_chord_alignment_q95,donor_null_future_chord_alignment_p,donor_null_future_chord_alignment_z_ordered,real_leave_one_out_alignment,real_leave_one_out_alignment_ci_low,real_leave_one_out_alignment_ci_high,donor_null_leave_one_out_alignment_mean,donor_null_leave_one_out_alignment_q05,donor_null_leave_one_out_alignment_q95,donor_null_leave_one_out_alignment_p,donor_null_leave_one_out_alignment_z_ordered,real_lag1_step_autocorrelation,real_lag1_step_autocorrelation_ci_low,real_lag1_step_autocorrelation_ci_high,donor_null_lag1_step_autocorrelation_mean,donor_null_lag1_step_autocorrelation_q05,donor_null_lag1_step_autocorrelation_q95,donor_null_lag1_step_autocorrelation_p,donor_null_lag1_step_autocorrelation_z_ordered,real_lag2_step_autocorrelation,real_lag2_step_autocorrelation_ci_low,real_lag2_step_autocorrelation_ci_high,donor_null_lag2_step_autocorrelation_mean,donor_null_lag2_step_autocorrelation_q05,donor_null_lag2_step_autocorrelation_q95,donor_null_lag2_step_autocorrelation_p,donor_null_lag2_step_autocorrelation_z_ordered,real_path_to_chord_ratio,real_path_to_chord_ratio_ci_low,real_path_to_chord_ratio_ci_high,donor_null_path_to_chord_ratio_mean,donor_null_path_to_chord_ratio_q05,donor_null_path_to_chord_ratio_q95,donor_null_path_to_chord_ratio_p,donor_null_path_to_chord_ratio_z_ordered,passes_future_chord_gate,passes_leave_one_out_gate,passes_joint_debiased_gate
qwen,trained_checkpoint,trained,unit_hidden_state,96,28,1536,0.07420279830694199,0.07379198890606252,0.07465415705810301,0.10747726887464523,0.10707451365888118,0.10784974806010723,1.0,-137.8929873158291,-0.1431981325149536,-0.14410743602396298,-0.1422808124955433,-0.1047230253368616,-0.10522031635046006,-0.10427382439374924,1.0,-128.3019461798511,-0.252096027135849,-0.2534603479512346,-0.25063880646290876,-0.16447578944265842,-0.16562929078936578,-0.16345293074846268,1.0,-129.98766482509447,-0.1425938457250595,-0.1448864332594288,-0.13999462818416455,-0.10698555395007134,-0.10782543569803238,-0.1060807641595602,1.0,-65.17718623252601,-0.07006239145994186,-0.07168385287222918,-0.06833323925287307,-0.05086754903197289,-0.05136921294033527,-0.050407839193940165,1.0,-66.87423117656056,9.026935577392578,8.993392959237099,9.059205419321856,7.396282823085785,7.376898884773254,7.419666051864624,1.0,-123.38214603886854,False,False,False
qwen,trained_checkpoint,trained,raw_residual_state,96,28,1536,0.07604420185089111,0.07527304938606297,0.07678710187901742,0.08836709808558225,0.08808560818433761,0.08865415565669536,1.0,-66.37817983557451,-0.11901571601629257,-0.12146586366385843,-0.11673340854273799,-0.10911812253296375,-0.10940369740128517,-0.10884306654334068,1.0,-60.50804763451363,-0.10349136590957642,-0.10561154270156596,-0.10153867690629946,-0.08631377588957548,-0.0867494385689497,-0.08589538522064685,1.0,-65.75110968775782,-0.06776991486549377,-0.07000630780918679,-0.06531688425408598,-0.03887113520875573,-0.03970458824187517,-0.038063010573387145,1.0,-60.040385932251716,-0.0023629125207662582,-0.0041424214434907,-0.0005644578293851228,0.008922155234031379,0.008406430063769222,0.009375055320560932,1.0,-38.95209234269863,5.134936809539795,5.08098475796481,5.193731577446064,4.972177579402923,4.967121362686157,4.978126978874206,1.0,-49.93952811270242,False,False,False
qwen,random_initialization,1701,unit_hidden_state,96,28,1536,0.12300214171409607,0.12252354019437917,0.12348506941537683,0.16989040769636632,0.1694430574774742,0.17038233950734138,1.0,-150.31458398791483,-0.06822878867387772,-0.06897739487467333,-0.06749449315927147,-0.006836216456722468,-0.007546886568889022,-0.006222199555486441,1.0,-148.98147765216711,-0.12226509302854538,-0.12334513437817804,-0.12115659002253475,-0.010014448161236943,-0.010954061336815358,-0.009060951601713897,1.0,-197.08767770361874,-0.02960011549293995,-0.030700842448762464,-0.028570844124866806,-0.004234189987182617,-0.004910392686724663,-0.003489588655065745,1.0,-55.57314127435285,-0.02424236200749874,-0.025228412283953124,-0.02323153501589938,-0.0030863147438503803,-0.003924215235747397,-0.0023608804563991725,1.0,-42.88701008228905,6.620936870574951,6.600786563009024,6.640989658733209,4.853411574363708,4.8414449214935305,4.864892840385437,1.0,-237.42411876995942,False,False,False
qwen,random_initialization,1701,raw_residual_state,96,28,1536,0.13617770373821259,0.13558357348277544,0.13678192145501575,0.1631394874304533,0.1624489687383175,0.1638028748333454,1.0,-64.33129489985231,-0.27207157015800476,-0.2726827859645709,-0.2714914641575888,-0.02372486501932144,-0.024940639175474642,-0.022609602008014918,1.0,-363.6273572697204,-0.47259166836738586,-0.4741348605137319,-0.471036057973591,-0.02524919324554503,-0.026736386213451625,-0.023919748328626155,1.0,-513.4068816514502,-0.009265804663300514,-0.010330355088035504,-0.008225036921029034,-0.0024620854086242617,-0.0031998388469219206,-0.001698774669785053,1.0,-15.456830553742995,-0.007919778116047382,-0.008827614331089724,-0.006984759504656305,-0.0013098049897689633,-0.002027927548624575,-0.000573246105341242,1.0,-13.890914555689129,20.063766479492188,20.005511656900246,20.122792581717174,5.066605665683746,5.047678208351135,5.089338946342468,1.0,-1211.672660649892,False,False,False
qwen,random_initialization,1702,unit_hidden_state,96,28,1536,0.1236814633011818,0.12318842534829552,0.12419715559614511,0.17071871012449263,0.17016571164131164,0.1711979441344738,1.0,-143.76853179707405,-0.06641878932714462,-0.06717967242681576,-0.06565666313399561,-0.0053903764998540285,-0.006086537521332503,-0.00471107573248446,1.0,-139.9122382468051,-0.12151020765304565,-0.12251133222792608,-0.12049056098524791,-0.008804260317701847,-0.009840549435466528,-0.00799042219296098,1.0,-189.454059287937,-0.027615072205662727,-0.02860807061272984,-0.026598754145137113,-0.0021603381051681935,-0.0029283055919222534,-0.0013790856814011932,1.0,-55.91514015344548,-0.02381601370871067,-0.024769379525241674,-0.0228675950136676,-0.003413027834612876,-0.004126602457836271,-0.0027091338764876132,1.0,-48.99143287531776,6.618895053863525,6.600223974386851,6.637867885703842,4.843520443439484,4.832519388198852,4.856432962417602,1.0,-233.2486237217578,False,False,False
qwen,random_initialization,1702,raw_residual_state,96,28,1536,0.13641123473644257,0.1358800163725391,0.13690671452786773,0.1632814636826515,0.16269116699695588,0.16393976137042046,1.0,-69.31122386692785,-0.2723543345928192,-0.2730074851385628,-0.2717062270812069,-0.0241285839676857,-0.025082323327660562,-0.023080727178603412,1.0,-386.2252007236906,-0.47520026564598083,-0.47667258135043084,-0.4736573066484804,-0.025220971256494522,-0.02646739473566413,-0.02386633902788162,1.0,-549.6858521978758,-0.006994783878326416,-0.008032864721811469,-0.005986726700977367,-0.0001450092838194905,-0.0008314682025229558,0.0005476313293911505,1.0,-15.656337914794609,-0.007977481000125408,-0.008953850445201776,-0.007058019301136179,-0.0021282934487680902,-0.002685252344235778,-0.0014320530113764113,1.0,-14.228257617075704,20.19137191772461,20.11843340843916,20.261671418944992,5.069704985618591,5.04913911819458,5.08862988948822,1.0,-1273.6785096046713,False,False,False
qwen,random_initialization,1703,unit_hidden_state,96,28,1536,0.12147247791290283,0.1210359195266695,0.12189274997993682,0.16736253030598164,0.166817993670702,0.16787582337856294,1.0,-134.94445791059894,-0.06877590715885162,-0.06954628152016085,-0.06798995187176236,-0.008832977248821407,-0.009643885819241405,-0.008087849197909237,1.0,-123.32397069497694,-0.12516523897647858,-0.1261468655061132,-0.12416736386173094,-0.013947789655067027,-0.014954902743920685,-0.012897560559213163,1.0,-175.45197999565883,-0.028835823759436607,-0.02970233610200618,-0.027948950483793547,-0.004213918681489304,-0.004997294675558805,-0.003523848508484662,1.0,-56.48753604915008,-0.024681543931365013,-0.02567173957431805,-0.023684072171211788,-0.003884716231841594,-0.004507885291241109,-0.003097161010373384,1.0,-49.29348589702985,6.66179895401001,6.64293422922492,6.680858331918716,4.888739280700683,4.87589693069458,4.902151989936828,1.0,-213.4680437875851,False,False,False
qwen,random_initialization,1703,raw_residual_state,96,28,1536,0.13550002872943878,0.13492068796573828,0.1360579012388674,0.16149988062679768,0.16086491271853448,0.16203682273626327,1.0,-68.83995776970652,-0.2729279398918152,-0.27349385456958164,-0.27234890606875223,-0.027826742390170692,-0.028808133490383626,-0.02681116685271263,1.0,-396.5018755880766,-0.48055458068847656,-0.4820440684833253,-0.4790592774981633,-0.029880570154637097,-0.0312299320474267,-0.028573020547628402,1.0,-570.7960587685483,-0.007903359830379486,-0.008702760580429942,-0.007063538953677076,-0.0011214749647842836,-0.0018090288562234492,-0.00048022192495409484,1.0,-15.70705224728058,-0.007974483072757721,-0.008959542967174154,-0.006985935177059825,-0.0014916862812242471,-0.002134584228042513,-0.000793421684647911,1.0,-15.868992895288669,20.38828468322754,20.328812641402088,20.446256964902084,5.145856275558471,5.125965118408203,5.165392351150513,1.0,-1329.801030096412,False,False,False
llama,trained_checkpoint,trained,unit_hidden_state,96,16,2048,0.11140286922454834,0.11086797977332026,0.1119241140181354,0.14626869529485703,0.14562992826104165,0.14683307111263275,1.0,-96.24987287896204,-0.22872932255268097,-0.2292962338775396,-0.2281878344792252,-0.1696449790149927,-0.17066271230578423,-0.1687743194401264,1.0,-101.16452628973538,-0.3841513395309448,-0.3849397853715345,-0.3834230926275874,-0.2642810706794262,-0.2664603739976883,-0.26196418702602386,1.0,-92.53749967961602,-0.1612911820411682,-0.16219933844792345,-0.16039691043552012,-0.12163113784044981,-0.12284367009997368,-0.12065306901931763,1.0,-58.752613198495666,-0.07597406953573227,-0.07670042840375875,-0.0752201305042642,-0.05916655777022242,-0.059705554693937304,-0.05863472130149603,1.0,-53.83601747611747,7.960671901702881,7.946822952975829,7.974753694484631,6.311651248931884,6.282210373878479,6.341577243804932,1.0,-94.0454015850336,False,False,False
llama,trained_checkpoint,trained,raw_residual_state,96,16,2048,0.12130407243967056,0.12015701419635054,0.12248912781554584,0.10694455850869417,0.10648875012993812,0.10746674723923207,0.004975124378109453,47.72037600304466,0.02167384885251522,0.020229037469471224,0.023251137139474548,0.0036908942623995245,0.003186299768276513,0.00429853955283761,0.004975124378109453,51.65278603840417,0.030347684398293495,0.028613434757911213,0.03214445177994397,0.00688334861304611,0.006164930551312864,0.007737006456591189,0.004975124378109453,47.58269890011239,-0.0816229060292244,-0.08296467874509593,-0.08024261513686118,-0.06297504190355539,-0.0640681091696024,-0.06189012974500656,1.0,-25.490915257206435,-0.013091419823467731,-0.014013909355829432,-0.012158194650025204,-0.0071168440161272885,-0.0075699361506849526,-0.006599283404648304,1.0,-20.293908341994992,1.5236167907714844,1.5209593425815304,1.5263944127286473,1.5536742961406709,1.5524409770965577,1.554706221818924,0.004975124378109453,42.919510645726675,True,True,True
